country
ALB
AUT
BEL
BGR
BIH
CHE
DEU
DZA
EGY
ESP
FRA
GBR
GRC
HRV
HUN
ISR
ITA
JOR
LBN
LBY
LUX
MAR
MKD
MNE
NLD
PRT
PSE
ROU
SDN
SRB
SVK
SVN
SYR
TUN
TUR
UKR
