,duration,count,pct
276,358,1,0.0
277,801,1,0.0
278,570,1,0.0
279,627,1,0.0
280,392,1,0.0
281,393,1,0.0
282,398,1,0.0
283,401,1,0.0
284,402,1,0.0
285,427,1,0.0
286,431,1,0.0
287,470,1,0.0
288,484,1,0.0
289,157,1,0.0
290,1000,1,0.0
291,513,1,0.0
292,700,1,0.0
293,316,1,0.0
294,351,1,0.0
295,264,1,0.0
296,283,1,0.0
297,282,1,0.0
298,172,1,0.0
299,278,1,0.0
300,271,1,0.0
301,268,1,0.0
302,266,1,0.0
303,213,1,0.0
304,341,1,0.0
305,256,1,0.0
306,247,1,0.0
307,178,1,0.0
308,244,1,0.0
309,224,1,0.0
310,236,1,0.0
311,229,1,0.0
312,207,1,0.0
313,288,1,0.0
314,204,1,0.0
315,291,1,0.0
316,196,1,0.0
317,337,1,0.0
318,188,1,0.0
319,334,1,0.0
320,332,1,0.0
321,329,1,0.0
322,325,1,0.0
323,320,1,0.0
324,128,1,0.0
325,306,1,0.0
326,305,1,0.0
327,301,1,0.0
328,299,1,0.0
329,297,1,0.0
330,295,1,0.0
331,2060,1,0.0
