"","province","s_it","g_it","a_it","r_it","eci"
"1","Germania Superior",1,1,1,1,-1.64298574706472
"2","Lusitania",1,1,1,1,-1.42946850372029
"3","Germania Inferior",1,1,1,1,-1.34369822762521
"4","Aquitania",1,1,1,1,-1.15445986866935
"5","Transpadana (Regio XI)",1,1,1,1,-1.1493541371992
"6","Pannonia Superior",1,1,1,1,-1.0249913465712
"7","Narbonensis",1,1,1,1,-0.939087819529861
"8","Belgica",1,1,1,1,-0.937380442274728
"9","Britannia",1,1,1,1,-0.792725917575426
"10","Lugdunensis",1,1,1,1,-0.763463656283459
"11","Venetia et Histria (Regio X)",1,1,1,1,-0.736649143240458
"12","Moesia Superior",1,1,1,1,-0.591927378228178
"13","Dalmatia",1,1,1,1,-0.574481261431944
"14","Hispania Citerior",1,1,1,1,-0.51436929702245
"15","Sardinia",1,1,1,1,-0.456373064927235
"16","Aemilia (Regio VIII)",1,1,1,1,-0.450852601163916
"17","Moesia Inferior",1,1,1,1,-0.37390912073085
"18","Raetia",1,1,1,1,-0.300382765950874
"19","Noricum",1,1,1,1,-0.24966827394918
"20","Apulia et Calabria (Regio II)",1,1,1,1,-0.239512236693461
"21","Pannonia Inferior",1,1,1,1,-0.18481450099899
"22","Umbria (Regio VI)",1,1,1,1,-0.0350920242563806
"23","Mauretania Tingitana",1,1,1,1,-0.0205289177655436
"24","Galatia",1,1,1,1,0.191964638399559
"25","Liguria (Regio IX)",1,1,1,1,0.19541926894928
"26","Samnium (Regio IV)",1,1,1,1,0.246878271850163
"27","Syria",1,1,1,1,0.378703437442944
"28","Etruria (Regio VII)",1,1,1,1,0.445528427617398
"29","Bruttium et Lucania (Regio III)",1,1,1,1,0.552264233535597
"30","Numidia",1,1,1,1,0.592855160936801
"31","Picenum (Regio V)",1,1,1,1,0.611040565081143
"32","Mauretania Caesariensis",1,1,1,1,0.671366076976261
"33","Achaia",1,1,1,1,0.774656276694594
"34","Asia",1,1,1,1,1.05741636798531
"35","Dacia",1,1,1,1,1.10800601961825
"36","Sicilia",1,1,1,1,1.14148470973269
"37","Macedonia",1,1,1,1,1.15293664198116
"38","Baetica",1,1,1,1,1.64473925334333
"39","Latium et Campania (Regio I)",1,1,1,1,2.43930649342471
"40","Africa Proconsularis",1,1,1,1,2.70161040930372
"41","Germania Superior",1,1,1,2,-1.83408826628101
"42","Lusitania",1,1,1,2,-1.44881995917978
"43","Germania Inferior",1,1,1,2,-1.4293578129436
"44","Aquitania",1,1,1,2,-1.2248990740767
"45","Transpadana (Regio XI)",1,1,1,2,-1.193841717273
"46","Belgica",1,1,1,2,-1.11439611092924
"47","Pannonia Superior",1,1,1,2,-1.06528040087802
"48","Narbonensis",1,1,1,2,-0.922577464151515
"49","Lugdunensis",1,1,1,2,-0.908210753404655
"50","Britannia",1,1,1,2,-0.867790483561355
"51","Moesia Superior",1,1,1,2,-0.620349627935478
"52","Venetia et Histria (Regio X)",1,1,1,2,-0.599911145371579
"53","Sardinia",1,1,1,2,-0.558095945385513
"54","Dalmatia",1,1,1,2,-0.427166548937222
"55","Hispania Citerior",1,1,1,2,-0.419853540645881
"56","Raetia",1,1,1,2,-0.33038394717023
"57","Moesia Inferior",1,1,1,2,-0.286160245589284
"58","Apulia et Calabria (Regio II)",1,1,1,2,-0.236982233450895
"59","Noricum",1,1,1,2,-0.207045022513295
"60","Aemilia (Regio VIII)",1,1,1,2,-0.185726770130797
"61","Pannonia Inferior",1,1,1,2,-0.156190543371922
"62","Mauretania Tingitana",1,1,1,2,-0.0101818204702436
"63","Umbria (Regio VI)",1,1,1,2,0.0372881893844252
"64","Samnium (Regio IV)",1,1,1,2,0.157403728197385
"65","Liguria (Regio IX)",1,1,1,2,0.255543050723505
"66","Galatia",1,1,1,2,0.340453873581747
"67","Numidia",1,1,1,2,0.413561992436001
"68","Syria",1,1,1,2,0.413649468289831
"69","Bruttium et Lucania (Regio III)",1,1,1,2,0.503188985779563
"70","Mauretania Caesariensis",1,1,1,2,0.581177020715205
"71","Picenum (Regio V)",1,1,1,2,0.630715043315429
"72","Achaia",1,1,1,2,0.702400423496264
"73","Asia",1,1,1,2,1.05348342822975
"74","Macedonia",1,1,1,2,1.09232163954859
"75","Sicilia",1,1,1,2,1.10266368661728
"76","Etruria (Regio VII)",1,1,1,2,1.11156521550531
"77","Dacia",1,1,1,2,1.48141358026352
"78","Latium et Campania (Regio I)",1,1,1,2,1.81626605909609
"79","Baetica",1,1,1,2,1.83106712405164
"80","Africa Proconsularis",1,1,1,2,2.52314692441967
"81","Lusitania",1,1,1,3,-1.82634707925979
"82","Germania Superior",1,1,1,3,-1.69300889129785
"83","Germania Inferior",1,1,1,3,-1.30889150301992
"84","Aquitania",1,1,1,3,-1.15120006979068
"85","Transpadana (Regio XI)",1,1,1,3,-1.11758380334416
"86","Pannonia Superior",1,1,1,3,-1.03233903900757
"87","Belgica",1,1,1,3,-0.944594225942744
"88","Venetia et Histria (Regio X)",1,1,1,3,-0.928740474479481
"89","Narbonensis",1,1,1,3,-0.779895979566923
"90","Britannia",1,1,1,3,-0.769524283970209
"91","Lugdunensis",1,1,1,3,-0.743490837466868
"92","Hispania Citerior",1,1,1,3,-0.683123931552047
"93","Moesia Superior",1,1,1,3,-0.554200508954929
"94","Sardinia",1,1,1,3,-0.553011844040018
"95","Dalmatia",1,1,1,3,-0.348431077464647
"96","Aemilia (Regio VIII)",1,1,1,3,-0.347850135586375
"97","Moesia Inferior",1,1,1,3,-0.280865674809386
"98","Raetia",1,1,1,3,-0.265150716293706
"99","Noricum",1,1,1,3,-0.245737773069723
"100","Apulia et Calabria (Regio II)",1,1,1,3,-0.211906528997683
"101","Pannonia Inferior",1,1,1,3,-0.192169921835193
"102","Umbria (Regio VI)",1,1,1,3,-0.160012695052718
"103","Mauretania Tingitana",1,1,1,3,-0.00828146150528507
"104","Samnium (Regio IV)",1,1,1,3,0.126199084217627
"105","Liguria (Regio IX)",1,1,1,3,0.158021221003977
"106","Galatia",1,1,1,3,0.350876706512727
"107","Bruttium et Lucania (Regio III)",1,1,1,3,0.364179613869932
"108","Numidia",1,1,1,3,0.456597505903063
"109","Syria",1,1,1,3,0.462538867679009
"110","Picenum (Regio V)",1,1,1,3,0.557252091604855
"111","Mauretania Caesariensis",1,1,1,3,0.681910956364087
"112","Achaia",1,1,1,3,0.739089852199909
"113","Etruria (Regio VII)",1,1,1,3,1.06809897067108
"114","Sicilia",1,1,1,3,1.12341964100055
"115","Asia",1,1,1,3,1.12725776908449
"116","Macedonia",1,1,1,3,1.1495522615386
"117","Dacia",1,1,1,3,1.67838118860085
"118","Baetica",1,1,1,3,1.96164919187076
"119","Latium et Campania (Regio I)",1,1,1,3,1.96673022465691
"120","Africa Proconsularis",1,1,1,3,2.17460330952947
"121","Germania Superior",1,1,1,4,-1.8216742660949
"122","Lusitania",1,1,1,4,-1.60696683536318
"123","Germania Inferior",1,1,1,4,-1.39955743874419
"124","Aquitania",1,1,1,4,-1.27680399390407
"125","Transpadana (Regio XI)",1,1,1,4,-1.16912696012463
"126","Belgica",1,1,1,4,-1.10351707998834
"127","Pannonia Superior",1,1,1,4,-1.04763310928636
"128","Narbonensis",1,1,1,4,-0.891895616298456
"129","Britannia",1,1,1,4,-0.866484828640209
"130","Lugdunensis",1,1,1,4,-0.847534054542362
"131","Venetia et Histria (Regio X)",1,1,1,4,-0.757205244976696
"132","Sardinia",1,1,1,4,-0.590761944470844
"133","Moesia Superior",1,1,1,4,-0.579637111192008
"134","Hispania Citerior",1,1,1,4,-0.431399164618959
"135","Dalmatia",1,1,1,4,-0.397033824062456
"136","Raetia",1,1,1,4,-0.293762021289511
"137","Moesia Inferior",1,1,1,4,-0.251623805709043
"138","Aemilia (Regio VIII)",1,1,1,4,-0.216151502654799
"139","Noricum",1,1,1,4,-0.201502894323812
"140","Apulia et Calabria (Regio II)",1,1,1,4,-0.180854299237684
"141","Pannonia Inferior",1,1,1,4,-0.176143430185798
"142","Umbria (Regio VI)",1,1,1,4,-0.0539900147064177
"143","Mauretania Tingitana",1,1,1,4,0.0169498724893747
"144","Samnium (Regio IV)",1,1,1,4,0.147121017719197
"145","Liguria (Regio IX)",1,1,1,4,0.271133889374936
"146","Numidia",1,1,1,4,0.353170070031386
"147","Galatia",1,1,1,4,0.365976214491702
"148","Bruttium et Lucania (Regio III)",1,1,1,4,0.422428281462323
"149","Syria",1,1,1,4,0.482999051782284
"150","Mauretania Caesariensis",1,1,1,4,0.623095864486888
"151","Picenum (Regio V)",1,1,1,4,0.674307592767253
"152","Achaia",1,1,1,4,0.762251168225095
"153","Asia",1,1,1,4,1.03912584285826
"154","Sicilia",1,1,1,4,1.10490940307427
"155","Etruria (Regio VII)",1,1,1,4,1.13488253424398
"156","Macedonia",1,1,1,4,1.14855022957236
"157","Dacia",1,1,1,4,1.72595943199744
"158","Latium et Campania (Regio I)",1,1,1,4,1.86837420465114
"159","Baetica",1,1,1,4,1.93869827243613
"160","Africa Proconsularis",1,1,1,4,2.0813264987507
"161","Germania Superior",1,1,1,5,-1.86835254565116
"162","Lusitania",1,1,1,5,-1.48054807445226
"163","Germania Inferior",1,1,1,5,-1.44837905808825
"164","Aquitania",1,1,1,5,-1.30844583848318
"165","Belgica",1,1,1,5,-1.17773533423998
"166","Transpadana (Regio XI)",1,1,1,5,-1.17146928322293
"167","Pannonia Superior",1,1,1,5,-1.08445134389379
"168","Britannia",1,1,1,5,-0.91844034913738
"169","Narbonensis",1,1,1,5,-0.918193867283203
"170","Lugdunensis",1,1,1,5,-0.915759011965869
"171","Sardinia",1,1,1,5,-0.613048580621963
"172","Moesia Superior",1,1,1,5,-0.602608592632491
"173","Venetia et Histria (Regio X)",1,1,1,5,-0.59602536093798
"174","Dalmatia",1,1,1,5,-0.438326315836513
"175","Hispania Citerior",1,1,1,5,-0.36077892540652
"176","Raetia",1,1,1,5,-0.308880506792021
"177","Moesia Inferior",1,1,1,5,-0.268435669460507
"178","Noricum",1,1,1,5,-0.201634676289327
"179","Aemilia (Regio VIII)",1,1,1,5,-0.179639126999945
"180","Apulia et Calabria (Regio II)",1,1,1,5,-0.178109255429643
"181","Pannonia Inferior",1,1,1,5,-0.164937833467009
"182","Mauretania Tingitana",1,1,1,5,0.00283457171336423
"183","Samnium (Regio IV)",1,1,1,5,0.150802886551525
"184","Umbria (Regio VI)",1,1,1,5,0.166201666766052
"185","Liguria (Regio IX)",1,1,1,5,0.29797038158726
"186","Numidia",1,1,1,5,0.341159846072083
"187","Galatia",1,1,1,5,0.347836146169098
"188","Bruttium et Lucania (Regio III)",1,1,1,5,0.450534464239146
"189","Syria",1,1,1,5,0.454733120877775
"190","Mauretania Caesariensis",1,1,1,5,0.596479642167885
"191","Picenum (Regio V)",1,1,1,5,0.697848517442192
"192","Achaia",1,1,1,5,0.771712668694069
"193","Asia",1,1,1,5,1.04222551552969
"194","Sicilia",1,1,1,5,1.09331274352735
"195","Macedonia",1,1,1,5,1.10921838119962
"196","Etruria (Regio VII)",1,1,1,5,1.16181347791489
"197","Dacia",1,1,1,5,1.64681691042756
"198","Latium et Campania (Regio I)",1,1,1,5,1.8615469714829
"199","Baetica",1,1,1,5,1.89946090437545
"200","Africa Proconsularis",1,1,1,5,2.11169073355399
"201","Germania Superior",1,1,2,1,-1.80520393004779
"202","Germania Inferior",1,1,2,1,-1.44242231163218
"203","Aquitania",1,1,2,1,-1.31040235344008
"204","Lusitania",1,1,2,1,-1.23786263046838
"205","Pannonia Superior",1,1,2,1,-1.22031877923387
"206","Belgica",1,1,2,1,-1.19789790250268
"207","Transpadana (Regio XI)",1,1,2,1,-1.18433619710548
"208","Narbonensis",1,1,2,1,-1.08114050220419
"209","Britannia",1,1,2,1,-0.913669563147299
"210","Lugdunensis",1,1,2,1,-0.899221309416206
"211","Dalmatia",1,1,2,1,-0.676393672886321
"212","Moesia Superior",1,1,2,1,-0.639121968501542
"213","Sardinia",1,1,2,1,-0.542232415385365
"214","Venetia et Histria (Regio X)",1,1,2,1,-0.51524318120007
"215","Hispania Citerior",1,1,2,1,-0.423245573124876
"216","Raetia",1,1,2,1,-0.332573299662797
"217","Moesia Inferior",1,1,2,1,-0.323049214986231
"218","Noricum",1,1,2,1,-0.216877606805188
"219","Aemilia (Regio VIII)",1,1,2,1,-0.138621866396674
"220","Pannonia Inferior",1,1,2,1,-0.119068504469776
"221","Apulia et Calabria (Regio II)",1,1,2,1,-0.0821557325577874
"222","Mauretania Tingitana",1,1,2,1,0.041545937130856
"223","Umbria (Regio VI)",1,1,2,1,0.123704252883809
"224","Liguria (Regio IX)",1,1,2,1,0.311553619191982
"225","Samnium (Regio IV)",1,1,2,1,0.329101920342967
"226","Galatia",1,1,2,1,0.409803960389295
"227","Syria",1,1,2,1,0.413534371480326
"228","Numidia",1,1,2,1,0.503868732099492
"229","Mauretania Caesariensis",1,1,2,1,0.585138163789833
"230","Bruttium et Lucania (Regio III)",1,1,2,1,0.643598007746129
"231","Picenum (Regio V)",1,1,2,1,0.73186875534214
"232","Etruria (Regio VII)",1,1,2,1,0.783535973761065
"233","Achaia",1,1,2,1,0.79598295281398
"234","Asia",1,1,2,1,1.03247882250508
"235","Sicilia",1,1,2,1,1.13705264152215
"236","Macedonia",1,1,2,1,1.16167035884129
"237","Dacia",1,1,2,1,1.27030492675693
"238","Baetica",1,1,2,1,1.57011627297937
"239","Latium et Campania (Regio I)",1,1,2,1,1.84454292057692
"240","Africa Proconsularis",1,1,2,1,2.61165592502117
"241","Lusitania",1,1,2,2,-1.8753341977651
"242","Germania Superior",1,1,2,2,-1.71569641947638
"243","Germania Inferior",1,1,2,2,-1.18860854149909
"244","Narbonensis",1,1,2,2,-1.18306510088731
"245","Venetia et Histria (Regio X)",1,1,2,2,-1.15823269569797
"246","Aquitania",1,1,2,2,-1.15770463679374
"247","Transpadana (Regio XI)",1,1,2,2,-1.11699402381402
"248","Pannonia Superior",1,1,2,2,-0.94562206079738
"249","Belgica",1,1,2,2,-0.824628467307402
"250","Hispania Citerior",1,1,2,2,-0.819351751995741
"251","Lugdunensis",1,1,2,2,-0.704853759939416
"252","Britannia",1,1,2,2,-0.666348939745412
"253","Sardinia",1,1,2,2,-0.559041201643761
"254","Moesia Superior",1,1,2,2,-0.488058676817268
"255","Aemilia (Regio VIII)",1,1,2,2,-0.433214416090242
"256","Apulia et Calabria (Regio II)",1,1,2,2,-0.263443376982755
"257","Raetia",1,1,2,2,-0.234937693534399
"258","Umbria (Regio VI)",1,1,2,2,-0.17811888890073
"259","Dalmatia",1,1,2,2,-0.170143878698907
"260","Moesia Inferior",1,1,2,2,-0.148381776248721
"261","Noricum",1,1,2,2,-0.143045296814458
"262","Pannonia Inferior",1,1,2,2,-0.0931643558735258
"263","Mauretania Tingitana",1,1,2,2,0.0633888058554705
"264","Liguria (Regio IX)",1,1,2,2,0.105457141229644
"265","Samnium (Regio IV)",1,1,2,2,0.116389984047929
"266","Bruttium et Lucania (Regio III)",1,1,2,2,0.33492145318126
"267","Galatia",1,1,2,2,0.45557682095851
"268","Syria",1,1,2,2,0.496451704540836
"269","Picenum (Regio V)",1,1,2,2,0.535476049955031
"270","Numidia",1,1,2,2,0.58613422720227
"271","Mauretania Caesariensis",1,1,2,2,0.648833589919374
"272","Achaia",1,1,2,2,0.736888040049394
"273","Etruria (Regio VII)",1,1,2,2,1.01368825031623
"274","Asia",1,1,2,2,1.17026195714099
"275","Macedonia",1,1,2,2,1.19461367045827
"276","Sicilia",1,1,2,2,1.20194177542816
"277","Latium et Campania (Regio I)",1,1,2,2,1.29811986777422
"278","Baetica",1,1,2,2,1.90262582409715
"279","Dacia",1,1,2,2,1.99650536947857
"280","Africa Proconsularis",1,1,2,2,2.21071562569042
"281","Lusitania",1,1,2,3,-1.87612522912602
"282","Germania Superior",1,1,2,3,-1.68398491275449
"283","Germania Inferior",1,1,2,3,-1.19312017820924
"284","Aquitania",1,1,2,3,-1.15279506899428
"285","Venetia et Histria (Regio X)",1,1,2,3,-1.14562515673098
"286","Narbonensis",1,1,2,3,-1.14169469206585
"287","Transpadana (Regio XI)",1,1,2,3,-1.11860479588649
"288","Pannonia Superior",1,1,2,3,-0.949045283130841
"289","Hispania Citerior",1,1,2,3,-0.815534384777637
"290","Belgica",1,1,2,3,-0.805223747504938
"291","Lugdunensis",1,1,2,3,-0.695316932318332
"292","Britannia",1,1,2,3,-0.669867438297265
"293","Sardinia",1,1,2,3,-0.555698793811185
"294","Moesia Superior",1,1,2,3,-0.487681572754661
"295","Aemilia (Regio VIII)",1,1,2,3,-0.457815772218365
"296","Apulia et Calabria (Regio II)",1,1,2,3,-0.287686486353736
"297","Raetia",1,1,2,3,-0.234476023873037
"298","Umbria (Regio VI)",1,1,2,3,-0.193283309612528
"299","Dalmatia",1,1,2,3,-0.183111930690975
"300","Moesia Inferior",1,1,2,3,-0.177626464494543
"301","Noricum",1,1,2,3,-0.164073142461905
"302","Pannonia Inferior",1,1,2,3,-0.115387476151163
"303","Mauretania Tingitana",1,1,2,3,0.0468332518218452
"304","Liguria (Regio IX)",1,1,2,3,0.0953713340776147
"305","Samnium (Regio IV)",1,1,2,3,0.110571284615926
"306","Bruttium et Lucania (Regio III)",1,1,2,3,0.316222899207039
"307","Galatia",1,1,2,3,0.431634374431434
"308","Syria",1,1,2,3,0.477098412579804
"309","Picenum (Regio V)",1,1,2,3,0.524650016280711
"310","Numidia",1,1,2,3,0.582550197344205
"311","Achaia",1,1,2,3,0.720994028214624
"312","Mauretania Caesariensis",1,1,2,3,0.732568964211863
"313","Etruria (Regio VII)",1,1,2,3,0.981190461715922
"314","Asia",1,1,2,3,1.14513294770326
"315","Macedonia",1,1,2,3,1.172955334645
"316","Sicilia",1,1,2,3,1.18967857037246
"317","Latium et Campania (Regio I)",1,1,2,3,1.56259502833311
"318","Baetica",1,1,2,3,1.88860341786263
"319","Dacia",1,1,2,3,1.90283439272287
"320","Africa Proconsularis",1,1,2,3,2.22229387607814
"321","Germania Superior",1,1,2,4,-1.72928708471733
"322","Lusitania",1,1,2,4,-1.70535268812916
"323","Aquitania",1,1,2,4,-1.30359053049933
"324","Germania Inferior",1,1,2,4,-1.30277709224993
"325","Transpadana (Regio XI)",1,1,2,4,-1.13958692803104
"326","Pannonia Superior",1,1,2,4,-1.00465887362136
"327","Belgica",1,1,2,4,-0.967408902894151
"328","Narbonensis",1,1,2,4,-0.96387262783671
"329","Venetia et Histria (Regio X)",1,1,2,4,-0.866779148748781
"330","Lugdunensis",1,1,2,4,-0.792643547592904
"331","Britannia",1,1,2,4,-0.774187790102935
"332","Hispania Citerior",1,1,2,4,-0.605994667992559
"333","Sardinia",1,1,2,4,-0.594420512711716
"334","Moesia Superior",1,1,2,4,-0.529914288602038
"335","Aemilia (Regio VIII)",1,1,2,4,-0.4055173654605
"336","Dalmatia",1,1,2,4,-0.293164899067218
"337","Raetia",1,1,2,4,-0.269811775555826
"338","Apulia et Calabria (Regio II)",1,1,2,4,-0.25286360378971
"339","Moesia Inferior",1,1,2,4,-0.227113237333545
"340","Noricum",1,1,2,4,-0.178734112026659
"341","Pannonia Inferior",1,1,2,4,-0.135916655640907
"342","Mauretania Tingitana",1,1,2,4,0.00587660412491124
"343","Samnium (Regio IV)",1,1,2,4,0.0251512160611196
"344","Umbria (Regio VI)",1,1,2,4,0.0670180569375555
"345","Liguria (Regio IX)",1,1,2,4,0.134005783597108
"346","Syria",1,1,2,4,0.3266870078955
"347","Bruttium et Lucania (Regio III)",1,1,2,4,0.350734704999009
"348","Galatia",1,1,2,4,0.373390341350404
"349","Numidia",1,1,2,4,0.59031298016902
"350","Picenum (Regio V)",1,1,2,4,0.592877004925335
"351","Mauretania Caesariensis",1,1,2,4,0.690011622627496
"352","Achaia",1,1,2,4,0.750950701601464
"353","Etruria (Regio VII)",1,1,2,4,1.02468340419817
"354","Asia",1,1,2,4,1.11513949875095
"355","Macedonia",1,1,2,4,1.15379824791286
"356","Sicilia",1,1,2,4,1.16801300922093
"357","Latium et Campania (Regio I)",1,1,2,4,1.67382920873558
"358","Dacia",1,1,2,4,1.74308737062434
"359","Baetica",1,1,2,4,1.99559677003073
"360","Africa Proconsularis",1,1,2,4,2.26243279884184
"361","Germania Superior",1,1,2,5,-1.77097844042283
"362","Lusitania",1,1,2,5,-1.64623912872818
"363","Germania Inferior",1,1,2,5,-1.34289610129088
"364","Aquitania",1,1,2,5,-1.309892330898
"365","Transpadana (Regio XI)",1,1,2,5,-1.17587492004987
"366","Pannonia Superior",1,1,2,5,-1.02836999693046
"367","Belgica",1,1,2,5,-1.01631479811771
"368","Narbonensis",1,1,2,5,-1.00670059616644
"369","Lugdunensis",1,1,2,5,-0.828197380024713
"370","Britannia",1,1,2,5,-0.823220445317751
"371","Venetia et Histria (Regio X)",1,1,2,5,-0.76467572882541
"372","Sardinia",1,1,2,5,-0.596331885950404
"373","Moesia Superior",1,1,2,5,-0.541083155092998
"374","Hispania Citerior",1,1,2,5,-0.540092643244568
"375","Dalmatia",1,1,2,5,-0.316071035318044
"376","Raetia",1,1,2,5,-0.279615014426883
"377","Moesia Inferior",1,1,2,5,-0.247452102635887
"378","Apulia et Calabria (Regio II)",1,1,2,5,-0.245622553355758
"379","Aemilia (Regio VIII)",1,1,2,5,-0.242892647883673
"380","Noricum",1,1,2,5,-0.175699392849741
"381","Pannonia Inferior",1,1,2,5,-0.133601906576847
"382","Mauretania Tingitana",1,1,2,5,-0.0115330027952599
"383","Samnium (Regio IV)",1,1,2,5,0.053765349571802
"384","Umbria (Regio VI)",1,1,2,5,0.103890909082822
"385","Liguria (Regio IX)",1,1,2,5,0.153504793495364
"386","Syria",1,1,2,5,0.299792163111028
"387","Galatia",1,1,2,5,0.378120098475983
"388","Bruttium et Lucania (Regio III)",1,1,2,5,0.389344854945088
"389","Numidia",1,1,2,5,0.589421417733777
"390","Picenum (Regio V)",1,1,2,5,0.605392200811514
"391","Mauretania Caesariensis",1,1,2,5,0.694765623690242
"392","Achaia",1,1,2,5,0.737184605527579
"393","Etruria (Regio VII)",1,1,2,5,1.03299089185227
"394","Asia",1,1,2,5,1.10710557714322
"395","Macedonia",1,1,2,5,1.12500117634052
"396","Sicilia",1,1,2,5,1.17170710309288
"397","Latium et Campania (Regio I)",1,1,2,5,1.62025362812251
"398","Dacia",1,1,2,5,1.67853971538286
"399","Baetica",1,1,2,5,1.97801563236026
"400","Africa Proconsularis",1,1,2,5,2.32455946616259
"401","Germania Superior",1,1,3,1,-1.96315208134795
"402","Narbonensis",1,1,3,1,-1.73537113653938
"403","Germania Inferior",1,1,3,1,-1.39494486494012
"404","Transpadana (Regio XI)",1,1,3,1,-1.2317845244199
"405","Pannonia Superior",1,1,3,1,-1.18466317652324
"406","Belgica",1,1,3,1,-1.07299784980173
"407","Aquitania",1,1,3,1,-1.06343820686288
"408","Lusitania",1,1,3,1,-1.03862290551028
"409","Lugdunensis",1,1,3,1,-0.977122918517907
"410","Britannia",1,1,3,1,-0.848118908385556
"411","Moesia Superior",1,1,3,1,-0.57067859188811
"412","Dalmatia",1,1,3,1,-0.556444787722858
"413","Sardinia",1,1,3,1,-0.496557903030761
"414","Venetia et Histria (Regio X)",1,1,3,1,-0.45403511939599
"415","Raetia",1,1,3,1,-0.319611990407857
"416","Apulia et Calabria (Regio II)",1,1,3,1,-0.295395808358953
"417","Moesia Inferior",1,1,3,1,-0.268468327482051
"418","Hispania Citerior",1,1,3,1,-0.256566429317223
"419","Aemilia (Regio VIII)",1,1,3,1,-0.12598028416412
"420","Noricum",1,1,3,1,-0.0826615554581023
"421","Pannonia Inferior",1,1,3,1,-0.0697887523692314
"422","Mauretania Tingitana",1,1,3,1,0.109398843431287
"423","Umbria (Regio VI)",1,1,3,1,0.201426322146886
"424","Samnium (Regio IV)",1,1,3,1,0.227171017507965
"425","Syria",1,1,3,1,0.230103568999347
"426","Liguria (Regio IX)",1,1,3,1,0.318896238013034
"427","Galatia",1,1,3,1,0.434533192899311
"428","Numidia",1,1,3,1,0.594348074470809
"429","Picenum (Regio V)",1,1,3,1,0.648237727691288
"430","Mauretania Caesariensis",1,1,3,1,0.656734102587997
"431","Bruttium et Lucania (Regio III)",1,1,3,1,0.699903544649822
"432","Achaia",1,1,3,1,0.81045722804874
"433","Etruria (Regio VII)",1,1,3,1,0.901408949306182
"434","Latium et Campania (Regio I)",1,1,3,1,0.947544402012303
"435","Macedonia",1,1,3,1,1.12287541459117
"436","Asia",1,1,3,1,1.1861603383721
"437","Sicilia",1,1,3,1,1.24714210134981
"438","Dacia",1,1,3,1,1.28016706921212
"439","Baetica",1,1,3,1,1.5692855279007
"440","Africa Proconsularis",1,1,3,1,2.82061245925333
"441","Germania Superior",1,1,3,2,-1.76572239403852
"442","Lusitania",1,1,3,2,-1.71967626364318
"443","Narbonensis",1,1,3,2,-1.48706425037344
"444","Germania Inferior",1,1,3,2,-1.18619952988096
"445","Transpadana (Regio XI)",1,1,3,2,-1.11937796968166
"446","Venetia et Histria (Regio X)",1,1,3,2,-1.0852561358887
"447","Aquitania",1,1,3,2,-1.05751233401971
"448","Pannonia Superior",1,1,3,2,-0.937958076724565
"449","Belgica",1,1,3,2,-0.822895361288988
"450","Hispania Citerior",1,1,3,2,-0.736023883303212
"451","Lugdunensis",1,1,3,2,-0.721009972296538
"452","Britannia",1,1,3,2,-0.668431630189436
"453","Sardinia",1,1,3,2,-0.527584334201427
"454","Moesia Superior",1,1,3,2,-0.45072245701241
"455","Aemilia (Regio VIII)",1,1,3,2,-0.419987489672888
"456","Dalmatia",1,1,3,2,-0.375329531165517
"457","Apulia et Calabria (Regio II)",1,1,3,2,-0.281225225254513
"458","Raetia",1,1,3,2,-0.222092476575256
"459","Moesia Inferior",1,1,3,2,-0.179023342880094
"460","Umbria (Regio VI)",1,1,3,2,-0.0963533822765237
"461","Noricum",1,1,3,2,-0.0953784515473013
"462","Pannonia Inferior",1,1,3,2,-0.0770235523295833
"463","Mauretania Tingitana",1,1,3,2,0.0599158688205735
"464","Liguria (Regio IX)",1,1,3,2,0.07788450738946
"465","Samnium (Regio IV)",1,1,3,2,0.0911843411687995
"466","Syria",1,1,3,2,0.347535077643767
"467","Bruttium et Lucania (Regio III)",1,1,3,2,0.452326160636146
"468","Galatia",1,1,3,2,0.48461479283979
"469","Picenum (Regio V)",1,1,3,2,0.531636874605935
"470","Mauretania Caesariensis",1,1,3,2,0.624416309011319
"471","Numidia",1,1,3,2,0.665402889576448
"472","Achaia",1,1,3,2,0.807574977522565
"473","Latium et Campania (Regio I)",1,1,3,2,0.940091664167835
"474","Etruria (Regio VII)",1,1,3,2,1.07350739621821
"475","Macedonia",1,1,3,2,1.21453112134743
"476","Sicilia",1,1,3,2,1.27248730333291
"477","Asia",1,1,3,2,1.29761955220856
"478","Dacia",1,1,3,2,1.8531836233666
"479","Baetica",1,1,3,2,1.8599150326011
"480","Africa Proconsularis",1,1,3,2,2.37802055178696
"481","Lusitania",1,1,3,3,-1.81491681140785
"482","Germania Superior",1,1,3,3,-1.71413494704963
"483","Narbonensis",1,1,3,3,-1.55362839558512
"484","Germania Inferior",1,1,3,3,-1.13798789260226
"485","Transpadana (Regio XI)",1,1,3,3,-1.13729086747661
"486","Venetia et Histria (Regio X)",1,1,3,3,-1.0933752168198
"487","Aquitania",1,1,3,3,-1.01211307382738
"488","Pannonia Superior",1,1,3,3,-0.948672338070679
"489","Hispania Citerior",1,1,3,3,-0.799097268851475
"490","Lugdunensis",1,1,3,3,-0.71534292761786
"491","Belgica",1,1,3,3,-0.705594928175983
"492","Britannia",1,1,3,3,-0.638845749395655
"493","Sardinia",1,1,3,3,-0.524010992667974
"494","Moesia Superior",1,1,3,3,-0.440150428170657
