"","province","m","l_it","s_it","g_it","a_it","r_it","eci"
"1","Bithynia et Pontus","r_0","1","1","1","1","1",-1.96424101056615
"2","Creta","r_0","1","1","1","1","1",-0.98215574248949
"3","Macedonia","r_0","1","1","1","1","1",-0.587541065067023
"4","Asia","r_0","1","1","1","1","1",-0.469945276625724
"5","Thracia","r_0","1","1","1","1","1",-0.468337194792034
"6","Africa Proconsularis","r_0","1","1","1","1","1",-0.463411229455891
"7","Numidia","r_0","1","1","1","1","1",-0.430652847955131
"8","Mauretania Tingitana","r_0","1","1","1","1","1",-0.401687487381728
"9","Arabia","r_0","1","1","1","1","1",-0.387617981810634
"10","Sicilia","r_0","1","1","1","1","1",-0.384743787815599
"11","Achaia","r_0","1","1","1","1","1",-0.375914905356853
"12","Pannonia Inferior","r_0","1","1","1","1","1",-0.375673421972055
"13","Aegyptus","r_0","1","1","1","1","1",-0.339039004624548
"14","Moesia Inferior","r_0","1","1","1","1","1",-0.321660395100245
"15","Dacia","r_0","1","1","1","1","1",-0.290791704079655
"16","Iudaea","r_0","1","1","1","1","1",-0.255253272675788
"17","Cilicia","r_0","1","1","1","1","1",-0.218858561559813
"18","Noricum","r_0","1","1","1","1","1",-0.20758108951277
"19","Syria","r_0","1","1","1","1","1",-0.184601818091758
"20","Pannonia Superior","r_0","1","1","1","1","1",-0.177709285923545
"21","Epirus","r_0","1","1","1","1","1",-0.162165645664708
"22","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","1",-0.155005190842735
"23","Liguria (Regio IX)","r_0","1","1","1","1","1",-0.146315577987204
"24","Raetia","r_0","1","1","1","1","1",-0.118573433694697
"25","Britannia","r_0","1","1","1","1","1",-0.108541515276878
"26","Moesia Superior","r_0","1","1","1","1","1",-0.101670898441915
"27","Cappadocia","r_0","1","1","1","1","1",-0.0989096710385492
"28","Galatia","r_0","1","1","1","1","1",-0.0866108910468357
"29","Sardinia","r_0","1","1","1","1","1",-0.0846239565358615
"30","Alpes Graiae","r_0","1","1","1","1","1",-0.0815728490826812
"31","Alpes Maritimae","r_0","1","1","1","1","1",-0.0808749015685748
"32","Alpes Cottiae","r_0","1","1","1","1","1",-0.0547788694537238
"33","Corsica","r_0","1","1","1","1","1",-0.0498251966673763
"34","Etruria (Regio VII)","r_0","1","1","1","1","1",-0.0339432399792972
"35","Lusitania","r_0","1","1","1","1","1",-0.0316020490389113
"36","Cyrene","r_0","1","1","1","1","1",-0.0242348646519424
"37","Picenum (Regio V)","r_0","1","1","1","1","1",0.00545716288091004
"38","Dalmatia","r_0","1","1","1","1","1",0.0065555888551527
"39","Aquitania","r_0","1","1","1","1","1",0.0358123788754374
"40","Lugdunensis","r_0","1","1","1","1","1",0.0940095899174679
"41","Umbria (Regio VI)","r_0","1","1","1","1","1",0.106216995714174
"42","Aemilia (Regio VIII)","r_0","1","1","1","1","1",0.112809457162061
"43","Mauretania Caesariensis","r_0","1","1","1","1","1",0.126105186138332
"44","Transpadana (Regio XI)","r_0","1","1","1","1","1",0.132244913684744
"45","Germania Inferior","r_0","1","1","1","1","1",0.132507376499663
"46","Samnium (Regio IV)","r_0","1","1","1","1","1",0.145990715348678
"47","Hispania Citerior","r_0","1","1","1","1","1",0.215438411762198
"48","Baetica","r_0","1","1","1","1","1",0.243328976142469
"49","Apulia et Calabria (Regio II)","r_0","1","1","1","1","1",0.380164692871998
"50","Belgica","r_0","1","1","1","1","1",0.43045638338209
"51","Germania Superior","r_0","1","1","1","1","1",0.460416355733962
"52","Venetia et Histria (Regio X)","r_0","1","1","1","1","1",0.598138392065099
"53","Narbonensis","r_0","1","1","1","1","1",0.870274220902767
"54","Latium et Campania (Regio I)","r_0","1","1","1","1","1",6.61073903589112
"55","Bithynia et Pontus","r_0","1","1","1","1","2",-1.82245752928899
"56","Creta","r_0","1","1","1","1","2",-0.897365742963566
"57","Asia","r_0","1","1","1","1","2",-0.772743766624887
"58","Macedonia","r_0","1","1","1","1","2",-0.548293698957453
"59","Thracia","r_0","1","1","1","1","2",-0.44929496970631
"60","Africa Proconsularis","r_0","1","1","1","1","2",-0.422975025981036
"61","Mauretania Tingitana","r_0","1","1","1","1","2",-0.386720520428885
"62","Numidia","r_0","1","1","1","1","2",-0.38268717473913
"63","Arabia","r_0","1","1","1","1","2",-0.366833324285617
"64","Sicilia","r_0","1","1","1","1","2",-0.358015374687638
"65","Pannonia Inferior","r_0","1","1","1","1","2",-0.35498581960894
"66","Achaia","r_0","1","1","1","1","2",-0.33858347312549
"67","Moesia Inferior","r_0","1","1","1","1","2",-0.311743571347601
"68","Aegyptus","r_0","1","1","1","1","2",-0.3017420370719
"69","Dacia","r_0","1","1","1","1","2",-0.295324746287792
"70","Iudaea","r_0","1","1","1","1","2",-0.218428049113556
"71","Noricum","r_0","1","1","1","1","2",-0.206195104392934
"72","Cilicia","r_0","1","1","1","1","2",-0.189439505138119
"73","Pannonia Superior","r_0","1","1","1","1","2",-0.185072762362268
"74","Syria","r_0","1","1","1","1","2",-0.178511877030267
"75","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","2",-0.1613323095667
"76","Epirus","r_0","1","1","1","1","2",-0.158412402036945
"77","Liguria (Regio IX)","r_0","1","1","1","1","2",-0.1468090802583
"78","Etruria (Regio VII)","r_0","1","1","1","1","2",-0.12085789892028
"79","Britannia","r_0","1","1","1","1","2",-0.114972499196669
"80","Raetia","r_0","1","1","1","1","2",-0.104040539160236
"81","Moesia Superior","r_0","1","1","1","1","2",-0.0964167791427647
"82","Galatia","r_0","1","1","1","1","2",-0.0897035418518691
"83","Cappadocia","r_0","1","1","1","1","2",-0.0894137937839749
"84","Sardinia","r_0","1","1","1","1","2",-0.0825628421698833
"85","Alpes Maritimae","r_0","1","1","1","1","2",-0.0806448900896558
"86","Alpes Graiae","r_0","1","1","1","1","2",-0.0718372390719161
"87","Alpes Cottiae","r_0","1","1","1","1","2",-0.0543518870758585
"88","Corsica","r_0","1","1","1","1","2",-0.0492876119868042
"89","Cyrene","r_0","1","1","1","1","2",-0.0383748322865987
"90","Lusitania","r_0","1","1","1","1","2",-0.02550739286562
"91","Picenum (Regio V)","r_0","1","1","1","1","2",-0.0091556690964881
"92","Dalmatia","r_0","1","1","1","1","2",0.0164370679044584
"93","Aquitania","r_0","1","1","1","1","2",0.0240027356135967
"94","Umbria (Regio VI)","r_0","1","1","1","1","2",0.082289567853993
"95","Lugdunensis","r_0","1","1","1","1","2",0.0896697760425911
"96","Transpadana (Regio XI)","r_0","1","1","1","1","2",0.0941127975997541
"97","Aemilia (Regio VIII)","r_0","1","1","1","1","2",0.097567362886776
"98","Mauretania Caesariensis","r_0","1","1","1","1","2",0.117803235618025
"99","Samnium (Regio IV)","r_0","1","1","1","1","2",0.125865687283881
"100","Germania Inferior","r_0","1","1","1","1","2",0.132931665520033
"101","Hispania Citerior","r_0","1","1","1","1","2",0.193197113078718
"102","Baetica","r_0","1","1","1","1","2",0.222053842174336
"103","Apulia et Calabria (Regio II)","r_0","1","1","1","1","2",0.374596951027672
"104","Belgica","r_0","1","1","1","1","2",0.42429557371866
"105","Germania Superior","r_0","1","1","1","1","2",0.42826220316099
"106","Venetia et Histria (Regio X)","r_0","1","1","1","1","2",0.578557513751486
"107","Narbonensis","r_0","1","1","1","1","2",0.808225763325672
"108","Latium et Campania (Regio I)","r_0","1","1","1","1","2",6.6712264251423
"109","Bithynia et Pontus","r_0","1","1","1","1","3",-1.79832064794725
"110","Creta","r_0","1","1","1","1","3",-0.88569019920211
"111","Asia","r_0","1","1","1","1","3",-0.751001213935387
"112","Macedonia","r_0","1","1","1","1","3",-0.53491642579738
"113","Thracia","r_0","1","1","1","1","3",-0.443804394398398
"114","Africa Proconsularis","r_0","1","1","1","1","3",-0.405529821676773
"115","Mauretania Tingitana","r_0","1","1","1","1","3",-0.380729406247247
"116","Numidia","r_0","1","1","1","1","3",-0.367824716369659
"117","Arabia","r_0","1","1","1","1","3",-0.362307067256725
"118","Pannonia Inferior","r_0","1","1","1","1","3",-0.348165916903431
"119","Sicilia","r_0","1","1","1","1","3",-0.343847020791307
"120","Achaia","r_0","1","1","1","1","3",-0.324694233480702
"121","Moesia Inferior","r_0","1","1","1","1","3",-0.310237890029885
"122","Aegyptus","r_0","1","1","1","1","3",-0.297373523597163
"123","Dacia","r_0","1","1","1","1","3",-0.291244213769497
"124","Iudaea","r_0","1","1","1","1","3",-0.214824526697193
"125","Noricum","r_0","1","1","1","1","3",-0.202167744612668
"126","Cilicia","r_0","1","1","1","1","3",-0.186652929177338
"127","Pannonia Superior","r_0","1","1","1","1","3",-0.185970094614021
"128","Syria","r_0","1","1","1","1","3",-0.175760486395329
"129","Epirus","r_0","1","1","1","1","3",-0.157346183449741
"130","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","3",-0.155199935496117
"131","Liguria (Regio IX)","r_0","1","1","1","1","3",-0.147458497218054
"132","Britannia","r_0","1","1","1","1","3",-0.138714001434199
"133","Raetia","r_0","1","1","1","1","3",-0.115556727060504
"134","Etruria (Regio VII)","r_0","1","1","1","1","3",-0.113347062123568
"135","Moesia Superior","r_0","1","1","1","1","3",-0.0984267883830429
"136","Cappadocia","r_0","1","1","1","1","3",-0.0880521775120286
"137","Galatia","r_0","1","1","1","1","3",-0.0862882915471913
"138","Alpes Maritimae","r_0","1","1","1","1","3",-0.0802976188683058
"139","Sardinia","r_0","1","1","1","1","3",-0.079814373502737
"140","Alpes Graiae","r_0","1","1","1","1","3",-0.0709585161828993
"141","Alpes Cottiae","r_0","1","1","1","1","3",-0.0537131817866319
"142","Corsica","r_0","1","1","1","1","3",-0.0485843841867183
"143","Cyrene","r_0","1","1","1","1","3",-0.0379103937174914
"144","Dalmatia","r_0","1","1","1","1","3",-0.0192665512844719
"145","Lusitania","r_0","1","1","1","1","3",-0.0138482143970677
"146","Picenum (Regio V)","r_0","1","1","1","1","3",-0.0062457169810748
"147","Aquitania","r_0","1","1","1","1","3",-0.00133494439512835
"148","Lugdunensis","r_0","1","1","1","1","3",0.0726120152335001
"149","Umbria (Regio VI)","r_0","1","1","1","1","3",0.0900360189946305
"150","Transpadana (Regio XI)","r_0","1","1","1","1","3",0.0917497555435151
"151","Aemilia (Regio VIII)","r_0","1","1","1","1","3",0.0961803856899012
"152","Germania Inferior","r_0","1","1","1","1","3",0.113698899337396
"153","Mauretania Caesariensis","r_0","1","1","1","1","3",0.115017040075689
"154","Samnium (Regio IV)","r_0","1","1","1","1","3",0.134264098492956
"155","Hispania Citerior","r_0","1","1","1","1","3",0.189319047004993
"156","Baetica","r_0","1","1","1","1","3",0.244505004826734
"157","Belgica","r_0","1","1","1","1","3",0.370263105402388
"158","Apulia et Calabria (Regio II)","r_0","1","1","1","1","3",0.371773011082943
"159","Germania Superior","r_0","1","1","1","1","3",0.395817610676037
"160","Venetia et Histria (Regio X)","r_0","1","1","1","1","3",0.571450465346639
"161","Narbonensis","r_0","1","1","1","1","3",0.768132995136211
"162","Latium et Campania (Regio I)","r_0","1","1","1","1","3",6.6986065795829
"163","Bithynia et Pontus","r_0","1","1","1","1","4",-1.81085639855715
"164","Creta","r_0","1","1","1","1","4",-0.892894670844214
"165","Asia","r_0","1","1","1","1","4",-0.75655967692032
"166","Macedonia","r_0","1","1","1","1","4",-0.538821307404806
"167","Thracia","r_0","1","1","1","1","4",-0.446030865945809
"168","Africa Proconsularis","r_0","1","1","1","1","4",-0.406323519409426
"169","Mauretania Tingitana","r_0","1","1","1","1","4",-0.380561168368137
"170","Numidia","r_0","1","1","1","1","4",-0.366319431966791
"171","Arabia","r_0","1","1","1","1","4",-0.362099420768432
"172","Sicilia","r_0","1","1","1","1","4",-0.346883995760934
"173","Pannonia Inferior","r_0","1","1","1","1","4",-0.34336870998157
"174","Achaia","r_0","1","1","1","1","4",-0.328688387588724
"175","Moesia Inferior","r_0","1","1","1","1","4",-0.306688863810155
"176","Aegyptus","r_0","1","1","1","1","4",-0.283909270682886
"177","Dacia","r_0","1","1","1","1","4",-0.283171196999288
"178","Iudaea","r_0","1","1","1","1","4",-0.216619639535954
"179","Noricum","r_0","1","1","1","1","4",-0.198518321945309
"180","Cilicia","r_0","1","1","1","1","4",-0.186617602317703
"181","Pannonia Superior","r_0","1","1","1","1","4",-0.183242242956022
"182","Syria","r_0","1","1","1","1","4",-0.173112769295958
"183","Epirus","r_0","1","1","1","1","4",-0.15824090518553
"184","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","4",-0.152082087180206
"185","Liguria (Regio IX)","r_0","1","1","1","1","4",-0.145226721068381
"186","Britannia","r_0","1","1","1","1","4",-0.141451961083947
"187","Raetia","r_0","1","1","1","1","4",-0.115205608825179
"188","Etruria (Regio VII)","r_0","1","1","1","1","4",-0.111639333862591
"189","Moesia Superior","r_0","1","1","1","1","4",-0.0948757292504238
"190","Cappadocia","r_0","1","1","1","1","4",-0.085858035313557
"191","Galatia","r_0","1","1","1","1","4",-0.0812274072977116
"192","Alpes Maritimae","r_0","1","1","1","1","4",-0.0784315976951652
"193","Sardinia","r_0","1","1","1","1","4",-0.0742977524795499
"194","Alpes Graiae","r_0","1","1","1","1","4",-0.0689582496065894
"195","Alpes Cottiae","r_0","1","1","1","1","4",-0.0511938196203726
"196","Corsica","r_0","1","1","1","1","4",-0.0469023231680811
"197","Cyrene","r_0","1","1","1","1","4",-0.0323537832446571
"198","Dalmatia","r_0","1","1","1","1","4",-0.0317494318758225
"199","Lusitania","r_0","1","1","1","1","4",-0.0113994124675972
"200","Aquitania","r_0","1","1","1","1","4",-0.0109858415416218
"201","Picenum (Regio V)","r_0","1","1","1","1","4",-0.00680668910746451
"202","Lugdunensis","r_0","1","1","1","1","4",0.076894429494547
"203","Transpadana (Regio XI)","r_0","1","1","1","1","4",0.0927285399809089
"204","Umbria (Regio VI)","r_0","1","1","1","1","4",0.0958331862860227
"205","Aemilia (Regio VIII)","r_0","1","1","1","1","4",0.100708175737055
"206","Germania Inferior","r_0","1","1","1","1","4",0.10347327339982
"207","Mauretania Caesariensis","r_0","1","1","1","1","4",0.113720651662876
"208","Samnium (Regio IV)","r_0","1","1","1","1","4",0.135248924237753
"209","Hispania Citerior","r_0","1","1","1","1","4",0.191954374192507
"210","Baetica","r_0","1","1","1","1","4",0.252120082428017
"211","Belgica","r_0","1","1","1","1","4",0.355059378234487
"212","Germania Superior","r_0","1","1","1","1","4",0.379388756003112
"213","Apulia et Calabria (Regio II)","r_0","1","1","1","1","4",0.379576951354019
"214","Venetia et Histria (Regio X)","r_0","1","1","1","1","4",0.581401419001904
"215","Narbonensis","r_0","1","1","1","1","4",0.755820542930009
"216","Latium et Campania (Regio I)","r_0","1","1","1","1","4",6.69624546599099
"217","Bithynia et Pontus","r_0","1","1","1","1","5",-1.79193626595894
"218","Creta","r_0","1","1","1","1","5",-0.883864513768155
"219","Asia","r_0","1","1","1","1","5",-0.747892049923106
"220","Macedonia","r_0","1","1","1","1","5",-0.538166914779632
"221","Thracia","r_0","1","1","1","1","5",-0.442933653114935
"222","Africa Proconsularis","r_0","1","1","1","1","5",-0.398785337810402
"223","Mauretania Tingitana","r_0","1","1","1","1","5",-0.376221505176705
"224","Numidia","r_0","1","1","1","1","5",-0.362151515316045
"225","Arabia","r_0","1","1","1","1","5",-0.360657757574277
"226","Sicilia","r_0","1","1","1","1","5",-0.339805356235016
"227","Pannonia Inferior","r_0","1","1","1","1","5",-0.338759674213896
"228","Achaia","r_0","1","1","1","1","5",-0.324515066852314
"229","Moesia Inferior","r_0","1","1","1","1","5",-0.310047045479494
"230","Aegyptus","r_0","1","1","1","1","5",-0.281556505222661
"231","Dacia","r_0","1","1","1","1","5",-0.281015810836395
"232","Iudaea","r_0","1","1","1","1","5",-0.214653691462437
"233","Noricum","r_0","1","1","1","1","5",-0.196770261664929
"234","Cilicia","r_0","1","1","1","1","5",-0.185890771733051
"235","Pannonia Superior","r_0","1","1","1","1","5",-0.180723534452798
"236","Syria","r_0","1","1","1","1","5",-0.173337155429618
"237","Epirus","r_0","1","1","1","1","5",-0.157250302641631
"238","Liguria (Regio IX)","r_0","1","1","1","1","5",-0.149961096376229
"239","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","5",-0.149447029164696
"240","Britannia","r_0","1","1","1","1","5",-0.145371831312323
"241","Raetia","r_0","1","1","1","1","5",-0.12119439164018
"242","Etruria (Regio VII)","r_0","1","1","1","1","5",-0.108086593135584
"243","Moesia Superior","r_0","1","1","1","1","5",-0.100450010279962
"244","Cappadocia","r_0","1","1","1","1","5",-0.0865593803819225
"245","Galatia","r_0","1","1","1","1","5",-0.0813907067918702
"246","Alpes Maritimae","r_0","1","1","1","1","5",-0.0796453157568956
"247","Sardinia","r_0","1","1","1","1","5",-0.0730794643253231
"248","Alpes Graiae","r_0","1","1","1","1","5",-0.0696913589610875
"249","Alpes Cottiae","r_0","1","1","1","1","5",-0.0520796884539
"250","Corsica","r_0","1","1","1","1","5",-0.0478151610798731
"251","Cyrene","r_0","1","1","1","1","5",-0.036492236323196
"252","Dalmatia","r_0","1","1","1","1","5",-0.0311258832776391
"253","Aquitania","r_0","1","1","1","1","5",-0.0230902064656066
"254","Lusitania","r_0","1","1","1","1","5",-0.01289961546161
"255","Picenum (Regio V)","r_0","1","1","1","1","5",-0.00475069987490392
"256","Lugdunensis","r_0","1","1","1","1","5",0.061980490103405
"257","Transpadana (Regio XI)","r_0","1","1","1","1","5",0.0842270068403484
"258","Germania Inferior","r_0","1","1","1","1","5",0.0881431452534328
"259","Umbria (Regio VI)","r_0","1","1","1","1","5",0.0926837998596871
"260","Aemilia (Regio VIII)","r_0","1","1","1","1","5",0.100975914258946
"261","Mauretania Caesariensis","r_0","1","1","1","1","5",0.115200397086395
"262","Samnium (Regio IV)","r_0","1","1","1","1","5",0.131871459690673
"263","Hispania Citerior","r_0","1","1","1","1","5",0.188952815830339
"264","Baetica","r_0","1","1","1","1","5",0.299210926373439
"265","Belgica","r_0","1","1","1","1","5",0.344182483394442
"266","Apulia et Calabria (Regio II)","r_0","1","1","1","1","5",0.345466251261139
"267","Germania Superior","r_0","1","1","1","1","5",0.362895234330917
"268","Venetia et Histria (Regio X)","r_0","1","1","1","1","5",0.594758634067168
"269","Narbonensis","r_0","1","1","1","1","5",0.741578078290069
"270","Latium et Campania (Regio I)","r_0","1","1","1","1","5",6.70793872206884
"271","Bithynia et Pontus","r_0","1","1","1","2","1",-1.97092749874307
"272","Creta","r_0","1","1","1","2","1",-0.985463275200371
"273","Macedonia","r_0","1","1","1","2","1",-0.589581812952856
"274","Asia","r_0","1","1","1","2","1",-0.498428822156819
"275","Thracia","r_0","1","1","1","2","1",-0.468884538979805
"276","Africa Proconsularis","r_0","1","1","1","2","1",-0.464833510293521
"277","Numidia","r_0","1","1","1","2","1",-0.42789120801106
"278","Mauretania Tingitana","r_0","1","1","1","2","1",-0.400534033418596
"279","Arabia","r_0","1","1","1","2","1",-0.386775663759834
"280","Sicilia","r_0","1","1","1","2","1",-0.386704661022202
"281","Achaia","r_0","1","1","1","2","1",-0.378435405118304
"282","Pannonia Inferior","r_0","1","1","1","2","1",-0.371695048842986
"283","Aegyptus","r_0","1","1","1","2","1",-0.337882535866632
"284","Moesia Inferior","r_0","1","1","1","2","1",-0.31928764132501
"285","Dacia","r_0","1","1","1","2","1",-0.289040250185739
"286","Iudaea","r_0","1","1","1","2","1",-0.255695383355201
"287","Cilicia","r_0","1","1","1","2","1",-0.218067299974021
"288","Noricum","r_0","1","1","1","2","1",-0.205693755337318
"289","Syria","r_0","1","1","1","2","1",-0.184272542818062
"290","Pannonia Superior","r_0","1","1","1","2","1",-0.173664199065685
"291","Epirus","r_0","1","1","1","2","1",-0.16319935849005
"292","Bruttium et Lucania (Regio III)","r_0","1","1","1","2","1",-0.15427383408676
"293","Liguria (Regio IX)","r_0","1","1","1","2","1",-0.144485858941347
"294","Raetia","r_0","1","1","1","2","1",-0.112632669091433
"295","Britannia","r_0","1","1","1","2","1",-0.104141817619158
"296","Moesia Superior","r_0","1","1","1","2","1",-0.0981212857319103
"297","Cappadocia","r_0","1","1","1","2","1",-0.0975120259760525
"298","Galatia","r_0","1","1","1","2","1",-0.0859594485335239
"299","Sardinia","r_0","1","1","1","2","1",-0.0821191198456961
"300","Alpes Graiae","r_0","1","1","1","2","1",-0.0802007729984857
"301","Alpes Maritimae","r_0","1","1","1","2","1",-0.0793558174161602
"302","Alpes Cottiae","r_0","1","1","1","2","1",-0.0532041526288201
"303","Etruria (Regio VII)","r_0","1","1","1","2","1",-0.0519151207582327
"304","Corsica","r_0","1","1","1","2","1",-0.0483890345738878
"305","Lusitania","r_0","1","1","1","2","1",-0.0279940609312225
"306","Cyrene","r_0","1","1","1","2","1",-0.0205500379145343
"307","Picenum (Regio V)","r_0","1","1","1","2","1",0.00410776147104064
"308","Dalmatia","r_0","1","1","1","2","1",0.0110690980447726
"309","Aquitania","r_0","1","1","1","2","1",0.040124616597197
"310","Lugdunensis","r_0","1","1","1","2","1",0.100032964521025
"311","Umbria (Regio VI)","r_0","1","1","1","2","1",0.107358237837985
"312","Aemilia (Regio VIII)","r_0","1","1","1","2","1",0.114899009820881
"313","Mauretania Caesariensis","r_0","1","1","1","2","1",0.127208118765132
"314","Transpadana (Regio XI)","r_0","1","1","1","2","1",0.131360629969438
"315","Germania Inferior","r_0","1","1","1","2","1",0.139843524311358
"316","Samnium (Regio IV)","r_0","1","1","1","2","1",0.145017808544961
"317","Hispania Citerior","r_0","1","1","1","2","1",0.214643865363376
"318","Baetica","r_0","1","1","1","2","1",0.241644366813867
"319","Apulia et Calabria (Regio II)","r_0","1","1","1","2","1",0.384619138768788
"320","Belgica","r_0","1","1","1","2","1",0.437063985981611
"321","Germania Superior","r_0","1","1","1","2","1",0.479971994101675
"322","Venetia et Histria (Regio X)","r_0","1","1","1","2","1",0.60609785346471
"323","Narbonensis","r_0","1","1","1","2","1",0.822861099701211
"324","Latium et Campania (Regio I)","r_0","1","1","1","2","1",6.60988942788534
"325","Bithynia et Pontus","r_0","1","1","1","2","2",-1.83235856904549
"326","Creta","r_0","1","1","1","2","2",-0.902467521503799
"327","Asia","r_0","1","1","1","2","2",-0.774496840364059
"328","Macedonia","r_0","1","1","1","2","2",-0.549626018257463
"329","Thracia","r_0","1","1","1","2","2",-0.450038206649173
"330","Africa Proconsularis","r_0","1","1","1","2","2",-0.42485939636125
"331","Mauretania Tingitana","r_0","1","1","1","2","2",-0.386275654710884
"332","Numidia","r_0","1","1","1","2","2",-0.371673086213962
"333","Arabia","r_0","1","1","1","2","2",-0.365936967664363
"334","Sicilia","r_0","1","1","1","2","2",-0.357475699604626
"335","Pannonia Inferior","r_0","1","1","1","2","2",-0.352291916144889
"336","Achaia","r_0","1","1","1","2","2",-0.339397539927103
"337","Moesia Inferior","r_0","1","1","1","2","2",-0.310628661254939
"338","Aegyptus","r_0","1","1","1","2","2",-0.300999890749858
"339","Dacia","r_0","1","1","1","2","2",-0.29355995087527
"340","Iudaea","r_0","1","1","1","2","2",-0.218908935192291
"341","Noricum","r_0","1","1","1","2","2",-0.204358186264776
"342","Cilicia","r_0","1","1","1","2","2",-0.188964177870338
"343","Pannonia Superior","r_0","1","1","1","2","2",-0.182833775974043
"344","Syria","r_0","1","1","1","2","2",-0.178331603976111
"345","Epirus","r_0","1","1","1","2","2",-0.159805179809196
"346","Bruttium et Lucania (Regio III)","r_0","1","1","1","2","2",-0.158948919216315
"347","Liguria (Regio IX)","r_0","1","1","1","2","2",-0.147629719440724
"348","Etruria (Regio VII)","r_0","1","1","1","2","2",-0.121669471457624
"349","Britannia","r_0","1","1","1","2","2",-0.112817291687683
"350","Raetia","r_0","1","1","1","2","2",-0.104440573646981
"351","Moesia Superior","r_0","1","1","1","2","2",-0.0945386839099255
"352","Galatia","r_0","1","1","1","2","2",-0.0881196050920192
"353","Cappadocia","r_0","1","1","1","2","2",-0.0878380151796987
"354","Alpes Maritimae","r_0","1","1","1","2","2",-0.0794236087471605
"355","Sardinia","r_0","1","1","1","2","2",-0.0778045150513769
"356","Alpes Graiae","r_0","1","1","1","2","2",-0.0704932702750596
"357","Alpes Cottiae","r_0","1","1","1","2","2",-0.0527274139415741
"358","Corsica","r_0","1","1","1","2","2",-0.0477511537527736
"359","Cyrene","r_0","1","1","1","2","2",-0.0349879813546746
"360","Lusitania","r_0","1","1","1","2","2",-0.0243056399287444
"361","Picenum (Regio V)","r_0","1","1","1","2","2",-0.00948677426674885
"362","Dalmatia","r_0","1","1","1","2","2",0.0187460153752985
"363","Aquitania","r_0","1","1","1","2","2",0.0238438810982437
"364","Umbria (Regio VI)","r_0","1","1","1","2","2",0.0825839402161121
"365","Lugdunensis","r_0","1","1","1","2","2",0.0926066187546823
"366","Transpadana (Regio XI)","r_0","1","1","1","2","2",0.0951440827956405
"367","Aemilia (Regio VIII)","r_0","1","1","1","2","2",0.0978994095396954
"368","Mauretania Caesariensis","r_0","1","1","1","2","2",0.117547032223228
"369","Samnium (Regio IV)","r_0","1","1","1","2","2",0.128606773616611
"370","Germania Inferior","r_0","1","1","1","2","2",0.133184744322623
"371","Hispania Citerior","r_0","1","1","1","2","2",0.192050496580305
"372","Baetica","r_0","1","1","1","2","2",0.226235108284159
"373","Apulia et Calabria (Regio II)","r_0","1","1","1","2","2",0.37818283968149
"374","Belgica","r_0","1","1","1","2","2",0.425903735468781
"375","Germania Superior","r_0","1","1","1","2","2",0.427997980211481
"376","Venetia et Histria (Regio X)","r_0","1","1","1","2","2",0.584880849378331
"377","Narbonensis","r_0","1","1","1","2","2",0.759523582131242
"378","Latium et Campania (Regio I)","r_0","1","1","1","2","2",6.67333332568504
"379","Bithynia et Pontus","r_0","1","1","1","2","3",-1.83167927525507
"380","Creta","r_0","1","1","1","2","3",-0.902135210043799
"381","Asia","r_0","1","1","1","2","3",-0.776740150680707
"382","Macedonia","r_0","1","1","1","2","3",-0.549352571990617
"383","Thracia","r_0","1","1","1","2","3",-0.449805047286022
"384","Africa Proconsularis","r_0","1","1","1","2","3",-0.424595389893806
"385","Mauretania Tingitana","r_0","1","1","1","2","3",-0.386068380317924
"386","Numidia","r_0","1","1","1","2","3",-0.379573644111558
"387","Arabia","r_0","1","1","1","2","3",-0.365769032316394
"388","Sicilia","r_0","1","1","1","2","3",-0.359285409572276
"389","Pannonia Inferior","r_0","1","1","1","2","3",-0.351851394225042
"390","Achaia","r_0","1","1","1","2","3",-0.339469092255402
"391","Moesia Inferior","r_0","1","1","1","2","3",-0.310213693949346
"392","Aegyptus","r_0","1","1","1","2","3",-0.300886379961049
"393","Dacia","r_0","1","1","1","2","3",-0.29329373471176
"394","Iudaea","r_0","1","1","1","2","3",-0.218880455036804
"395","Noricum","r_0","1","1","1","2","3",-0.204066634475094
"396","Cilicia","r_0","1","1","1","2","3",-0.188917758767691
"397","Pannonia Superior","r_0","1","1","1","2","3",-0.182433492273662
"398","Syria","r_0","1","1","1","2","3",-0.178145769632434
"399","Epirus","r_0","1","1","1","2","3",-0.159693502114675
"400","Bruttium et Lucania (Regio III)","r_0","1","1","1","2","3",-0.158888926682018
"401","Liguria (Regio IX)","r_0","1","1","1","2","3",-0.147296914043144
"402","Etruria (Regio VII)","r_0","1","1","1","2","3",-0.121408455144752
"403","Britannia","r_0","1","1","1","2","3",-0.112318364622124
"404","Raetia","r_0","1","1","1","2","3",-0.10370532359402
"405","Moesia Superior","r_0","1","1","1","2","3",-0.0942228896018733
"406","Galatia","r_0","1","1","1","2","3",-0.0881322857756285
"407","Cappadocia","r_0","1","1","1","2","3",-0.0878201321276769
"408","Alpes Maritimae","r_0","1","1","1","2","3",-0.0792217642249594
"409","Sardinia","r_0","1","1","1","2","3",-0.0776486706708278
