"","std_spelling","Term","gen_sg","Term2","Vocab_nom_sg","gender","Source","HISCO_majorgroup","HISCO_minorgroup","Harris_Category","Subcategory","Translation_eng","Term_full"
"198","fabricator","fabricator","oris",NA,NA,"male","Petrikovits 1981a",9,94,"Miscellaneous Services",NA,"manufacturer, an artificer, framer, forger, contriver, fabricator","fabricator"
"199","fabricensis","fabricensis","ensis",NA,"fabricensis","male","Waltzing - provinces",8,83,"Metal-Working",NA,"an armorer","fabricensis"
"200","fabricensis","fabriciensis","ensis",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"an armorer","fabriciensis"
"201","fabricensis","fabriciensius","i",NA,NA,"male","Petrikovits 1981b",8,83,"Metal-Working",NA,"an armorer","fabriciensius"
"202","fabricensis","fabriciesis","esis",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"an armorer","fabriciesis"
"203","factor","factor","oris",NA,NA,"male","Petrikovits 1981a",6,61,"Food-Production",NA,"an oil-presser","factor"
"204","faenarius","faenarius","i",NA,"faenarius","male","Waltzing - Rome",3,39,"Finance",NA,"one who lends money on interest","faenarius"
"205","falancarius","falancarius","i",NA,"falancarius","male","Waltzing - Rome",9,97,"Transport","Land transport","one who carries burdens with the aid of a long pole","falancarius"
"206","farmacopola","farmacopola","ae",NA,"farmacopola","male","Waltzing - provinces",0,6,"Miscellaneous Services",NA,"druggist","farmacopola"
"207","ferrarius","ferrarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"iron smith","ferrarius"
"208","ferrius","ferrius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"worker with iron","ferrius"
"209","fictiliarius","fictiliarius","i",NA,NA,"male","Petrikovits 1981a",8,89,"Household Goods",NA,"potter","fictiliarius"
"210","fidicinus","fidicinus","i",NA,"fidicinus","male","Waltzing - Rome",1,17,"Performing Arts",NA,"lute player","fidicinus"
"211","figulus","figelus","i",NA,NA,"male","Petrikovits 1981a",8,89,"Household Goods",NA,"a potter","figelus"
"212","figulus","figlinator","oris",NA,NA,"male","Petrikovits 1981a",8,89,"Household Goods",NA,"a potter","figlinator"
"213","figulus","figlus","i",NA,NA,"male","Petrikovits 1981a",8,89,"Household Goods",NA,"a potter","figlus"
"214","figulus","figularius","i",NA,NA,"male","Petrikovits 1981a",8,89,"Household Goods",NA,"a potter","figularius"
"215","figulus","figulator","oris",NA,NA,"male","Petrikovits 1981a",8,89,"Household Goods",NA,"a potter","figulator"
"216","figulus","figulus","i",NA,"figulus","male","Waltzing - Rome",8,89,"Household Goods",NA,"a potter","figulus"
"217","finctor","fictor","oris",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"a moulder, sculptor, image-maker, statuary","fictor"
"218","finctor","finctor","oris",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"a moulder, sculptor, image-maker, statuary","finctor"
"219","flator","flator","oris",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"a blower of a windinstrument, caster","flator"
"220","flaturarius","flaturarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"a caster","flaturarius"
"221","florentinarius","florentinarius","i",NA,NA,"male","Petrikovits 1981a",NA,NA,"Unclassified",NA,"uncertain","florentinarius"
"222","focarius","focarius","i",NA,"focarius","male","Waltzing - provinces",5,53,"Food-Production",NA,"a kitchen-boy; a kitchen-maid, cook","focarius"
"223","fontanus","fontanus","i",NA,"fontanus","male","Waltzing - provinces",9,95,"Water-Management",NA,"of a spring, from a fountain, spring, worker?","fontanus"
"224","forensis","forensis","is",NA,"forensis","male","Waltzing - provinces",2,22,"Managerial",NA,"of or belonging to the market or forum, public, trader, a public pleader, advocate","forensis"
"225","fornacator","fornacator","oris",NA,NA,"male","Petrikovits 1981a",9,95,"Water-Management",NA,"the heater of a bath-furnace, a bath-heater","fornacator"
"226","fosor","fosor","oris",NA,NA,"male","Petrikovits 1981a",9,97,"Building",NA,"a digger, delver, ditcher","fosor"
"227","fosor","fossor","oris",NA,NA,"male","Petrikovits 1981a",9,97,"Building",NA,"a digger, delver, ditcher","fossor"
"228","frumentarius","frumentarius","i",NA,NA,"male","EDH/EDCS",4,43,"Retail",NA,"trader with corn","frumentarius"
"229","fullo","fullo","onis",NA,"fullo","male","Waltzing - Rome",7,75,"Clothing",NA,"a cloth-fuller","fullo"
"230","funerarius","funerarius","i",NA,NA,"male","Petrikovits 1981a",5,59,"Death-care sector",NA,"mortician","funerarius"
"231","funerarius","funerator","oris",NA,NA,"male","Petrikovits 1981a",5,59,"Death-care sector",NA,"mortician","funerator"
"232","furnaria","furnaria","ae",NA,NA,"female","Petrikovits 1981a",5,53,"Food-Production",NA,"female baker, stove builder","furnaria"
"233","furnarius","furnarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"baker, stove builder","furnarius"
"234","gallicarius","gallicarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Clothing","Shoe maker","special shoe type maker and seller","gallicarius"
"235","gallinarius","gallinarius","i",NA,"gallinarius","male","Waltzing - provinces",6,62,"Food-Production",NA,"a keeper of poultry","gallinarius"
"236","gaunacarius","gaunacarius","i",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"furrier","gaunacarius"
"237","gemmarius","gemmarius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"gem maker, carver","gemmarius"
"238","gerulus","gerulus","i",NA,"gerulus","male","Waltzing - Rome",9,97,"Transport","Land transport","a carrier, porter","gerulus"
"239","gisiarius","gisiarius","i",NA,"gisiarius","male","Waltzing - provinces",9,95,"Transport","Land transport","The maker / driver of a cabriolet","gisiarius"
"240","gladiarius","gladiarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"a sword-cutler","gladiarius"
"241","gladiator","gladiator","oris",NA,"gladiator","male","Waltzing - Rome",1,17,"Performing Arts",NA,"gladiator","gladiator"
"242","glutinarius","glutinarius","i",NA,NA,"male","Petrikovits 1981a",7,74,"Miscellaneous Services",NA,"glue boiler, glue maker","glutinarius"
"243","glutinator","glutinator","oris",NA,NA,"male","Petrikovits 1981a",7,74,"Miscellaneous Services",NA,"a gluer together of books, a bookbinder, papyrusbinder","glutinator"
"244","gypsarius","gupsarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"plaster worker","gupsarius"
"245","gypsarius","gypsarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"plaster worker","gypsarius"
"246","harenarius","arenarius","i",NA,"arenarius","male","Waltzing - provinces",1,17,"Performing Arts",NA,"harenarius, combatant in the amphitheatre, a gladiator","arenarius"
"247","harenarius","harenarius","i",NA,"harenarius","male","Waltzing - provinces",1,17,"Performing Arts",NA,"A combatant in the amphitheatre, a gladiator or A teacher of the elements of arithmetic","harenarius"
"248","hastifer","hastifer","eris",NA,"hastifer","male","Waltzing - provinces",5,58,"Miscellaneous Services",NA,"city militia","hastifer"
"249","holitor","hilitor","oris",NA,NA,"male","Petrikovits 1981a",6,63,"Food-Production",NA,"gardener, vegetable gardener","hilitor"
"250","holitor","holitor","oris",NA,NA,"male","Petrikovits 1981a",6,63,"Food-Production",NA,"gardener, vegetable gardener","holitor"
"251","horrearius","horrearius","i",NA,"horrearius","male","Waltzing - Rome",2,22,"Managerial",NA,"the superintendent of a storehouse","horrearius"
"252","hortolanus","hortolanus","i",NA,NA,"male","Petrikovits 1981a",5,55,"Miscellaneous Services",NA,"gardener","hortolanus"
"253","hortolanus","hortulanus","i",NA,NA,"male","Petrikovits 1981b",5,55,"Miscellaneous Services",NA,"gardener","hortulanus"
"254","imaginarius","imaginarius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"painter","imaginarius"
"255","inaurator","inaurator","oris",NA,"inaurator","male","Waltzing - Rome",8,88,"Metal-Working",NA,"a gilder","inaurator"
"256","infector","infector","oris",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing","Colour production","a dyer","infector"
"257","inpiliarius","impiliarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Clothing","Shoe maker","slipper maker, shoe maker","impiliarius"
"258","inpiliarius","inpiliarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Clothing","Shoe maker","slipper maker, felt shoe maker","inpiliarius"
"259","institor","institor","oris",NA,NA,"male","Petrikovits 1981a",4,45,"Retail",NA,"a factor, broker, huckster, hawker, peddler","institor"
"260","intestinarius","intestinarius","i",NA,NA,"male","Petrikovits 1981a",8,82,"Building","Wood worker","woodworker","intestinarius"
"261","intestinarius","intestinus","i",NA,NA,"male","Petrikovits 1981a",8,82,"Building","Wood worker","woodworker","intestinus"
"262","inundatoris","inundatoris","is",NA,"inundatoris","male","Waltzing - Rome",NA,NA,"Unclassified",NA,"unclear","inundatoris"
"263","iumentarius","iumentarius","i",NA,"iumentarius","male","Waltzing - Rome",9,97,"Transport","Land transport","of or belonging to draught-cattle","iumentarius"
"264","iumentarius","jumentarius","i",NA,"jumentarius","male","Waltzing - Rome",9,97,"Transport","Land transport","of or belonging to draught-cattle","jumentarius"
"265","lactarius","lactarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"food preparer with milk","lactarius"
"266","lactarius","lactearius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"food preparer with milk","lactearius"
"267","lanarius","lanarius","i",NA,"lanarius","male","Waltzing - provinces",7,75,"Clothing",NA,"a worker in wool","lanarius"
"268","laniarius","laniarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"a butcher","laniarius"
"269","lanifica","lanifica","ae",NA,NA,"female","Petrikovits 1981b",7,75,"Clothing",NA,"female wool-spinner","lanifica"
"270","lanificus","lanificus","i",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"a wool-spinner","lanificus"
"271","lanionus","lanionus","i",NA,"lanionus","male","Waltzing - provinces",7,77,"Food-Production",NA,"of or belonging to a butcher","lanionus"
"272","lanipendius","lanipendia","ae",NA,NA,"male","Petrikovits 1981b",7,75,"Clothing",NA,"one who weighs out wool","lanipendia"
"273","lanipendius","lanipendius","i",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"one who weighs out wool","lanipendius"
"274","lanius","lanio","onis",NA,NA,"male","Petrikovits 1981a",7,77,"Food-Production",NA,"a butcher","lanio"
"275","lanius","lanius","i",NA,"lanius","male","Waltzing - Rome",7,77,"Food-Production",NA,"a butcher","lanius"
"276","lanternarius","lanternarius","i",NA,NA,"male","Petrikovits 1981a",8,81,"Household Goods",NA,"lamp maker","lanternarius"
"277","lapicida","lapicida","ae",NA,NA,"male","Petrikovits 1981a",7,71,"Building","Stone worker","a quarryman, stone-cutter","lapicida"
"278","lapicida","lapicidinarius","i",NA,NA,"male","Petrikovits 1981a",7,71,"Building","Stone worker","a quarryman, stone-cutter","lapicidinarius"
"279","lapicida","lapidicida","ae",NA,NA,"male","Petrikovits 1981a",7,71,"Building","Stone worker","a quarryman, stone-cutter","lapidicida"
"280","lapidarius","lapidarius","i",NA,"lapidarius","male","Waltzing - provinces",7,71,"Building","Stone worker","stone-cutter","lapidarius"
"281","laquearius","laquearius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"one that makes panelled ceilings, a ceiling-maker","laquearius"
"282","lavator","lavator","oris",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"a clothes-washer","lavator"
"283","lecticarius","lecticarius","i",NA,"lecticarius","male","Waltzing - Rome",5,53,"Food-Production",NA,"a cook","lecticarius"
"284","lectuarius","lectarius","i",NA,NA,"male","Petrikovits 1981a",8,81,"Household Goods",NA,"a couch-maker","lectarius"
"285","lectuarius","lectuarius","i",NA,NA,"male","Petrikovits 1981a",8,81,"Household Goods",NA,"a couch-maker","lectuarius"
"286","legulus","legulus","i",NA,NA,"male","Petrikovits 1981a",6,61,"Food-Production",NA,"a gatherer, collector; esp. one who picked up the fallen olives","legulus"
"287","lenuncularius","lenuncularius","i",NA,"lenuncularius","male","Waltzing - Rome",9,98,"Transport","Maritime/water transport","one who sails in a small vessel","lenuncularius"
"288","libarius","libarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"a pastry-cook, confectioner","libarius"
"289","libitinarius","libitinarius","i",NA,NA,"male","Petrikovits 1981a",5,59,"Death-care sector",NA,"an undertaker, mortician","libitinarius"
"290","librator","librator","oris",NA,NA,"male","Petrikovits 1981a",0,2,"Miscellaneous Services",NA,"a leveller, esp. by means of a water-level, a surveyor","librator"
"291","lignarius","lignarius","i",NA,"lignarius","male","Waltzing - provinces",9,95,"Building","Wood worker","A worker in wood, a carpenter, joiner","lignarius"
"292","limarius","limarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Clothing",NA,"file cutter, maker","limarius"
"293","lintarius","linarius","i",NA,"linarius","male","Waltzing - provinces",7,75,"Clothing",NA,"a linen-weaver, dealer in linen","linarius"
"294","lintarius","lintarius","i",NA,"lintarius","male","Waltzing - provinces",7,75,"Clothing",NA,"a linen-weaver, dealer in linen","lintarius"
"295","lintarius","linteator","oris",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"a linen-weaver, dealer in linen","linteator"
"296","lintarius","linteo","onis",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"a linen-weaver, dealer in linen","linteo"
"297","lintarius","lintiarius","i",NA,"lintiarius","male","Waltzing - provinces",7,75,"Clothing",NA,"a linen-weaver, dealer in linen","lintiarius"
"298","lintarius","lintio","onis",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"a linen-weaver, dealer in linen","lintio"
"299","lintearius","lintearius","i",NA,"lintearius","male","Waltzing - Rome",9,98,"Transport","Maritime/water transport","a boatman, waterman","lintearius"
"300","lintearius","lintrarius","i",NA,"lintrarius","male","Waltzing - Rome",9,98,"Transport","Maritime/water transport","a boatman, waterman","lintrarius"
"301","liticinus","liticinus","i",NA,"liticinus","male","Waltzing - Rome",1,17,"Performing Arts",NA,"a player on the clarion","liticinus"
"302","locularius","loclarius","i",NA,NA,"male","Petrikovits 1981a",5,59,"Death-care sector",NA,"casket maker, coffin maker","loclarius"
"303","locularius","locularius","i",NA,NA,"male","Petrikovits 1981a",5,59,"Death-care sector",NA,"casket maker, coffin maker","locularius"
"304","lorarius","lorarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Miscellaneous Services","Military","a harness-maker","lorarius"
"305","loricarius","loricarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Miscellaneous Services","Military","maker of lorica, cuirass","loricarius"
"306","lotor","lotor","oris",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"a clothes-washer","lotor"
"307","lotorus","lotorus","i",NA,"lotorus","male","Waltzing - provinces",7,75,"Clothing",NA,"fuller, clening wool","lotorus"
"308","lucernarius","lucernarius","i",NA,NA,"male","Petrikovits 1981a",9,94,"Household Goods",NA,"lamp maker","lucernarius"
"309","lupinarius","lupinarius","i",NA,"lupinarius","male","Waltzing - Rome",4,43,"Food-Retail",NA,"dealers in lupines","lupinarius"
"310","lyntrarius","lyntrarius","i",NA,"lyntrarius","male","Waltzing - provinces",9,95,"Transport","Maritime/water transport","raft-maker","lyntrarius"
"311","macellarius","macellarius","i",NA,"macellarius","male","Waltzing - provinces",7,77,"Food-Production",NA,"butcher","macellarius"
"312","machinarius","machinarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"a machinist, machine-builder,","machinarius"
"313","machinator","machinator","oris",NA,NA,"male","Petrikovits 1981a",0,2,"Miscellaneous Services",NA,"a maker of machines, a machinist, an engineer, architect","machinator"
"314","magnarius","magnarius","i",NA,"magnarius","male","Waltzing - Rome",4,43,"Retail",NA,"a dealer in gross, wholesale dealer","magnarius"
"315","malleator","malleator","oris",NA,NA,"male","Petrikovits 1981a",8,83,"Miscellaneous Services",NA,"worker with hammer, coinstrucker","malleator"
"316","malleator","malliator","oris",NA,NA,"male","Petrikovits 1981a",8,83,"Miscellaneous Services",NA,"worker with hammer, coinstrucker","malliator"
"317","manicarius","manicarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Miscellaneous Services",NA,"manufacturers of manicae, bangages for gladiator sword","manicarius"
"318","manticularius","manticularius","i",NA,"manticularius","male","Waltzing - provinces",7,79,"Clothing",NA,"manufacturer of a small wallet, purse, pouch","manticularius"
"319","manupretiarius","manupretiarius","i",NA,NA,"male","Petrikovits 1981a",9,99,"Unclassified",NA,"uncertain, unspecified worker, for hourly wage","manupretiarius"
"320","margaritarius","margaritarius","i",NA,NA,"male","Petrikovits 1981a",4,43,"Retail",NA,"a dealer in pearls, a pearl-fisher","margaritarius"
"321","marmorarius","marmarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building","Stone worker","marble worker","marmarius"
"322","marmorarius","marmorarienses","ae",NA,NA,"male","Petrikovits 1981a",9,95,"Building","Stone worker","marble worker","marmorarienses"
"323","marmorarius","marmorarius","i",NA,"marmorarius","male","Waltzing - Rome",9,95,"Building","Stone worker","marble worker","marmorarius"
"324","materiarius","materiarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building","Wood worker","wood-worker","materiarius"
"325","medicator","medicator","oris",NA,"medicator","male","Waltzing - provinces",0,6,"Miscellaneous Services",NA,"a physician","medicator"
"326","medicus","medicus","i",NA,"medicus","male","Waltzing - Rome",0,6,"Miscellaneous Services",NA,"a surgeon","medicus"
"327","mensor","mensor","oris",NA,"mensor","male","Waltzing - Rome",0,2,"Miscellaneous Services",NA,"a measurer, surveyor","mensor"
"328","mensor","mesor","oris",NA,NA,"male","Petrikovits 1981a",0,2,"Miscellaneous Services",NA,"a measurer, surveyor","mesor"
"329","mercator","mercator","oris",NA,"mercator","male","Waltzing - Rome",4,45,"Retail",NA,"trader","mercator"
"330","metator","metator","oris",NA,NA,"male","Petrikovits 1981a",0,2,"Miscellaneous Services",NA,"one who marks off, fixer of boundaries, surveyor","metator"
"331","mimus","mimus","i",NA,"mimus","male","Waltzing - Rome",1,17,"Performing Arts",NA,"mime","mimus"
"332","molendarius","molendarius","i",NA,"molendarius","male","Waltzing - Rome",6,61,"Food-Production",NA,"miller","molendarius"
"333","molendarius","molendinarius","i",NA,NA,"male","Petrikovits 1981a",6,61,"Food-Production",NA,"worker in a mill","molendinarius"
"334","molinarius","molator","oris",NA,NA,"male","Petrikovits 1981a",6,61,"Food-Production",NA,"miller","molator"
"335","molinarius","molinarius","i",NA,NA,"male","Petrikovits 1981a",6,61,"Food-Production",NA,"miller","molinarius"
"336","molinarius","molitor","oris",NA,NA,"male","Petrikovits 1981a",6,61,"Food-Production",NA,"miller","molitor"
"337","monetarius","monetarius","i",NA,"monetarius","male","Waltzing - Rome",3,31,"Finance",NA,"a master of the mint","monetarius"
"338","montanarius","montanarius","i",NA,NA,"male","Petrikovits 1981a",5,59,"Death-care sector",NA,"grave digger","montanarius"
"339","moritex","moritex","icis",NA,NA,"male","Petrikovits 1981a",NA,NA,"Unclassified",NA,"unclear","moritex"
"340","mulionus","mulionus","i",NA,"mulionus","male","Waltzing - provinces",9,98,"Transport","Land transport","of a mule-driver","mulionus"
"341","multiciarius","multiciarius","i",NA,NA,"male","Petrikovits 1981a",7,79,"Clothing",NA,"a soft dress, delicate garment seller","multiciarius"
"342","musaearius","musaearius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"mosaicer, maker of mosaic","musaearius"
"343","musaearius","musarius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"mosaicer, maker of mosaic","musarius"
"344","musaearius","museiarius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"mosaicer, maker of mosaic","museiarius"
"345","musivarius","musivarius","i",NA,NA,"male","Petrikovits 1981a",NA,NA,"Unclassified",NA,"unclear","musivarius"
"346","nauclerus","nauclerus","i",NA,"nauclerus","male","Waltzing - provinces",0,4,"Transport","Maritime/water transport","a shipowner, a ship-master, skipper","nauclerus"
"347","naupegiarius","naupegiarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Transport","Maritime/water transport","a shipbuilder, shipwright, ship-carpenter","naupegiarius"
"348","naupegiarius","naupegus","i",NA,NA,"male","Petrikovits 1981a",9,95,"Transport","Maritime/water transport","a shipbuilder, shipwright, ship-carpenter","naupegus"
"349","nauta","nauta","ae",NA,"nauta","male","Waltzing - Rome",9,98,"Transport","Maritime/water transport","a sailor, seaman, mariner, merchant","nauta"
"350","nauticarius","nauticarius","i",NA,"nauticarius","male","Waltzing - Rome",0,4,"Transport","Maritime/water transport","a shipmaster","nauticarius"
"351","navalis","navalis","is",NA,NA,"male","Petrikovits 1981a",9,98,"Transport","Maritime/water transport","sailors, seamen","navalis"
"352","navicularius","nauicularius","i",NA,"nauicularius","male","Waltzing - Rome",0,4,"Transport","Maritime/water transport","a ship-owner who hires out vessels for money, a ship-master, merchant","nauicularius"
"353","navicularius","navicularius","i",NA,"navicularius","male","Waltzing - Rome",0,4,"Transport","Maritime/water transport","a ship-owner who hires out vessels for money, a ship-master, merchant","navicularius"
"354","navigans","navigans","ntis",NA,"navigans","male","Waltzing - Rome",9,98,"Transport","Maritime/water transport","one who sails in a small vessel","navigans"
"355","navigator","navigator","oris",NA,"navigator","male","Waltzing - Rome",9,98,"Transport","Maritime/water transport","sailor","navigator"
"356","navigiarius","navigiarius","i",NA,"navigiarius","male","Waltzing - Rome",9,98,"Transport","Maritime/water transport","one who sails in a small vessel","navigiarius"
"357","negotians","negotians","ntis",NA,"negotians","male","Waltzing - Rome",4,45,"Retail",NA,"trader","negotians"
"358","negotians ferrarius","negotians","ntis","ferrarius",NA,"male","EDH/EDCS",4,45,"Retail",NA,"trader of metal","negotians ferrarius"
"359","negotians ferrarius","negotiator","oris","ferrarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"metal trader","negotiator ferrarius"
"360","negotians materiarius","negotians","ntis","materiarius",NA,"male","EDH/EDCS",4,45,"Retail",NA,"trader of timber","negotians materiarius"
"361","negotians materiarius","negotiator","oris","materiarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"timber trader","negotiator materiarius"
"362","negotiator","negotiator","oris",NA,"negotiator","male","Waltzing - Rome",4,43,"Retail",NA,"one who does business by wholesale, a wholesale dealer, a banker, a factor","negotiator"
"363","negotiator allecarius","negotiator","oris","allecarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"trader with fish-sauce","negotiator allecarius"
"364","negotiator artis macellariae","negotiator artis macellariae","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"trader with butcher's products","negotiator artis macellariae"
"365","negotiator artis prossariae","negotiator artis prossariae","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"trader with textile products","negotiator artis prossariae"
"366","negotiator artis purpurariae","negotiator artis purpurariae","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"trader with textile purple dyed products","negotiator artis purpurariae"
"367","negotiator artis ratiariae","negotiator artis ratiariae","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"trader with rafts ?","negotiator artis ratiariae"
"368","negotiator artis vestiariae","negotiator artis vestiariae","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"trader with textiles","negotiator artis vestiariae"
"369","negotiator artis vestiariae","negotiator artis vestiariae et lintiariae","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"trader with textiles","negotiator artis vestiariae et lintiariae"
"370","negotiator boarius","negotiator","oris","boarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"trader with cattle","negotiator boarius"
"371","negotiator boarius","negotiator","oris","iuvencarius","negotiator","male","EDH/EDCS",4,43,"Retail",NA,"young cattle trader","negotiator iuvencarius"
"372","negotiator boarius","negotiator campi pecuarii","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"trader with cattle","negotiator campi pecuarii"
"373","negotiator boarius","negotiator suariae et pecuariae","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"cattle trader","negotiator suariae et pecuariae"
"374","negotiator cervesarius","negotiator","oris","cervesarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"beer trader ?","negotiator cervesarius"
"375","negotiator cretarius","negotiator","oris","cretarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"pottery trader","negotiator cretarius"
"376","negotiator cretarius","negotiator artis cretariae","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"pottery trader","negotiator artis cretariae"
"377","negotiator cretarius","negotiator artis cretariae et vestiariae","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"pottery trader","negotiator artis cretariae et vestiariae"
"378","negotiator eborarius","negotiator","oris","eborarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"ivory trader","negotiator eborarius"
"379","negotiator frumentariae et legumenariae","negotiator","oris","frumentarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"trader with corn","negotiator frumentarius"
"380","negotiator frumentariae et legumenariae","negotiator frumentariae et legumenariae","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"trader with vegetables and corn","negotiator frumentariae et legumenariae"
"381","negotiator gladiarius","negotiator","oris","gladiarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"trader with swords","negotiator gladiarius"
"382","negotiator lanarius","negotiator","oris","lanarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"wool trader","negotiator lanarius"
"383","negotiator lintiarius","negotiator","oris","lintiarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"linen trader","negotiator lintiarius"
"384","negotiator margaritarius","negotiator","oris","margaritarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"pearl trader","negotiator margaritarius"
"385","negotiator marmorarius","negotiator","oris","marmorarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"marble trader","negotiator marmorarius"
"386","negotiator nummularius","negotiator","oris","nummularius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"money trader, money distributor, banker","negotiator nummularius"
"387","negotiator olearius","negotiator","oris","olearius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"oil trader","negotiator olearius"
"388","negotiator sagarius","negotiator","oris","paenularius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"mantle trader","negotiator paenularius"
"389","negotiator sagarius","negotiator","oris","sagarius et pellicarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"mantle trader","negotiator sagarius et pellicarius"
"390","negotiator sagarius","negotiator","oris","sagarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"mantle trader","negotiator sagarius"
"391","negotiator salarius","negotiator","oris","salarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"salt trader","negotiator salarius"
"392","negotiator salsari leguminari","negotiator salsari leguminari","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"salted vegetables trader","negotiator salsari leguminari"
"393","negotiator sericarius","negotiator","oris","sericarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"silk trader","negotiator sericarius"
"394","negotiator vascularius","negotiator","oris","vascularius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"goldsmith and silver trader","negotiator vascularius"
"395","negotiator vestiarius","negotiator","oris","vestiarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"clothes trader","negotiator vestiarius"
"396","negotiator vinarius","negotiator","oris","salsamentarius et vinarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"wine trader","negotiator salsamentarius et vinarius"
"397","negotiator vinarius","negotiator","oris","vinarius",NA,"male","EDH/EDCS",4,43,"Retail",NA,"wine trader","negotiator vinarius"
