"","std_spelling","Term","gen_sg","Term2","Vocab_nom_sg","gender","Source","HISCO_majorgroup","HISCO_minorgroup","Harris_Category","Subcategory","Translation_eng","Term_full"
"45","aurifex","aurifex","icis",NA,"aurifex","male","Waltzing - Rome",8,88,"Metal-Working",NA,"goldsmith","aurifex"
"46","aurifex","aurificus","i",NA,NA,"male","Petrikovits 1981a",8,88,"Metal-Working",NA,"goldworker, goldsmith","aurificus"
"47","aurifex","aurufex","icis",NA,NA,"male","Petrikovits 1981a",8,88,"Metal-Working",NA,"goldworker, goldsmith","aurufex"
"48","automatarius","automatarius","i",NA,NA,"male","Petrikovits 1981a",9,99,"Miscellaneous Services",NA,"a maker of automata","automatarius"
"49","axearius","axearius","i",NA,NA,"male","Petrikovits 1981a",8,82,"Building",NA,"uncertain, board-cutter","axearius"
"50","ballistrarius","ballistarius","i",NA,NA,"male","Petrikovits 1981a",0,2,"Miscellaneous Services","Military","manufacturer of ballistae, an engine for hurling","ballistarius"
"51","ballistrarius","ballistrarius","i",NA,NA,"male","Petrikovits 1981a",0,2,"Miscellaneous Services","Military","manufacturer of ballistae, an engine for hurling","ballistrarius"
"52","barbaricarius","barbaricarius","i",NA,NA,"male","Petrikovist 1981b",7,75,"Clothing",NA,"textile worker","barbaricarius"
"53","barbaricarius","barbaricas","atis",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"textile worker","barbaricas"
"54","boarius","boarius","i",NA,"boarius","male","Waltzing - Rome",6,62,"Food-Production",NA,"cattle breader","boarius"
"55","bractearius","bractearius","i",NA,NA,"male","Petrikovits 1981a",8,88,"Metal-Working",NA,"goldsheet maker, worker","bractearius"
"56","bractearius","bracteator","oris",NA,NA,"male","Petrikovits 1981a",8,88,"Metal-Working",NA,"goldsheet maker, worker","bracteator"
"57","bractearius","brattearius","i",NA,NA,"male","Petrikovits 1981a",8,88,"Metal-Working",NA,"goldsheet maker, worker","brattearius"
"58","bractearius","brattiarius","i",NA,NA,"male","Petrikovits 1981a",8,88,"Metal-Working",NA,"goldsheet maker, worker","brattiarius"
"59","caelator","caelator","oris",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"relief maker, carver","caelator"
"60","caementarius","caementarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building","Stone worker","mason","caementarius"
"61","caementarius","cementarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building","Stone worker","mason","cementarius"
"62","calcariensis","calcarensis","ensis",NA,NA,"male","Petrikovits 1981a",7,74,"Building","Stone worker","a limeburner","calcarensis"
"63","calcariensis","calcariensis","ensis",NA,"calcariensis","male","Waltzing - Rome",7,74,"Building","Stone worker","a limeburner","calcariensis"
"64","calcarius","calcarius","i",NA,NA,"male","Petrikovits 1981a",7,71,"Building","Stone worker","limestone quarry worker","calcarius"
"65","calcarius","calcearius","i",NA,NA,"male","Petrikovits 1981a",7,71,"Building","Stone worker","limestone quarry worker","calcearius"
"66","calceator","calceator","oris",NA,NA,"male","Petrikovits 1981a",8,80,"Clothing","Shoe maker","a shoemaker","calceator"
"67","calceator","calceolarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Clothing","Shoe maker","a shoemaker","calceolarius"
"68","calceator","calciamentarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Clothing","Shoe maker","a shoemaker","calciamentarius"
"69","calceator","calciator","oris",NA,NA,"male","Petrikovits 1981a",8,80,"Clothing","Shoe maker","a shoemaker","calciator"
"70","calcis coctor","calcis coctor","oris",NA,"coctor","male","Waltzing - Rome",7,74,"Building","Stone worker","limeburner","calcis coctor"
"71","calegarius","calegarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Clothing","Shoe maker","a shoemaker","calegarius"
"72","calegarius","caligarius","i",NA,"caligarius","male","Waltzing - Rome",8,80,"Clothing","Shoe maker","a shoemaker","caligarius"
