"","province","m","l_it","s_it","g_it","a_it","r_it","eci"
"1","Achaia","r_0","1","1","1","1","1",-2.43188338836654
"2","Bithynia et Pontus","r_0","1","1","1","1","1",-2.19591596090942
"3","Creta","r_0","1","1","1","1","1",-1.8680087968697
"4","Macedonia","r_0","1","1","1","1","1",-1.7858163235709
"5","Sicilia","r_0","1","1","1","1","1",-1.27715858326909
"6","Aegyptus","r_0","1","1","1","1","1",-1.07766770241933
"7","Arabia","r_0","1","1","1","1","1",-1.01007911423838
"8","Iudaea","r_0","1","1","1","1","1",-0.864576556756612
"9","Thracia","r_0","1","1","1","1","1",-0.790851696626061
"10","Baetica","r_0","1","1","1","1","1",-0.724594659963836
"11","Cilicia","r_0","1","1","1","1","1",-0.658624181725999
"12","Numidia","r_0","1","1","1","1","1",-0.611489343161993
"13","Mauretania Tingitana","r_0","1","1","1","1","1",-0.513616378407704
"14","Epirus","r_0","1","1","1","1","1",-0.316153581032213
"15","Alpes Graiae","r_0","1","1","1","1","1",-0.254239985091345
"16","Raetia","r_0","1","1","1","1","1",-0.224170960632582
"17","Africa Proconsularis","r_0","1","1","1","1","1",-0.214611947584649
"18","Dacia","r_0","1","1","1","1","1",-0.192848310589134
"19","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","1",-0.136885493903476
"20","Syria","r_0","1","1","1","1","1",-0.107023342374133
"21","Asia","r_0","1","1","1","1","1",-0.0797150353060002
"22","Corsica","r_0","1","1","1","1","1",-0.0663746927357331
"23","Dalmatia","r_0","1","1","1","1","1",-0.0645353049397194
"24","Moesia Superior","r_0","1","1","1","1","1",-0.0634505614157323
"25","Cappadocia","r_0","1","1","1","1","1",-0.0383476604696551
"26","Galatia","r_0","1","1","1","1","1",-0.0183611592512473
"27","Alpes Maritimae","r_0","1","1","1","1","1",-0.011924370547294
"28","Pannonia Inferior","r_0","1","1","1","1","1",-0.0106167084930269
"29","Alpes Cottiae","r_0","1","1","1","1","1",0.0594885080024649
"30","Etruria (Regio VII)","r_0","1","1","1","1","1",0.111665736321355
"31","Transpadana (Regio XI)","r_0","1","1","1","1","1",0.154294972543995
"32","Liguria (Regio IX)","r_0","1","1","1","1","1",0.156685703645529
"33","Mauretania Caesariensis","r_0","1","1","1","1","1",0.163117217551149
"34","Britannia","r_0","1","1","1","1","1",0.204941667067868
"35","Sardinia","r_0","1","1","1","1","1",0.239119713925243
"36","Cyrene","r_0","1","1","1","1","1",0.2497290656253
"37","Moesia Inferior","r_0","1","1","1","1","1",0.257867653018851
"38","Belgica","r_0","1","1","1","1","1",0.310373521332052
"39","Germania Inferior","r_0","1","1","1","1","1",0.345232999777353
"40","Picenum (Regio V)","r_0","1","1","1","1","1",0.358551087305062
"41","Lugdunensis","r_0","1","1","1","1","1",0.436269313522136
"42","Noricum","r_0","1","1","1","1","1",0.446416952484419
"43","Samnium (Regio IV)","r_0","1","1","1","1","1",0.500869295098989
"44","Umbria (Regio VI)","r_0","1","1","1","1","1",0.548252254565765
"45","Lusitania","r_0","1","1","1","1","1",0.606784117127211
"46","Pannonia Superior","r_0","1","1","1","1","1",0.735033215195252
"47","Aquitania","r_0","1","1","1","1","1",0.748103159573611
"48","Germania Superior","r_0","1","1","1","1","1",0.803868308753817
"49","Apulia et Calabria (Regio II)","r_0","1","1","1","1","1",1.00762044387107
"50","Aemilia (Regio VIII)","r_0","1","1","1","1","1",1.09683842703315
"51","Hispania Citerior","r_0","1","1","1","1","1",1.11379042022177
"52","Venetia et Histria (Regio X)","r_0","1","1","1","1","1",1.23655614559325
"53","Narbonensis","r_0","1","1","1","1","1",1.55535873651573
"54","Latium et Campania (Regio I)","r_0","1","1","1","1","1",4.16271316497911
"55","Achaia","r_0","1","1","1","1","2",-2.3204232467686
"56","Bithynia et Pontus","r_0","1","1","1","1","2",-2.09583874067115
"57","Creta","r_0","1","1","1","1","2",-1.75667763540282
"58","Macedonia","r_0","1","1","1","1","2",-1.70691899220801
"59","Sicilia","r_0","1","1","1","1","2",-1.20260710433887
"60","Arabia","r_0","1","1","1","1","2",-1.0082048607384
"61","Aegyptus","r_0","1","1","1","1","2",-0.983616096968348
"62","Asia","r_0","1","1","1","1","2",-0.978742885791757
"63","Thracia","r_0","1","1","1","1","2",-0.798840553741225
"64","Iudaea","r_0","1","1","1","1","2",-0.784523725472348
"65","Baetica","r_0","1","1","1","1","2",-0.745071038584596
"66","Cilicia","r_0","1","1","1","1","2",-0.582381455680755
"67","Mauretania Tingitana","r_0","1","1","1","1","2",-0.524781397276939
"68","Numidia","r_0","1","1","1","1","2",-0.472299189168279
"69","Epirus","r_0","1","1","1","1","2",-0.319708402659137
"70","Alpes Graiae","r_0","1","1","1","1","2",-0.246622226699757
"71","Dacia","r_0","1","1","1","1","2",-0.245605049085013
"72","Raetia","r_0","1","1","1","1","2",-0.21146792204612
"73","Africa Proconsularis","r_0","1","1","1","1","2",-0.154398062882093
"74","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","2",-0.135755591966724
"75","Syria","r_0","1","1","1","1","2",-0.111294619049185
"76","Corsica","r_0","1","1","1","1","2",-0.0694619970145131
"77","Moesia Superior","r_0","1","1","1","1","2",-0.0690734929808851
"78","Dalmatia","r_0","1","1","1","1","2",-0.0664952019782199
"79","Galatia","r_0","1","1","1","1","2",-0.0536095832910076
"80","Cappadocia","r_0","1","1","1","1","2",-0.0422801681107511
"81","Alpes Maritimae","r_0","1","1","1","1","2",-0.0140955644341727
"82","Pannonia Inferior","r_0","1","1","1","1","2",0.00699575036365644
"83","Etruria (Regio VII)","r_0","1","1","1","1","2",0.0326158943408322
"84","Alpes Cottiae","r_0","1","1","1","1","2",0.0487570728336645
"85","Mauretania Caesariensis","r_0","1","1","1","1","2",0.160175825657959
"86","Transpadana (Regio XI)","r_0","1","1","1","1","2",0.161066779680467
"87","Liguria (Regio IX)","r_0","1","1","1","1","2",0.16386854692846
"88","Britannia","r_0","1","1","1","1","2",0.171451559718888
"89","Cyrene","r_0","1","1","1","1","2",0.219115741183146
"90","Sardinia","r_0","1","1","1","1","2",0.233768745195852
"91","Moesia Inferior","r_0","1","1","1","1","2",0.283325680259937
"92","Belgica","r_0","1","1","1","1","2",0.306707434071593
"93","Germania Inferior","r_0","1","1","1","1","2",0.363393681249452
"94","Picenum (Regio V)","r_0","1","1","1","1","2",0.38230056063419
"95","Noricum","r_0","1","1","1","1","2",0.391152874757224
"96","Lugdunensis","r_0","1","1","1","1","2",0.428874650068296
"97","Samnium (Regio IV)","r_0","1","1","1","1","2",0.446024371930507
"98","Umbria (Regio VI)","r_0","1","1","1","1","2",0.54196765732949
"99","Lusitania","r_0","1","1","1","1","2",0.66244200644858
"100","Aquitania","r_0","1","1","1","1","2",0.712563657623071
"101","Pannonia Superior","r_0","1","1","1","1","2",0.737757878644989
"102","Germania Superior","r_0","1","1","1","1","2",0.871437063100317
"103","Apulia et Calabria (Regio II)","r_0","1","1","1","1","2",1.05195207084412
"104","Aemilia (Regio VIII)","r_0","1","1","1","1","2",1.08824479860146
"105","Hispania Citerior","r_0","1","1","1","1","2",1.10528509089943
"106","Venetia et Histria (Regio X)","r_0","1","1","1","1","2",1.29187984223417
"107","Narbonensis","r_0","1","1","1","1","2",1.52593537102986
"108","Latium et Campania (Regio I)","r_0","1","1","1","1","2",4.31173419938006
"109","Achaia","r_0","1","1","1","1","3",-2.33740448116114
"110","Bithynia et Pontus","r_0","1","1","1","1","3",-2.11728321900003
"111","Creta","r_0","1","1","1","1","3",-1.7438815620975
"112","Macedonia","r_0","1","1","1","1","3",-1.74387325509849
"113","Sicilia","r_0","1","1","1","1","3",-1.19986211389917
"114","Arabia","r_0","1","1","1","1","3",-1.03122653962
"115","Aegyptus","r_0","1","1","1","1","3",-0.991372636220559
"116","Asia","r_0","1","1","1","1","3",-0.981919680136991
"117","Thracia","r_0","1","1","1","1","3",-0.836723000434379
"118","Iudaea","r_0","1","1","1","1","3",-0.773893538040257
"119","Baetica","r_0","1","1","1","1","3",-0.769149836981198
"120","Cilicia","r_0","1","1","1","1","3",-0.577937569058654
"121","Mauretania Tingitana","r_0","1","1","1","1","3",-0.555336757558967
"122","Numidia","r_0","1","1","1","1","3",-0.440293340852733
"123","Epirus","r_0","1","1","1","1","3",-0.341245000636815
"124","Dacia","r_0","1","1","1","1","3",-0.253434381485582
"125","Alpes Graiae","r_0","1","1","1","1","3",-0.237212497346185
"126","Africa Proconsularis","r_0","1","1","1","1","3",-0.226494122005651
"127","Raetia","r_0","1","1","1","1","3",-0.201374659735482
"128","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","3",-0.173888736761742
"129","Syria","r_0","1","1","1","1","3",-0.124450702894852
"130","Corsica","r_0","1","1","1","1","3",-0.0653401374724918
"131","Galatia","r_0","1","1","1","1","3",-0.0568581076259034
"132","Dalmatia","r_0","1","1","1","1","3",-0.0529781079647376
"133","Moesia Superior","r_0","1","1","1","1","3",-0.0421353151885332
"134","Cappadocia","r_0","1","1","1","1","3",-0.0408540177156134
"135","Alpes Maritimae","r_0","1","1","1","1","3",-0.0259255327983456
"136","Etruria (Regio VII)","r_0","1","1","1","1","3",-0.0179650550350386
"137","Pannonia Inferior","r_0","1","1","1","1","3",0.0134064592311389
"138","Alpes Cottiae","r_0","1","1","1","1","3",0.0551138739007607
"139","Liguria (Regio IX)","r_0","1","1","1","1","3",0.116096446890554
"140","Mauretania Caesariensis","r_0","1","1","1","1","3",0.122812331864513
"141","Britannia","r_0","1","1","1","1","3",0.167393893685989
"142","Cyrene","r_0","1","1","1","1","3",0.224834334673545
"143","Sardinia","r_0","1","1","1","1","3",0.244294369781233
"144","Moesia Inferior","r_0","1","1","1","1","3",0.297056726235979
"145","Picenum (Regio V)","r_0","1","1","1","1","3",0.325849766748767
"146","Belgica","r_0","1","1","1","1","3",0.365422231172927
"147","Germania Inferior","r_0","1","1","1","1","3",0.399710481536505
"148","Noricum","r_0","1","1","1","1","3",0.412881699123238
"149","Samnium (Regio IV)","r_0","1","1","1","1","3",0.419806767002764
"150","Transpadana (Regio XI)","r_0","1","1","1","1","3",0.452820391398833
"151","Lugdunensis","r_0","1","1","1","1","3",0.467135901457674
"152","Umbria (Regio VI)","r_0","1","1","1","1","3",0.501581167178623
"153","Lusitania","r_0","1","1","1","1","3",0.667980410533286
"154","Aquitania","r_0","1","1","1","1","3",0.759572736821679
"155","Pannonia Superior","r_0","1","1","1","1","3",0.765755522681598
"156","Germania Superior","r_0","1","1","1","1","3",0.918666515893806
"157","Hispania Citerior","r_0","1","1","1","1","3",1.07428916115081
"158","Aemilia (Regio VIII)","r_0","1","1","1","1","3",1.08341461858105
"159","Apulia et Calabria (Regio II)","r_0","1","1","1","1","3",1.10394500279332
"160","Venetia et Histria (Regio X)","r_0","1","1","1","1","3",1.25782996375233
"161","Narbonensis","r_0","1","1","1","1","3",1.51952134259615
"162","Latium et Campania (Regio I)","r_0","1","1","1","1","3",4.22312178813997
"163","Achaia","r_0","1","1","1","1","4",-2.35083188946625
"164","Bithynia et Pontus","r_0","1","1","1","1","4",-2.14089076162107
"165","Macedonia","r_0","1","1","1","1","4",-1.793319527351
"166","Creta","r_0","1","1","1","1","4",-1.74081692447052
"167","Sicilia","r_0","1","1","1","1","4",-1.27105622691525
"168","Aegyptus","r_0","1","1","1","1","4",-1.04025513221735
"169","Asia","r_0","1","1","1","1","4",-1.0187998232309
"170","Arabia","r_0","1","1","1","1","4",-1.01690129293492
"171","Thracia","r_0","1","1","1","1","4",-0.859865833303112
"172","Iudaea","r_0","1","1","1","1","4",-0.770074556481832
"173","Baetica","r_0","1","1","1","1","4",-0.731840015995713
"174","Africa Proconsularis","r_0","1","1","1","1","4",-0.695734186940385
"175","Cilicia","r_0","1","1","1","1","4",-0.572825210208249
"176","Mauretania Tingitana","r_0","1","1","1","1","4",-0.562151040137659
"177","Numidia","r_0","1","1","1","1","4",-0.507034069190548
"178","Epirus","r_0","1","1","1","1","4",-0.341293478783253
"179","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","4",-0.208257849585828
"180","Alpes Graiae","r_0","1","1","1","1","4",-0.203237922684455
"181","Raetia","r_0","1","1","1","1","4",-0.158885184000418
"182","Dacia","r_0","1","1","1","1","4",-0.154521148260628
"183","Syria","r_0","1","1","1","1","4",-0.102685366087766
"184","Corsica","r_0","1","1","1","1","4",-0.0489181805224798
"185","Galatia","r_0","1","1","1","1","4",-0.0313987294025906
"186","Dalmatia","r_0","1","1","1","1","4",-0.0289268492608292
"187","Etruria (Regio VII)","r_0","1","1","1","1","4",-0.0253407776052316
"188","Cappadocia","r_0","1","1","1","1","4",-0.025118426356905
"189","Alpes Maritimae","r_0","1","1","1","1","4",-0.0154923014858277
"190","Moesia Superior","r_0","1","1","1","1","4",0.018684616411062
"191","Pannonia Inferior","r_0","1","1","1","1","4",0.0209786462137072
"192","Alpes Cottiae","r_0","1","1","1","1","4",0.0764003544842875
"193","Mauretania Caesariensis","r_0","1","1","1","1","4",0.0984922517596858
"194","Liguria (Regio IX)","r_0","1","1","1","1","4",0.129907270554961
"195","Britannia","r_0","1","1","1","1","4",0.177672619583493
"196","Cyrene","r_0","1","1","1","1","4",0.25329138274621
"197","Sardinia","r_0","1","1","1","1","4",0.258113854477685
"198","Picenum (Regio V)","r_0","1","1","1","1","4",0.30088678677033
"199","Moesia Inferior","r_0","1","1","1","1","4",0.333287305920515
"200","Samnium (Regio IV)","r_0","1","1","1","1","4",0.402545913708954
"201","Belgica","r_0","1","1","1","1","4",0.42019164044607
"202","Noricum","r_0","1","1","1","1","4",0.432192576253211
"203","Germania Inferior","r_0","1","1","1","1","4",0.4781933768104
"204","Transpadana (Regio XI)","r_0","1","1","1","1","4",0.528616076389267
"205","Lugdunensis","r_0","1","1","1","1","4",0.529304552297013
"206","Umbria (Regio VI)","r_0","1","1","1","1","4",0.532468184507961
"207","Lusitania","r_0","1","1","1","1","4",0.665166438648506
"208","Aquitania","r_0","1","1","1","1","4",0.79007627331566
"209","Pannonia Superior","r_0","1","1","1","1","4",0.813365633327803
"210","Germania Superior","r_0","1","1","1","1","4",1.01252144941021
"211","Hispania Citerior","r_0","1","1","1","1","4",1.07774825950511
"212","Aemilia (Regio VIII)","r_0","1","1","1","1","4",1.08859154795341
"213","Apulia et Calabria (Regio II)","r_0","1","1","1","1","4",1.2168448237238
"214","Venetia et Histria (Regio X)","r_0","1","1","1","1","4",1.23601769068073
"215","Narbonensis","r_0","1","1","1","1","4",1.53994912623542
"216","Latium et Campania (Regio I)","r_0","1","1","1","1","4",3.9849640523655
"217","Achaia","r_0","1","1","1","1","5",-2.34053593125335
"218","Bithynia et Pontus","r_0","1","1","1","1","5",-2.16101105496561
"219","Macedonia","r_0","1","1","1","1","5",-1.76783127458929
"220","Creta","r_0","1","1","1","1","5",-1.76593537471485
"221","Sicilia","r_0","1","1","1","1","5",-1.25596783742809
"222","Asia","r_0","1","1","1","1","5",-1.03012861121464
"223","Arabia","r_0","1","1","1","1","5",-1.01801161647496
"224","Aegyptus","r_0","1","1","1","1","5",-1.00459038291315
"225","Thracia","r_0","1","1","1","1","5",-0.855754798840025
"226","Iudaea","r_0","1","1","1","1","5",-0.780451690199373
"227","Baetica","r_0","1","1","1","1","5",-0.75184185153075
"228","Africa Proconsularis","r_0","1","1","1","1","5",-0.664333506418839
"229","Cilicia","r_0","1","1","1","1","5",-0.576284235994503
"230","Mauretania Tingitana","r_0","1","1","1","1","5",-0.523539203910305
"231","Numidia","r_0","1","1","1","1","5",-0.498825600129335
"232","Epirus","r_0","1","1","1","1","5",-0.339405445475543
"233","Alpes Graiae","r_0","1","1","1","1","5",-0.20730408825915
"234","Raetia","r_0","1","1","1","1","5",-0.166308250397787
"235","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","5",-0.151310685117179
"236","Dacia","r_0","1","1","1","1","5",-0.134215995125358
"237","Syria","r_0","1","1","1","1","5",-0.110911851541363
"238","Dalmatia","r_0","1","1","1","1","5",-0.0501108391277334
"239","Corsica","r_0","1","1","1","1","5",-0.0390528202865388
"240","Cappadocia","r_0","1","1","1","1","5",-0.022244313140726
"241","Galatia","r_0","1","1","1","1","5",-0.0221222481865513
"242","Alpes Maritimae","r_0","1","1","1","1","5",-0.00513443582347319
"243","Moesia Superior","r_0","1","1","1","1","5",-0.00327861039475221
"244","Etruria (Regio VII)","r_0","1","1","1","1","5",0.0238293176193057
"245","Pannonia Inferior","r_0","1","1","1","1","5",0.0455945979838398
"246","Alpes Cottiae","r_0","1","1","1","1","5",0.0738045117606677
"247","Mauretania Caesariensis","r_0","1","1","1","1","5",0.118309844791636
"248","Britannia","r_0","1","1","1","1","5",0.139468470942394
"249","Liguria (Regio IX)","r_0","1","1","1","1","5",0.15791658383334
"250","Sardinia","r_0","1","1","1","1","5",0.249678362635069
"251","Cyrene","r_0","1","1","1","1","5",0.259054131992091
"252","Picenum (Regio V)","r_0","1","1","1","1","5",0.326068661598429
"253","Moesia Inferior","r_0","1","1","1","1","5",0.334429021319936
"254","Belgica","r_0","1","1","1","1","5",0.363464798091897
"255","Noricum","r_0","1","1","1","1","5",0.413962448950228
"256","Samnium (Regio IV)","r_0","1","1","1","1","5",0.429660146310051
"257","Germania Inferior","r_0","1","1","1","1","5",0.441657365632097
"258","Lugdunensis","r_0","1","1","1","1","5",0.493686763509543
"259","Transpadana (Regio XI)","r_0","1","1","1","1","5",0.514637416548852
"260","Umbria (Regio VI)","r_0","1","1","1","1","5",0.569939211938918
"261","Pannonia Superior","r_0","1","1","1","1","5",0.598377035092768
"262","Lusitania","r_0","1","1","1","1","5",0.67839522187424
"263","Aquitania","r_0","1","1","1","1","5",0.746497187285689
"264","Germania Superior","r_0","1","1","1","1","5",0.98775444967543
"265","Hispania Citerior","r_0","1","1","1","1","5",1.08023517586026
"266","Aemilia (Regio VIII)","r_0","1","1","1","1","5",1.09661627400154
"267","Venetia et Histria (Regio X)","r_0","1","1","1","1","5",1.28058616541123
"268","Apulia et Calabria (Regio II)","r_0","1","1","1","1","5",1.28124965012678
"269","Narbonensis","r_0","1","1","1","1","5",1.50794236056468
"270","Latium et Campania (Regio I)","r_0","1","1","1","1","5",4.03362737810232
"271","Achaia","r_0","1","1","1","2","1",-2.38951005415332
"272","Bithynia et Pontus","r_0","1","1","1","2","1",-2.16301052150973
"273","Creta","r_0","1","1","1","2","1",-1.84514675784672
"274","Macedonia","r_0","1","1","1","2","1",-1.75136518053602
"275","Sicilia","r_0","1","1","1","2","1",-1.47599445321394
"276","Aegyptus","r_0","1","1","1","2","1",-1.07349982968715
"277","Arabia","r_0","1","1","1","2","1",-0.983168016297658
"278","Iudaea","r_0","1","1","1","2","1",-0.855118541593304
"279","Thracia","r_0","1","1","1","2","1",-0.767751225281082
"280","Baetica","r_0","1","1","1","2","1",-0.709248086065391
"281","Cilicia","r_0","1","1","1","2","1",-0.650046861085692
"282","Numidia","r_0","1","1","1","2","1",-0.633481026487165
"283","Mauretania Tingitana","r_0","1","1","1","2","1",-0.488291594008707
"284","Epirus","r_0","1","1","1","2","1",-0.302162778408143
"285","Alpes Graiae","r_0","1","1","1","2","1",-0.247142098040929
"286","Raetia","r_0","1","1","1","2","1",-0.215122625410433
"287","Africa Proconsularis","r_0","1","1","1","2","1",-0.210860508459283
"288","Dacia","r_0","1","1","1","2","1",-0.197168872714687
"289","Bruttium et Lucania (Regio III)","r_0","1","1","1","2","1",-0.117836447015612
"290","Syria","r_0","1","1","1","2","1",-0.088414919793225
"291","Moesia Superior","r_0","1","1","1","2","1",-0.0758661942632415
"292","Corsica","r_0","1","1","1","2","1",-0.070561864014719
"293","Dalmatia","r_0","1","1","1","2","1",-0.0625244815504315
"294","Asia","r_0","1","1","1","2","1",-0.0461222240764529
"295","Cappadocia","r_0","1","1","1","2","1",-0.0346804239334727
"296","Pannonia Inferior","r_0","1","1","1","2","1",-0.0314840316787069
"297","Galatia","r_0","1","1","1","2","1",-0.0237474601752574
"298","Moesia Inferior","r_0","1","1","1","2","1",-0.00347110274227812
"299","Alpes Maritimae","r_0","1","1","1","2","1",0.00539716034080195
"300","Alpes Cottiae","r_0","1","1","1","2","1",0.0660410907452983
"301","Etruria (Regio VII)","r_0","1","1","1","2","1",0.136305260313206
"302","Transpadana (Regio XI)","r_0","1","1","1","2","1",0.165540764097645
"303","Liguria (Regio IX)","r_0","1","1","1","2","1",0.188568542383233
"304","Mauretania Caesariensis","r_0","1","1","1","2","1",0.192845121160291
"305","Britannia","r_0","1","1","1","2","1",0.224110084531837
"306","Cyrene","r_0","1","1","1","2","1",0.243182915686629
"307","Sardinia","r_0","1","1","1","2","1",0.246381497567488
"308","Belgica","r_0","1","1","1","2","1",0.317184228207621
"309","Germania Inferior","r_0","1","1","1","2","1",0.338757094442095
"310","Picenum (Regio V)","r_0","1","1","1","2","1",0.372511842639584
"311","Lugdunensis","r_0","1","1","1","2","1",0.445702965370951
"312","Noricum","r_0","1","1","1","2","1",0.447452135826821
"313","Samnium (Regio IV)","r_0","1","1","1","2","1",0.523650456482123
"314","Umbria (Regio VI)","r_0","1","1","1","2","1",0.552046907811626
"315","Lusitania","r_0","1","1","1","2","1",0.59281381357655
"316","Pannonia Superior","r_0","1","1","1","2","1",0.7204123289466
"317","Aquitania","r_0","1","1","1","2","1",0.755895338754794
"318","Germania Superior","r_0","1","1","1","2","1",0.785524991734166
"319","Apulia et Calabria (Regio II)","r_0","1","1","1","2","1",0.98981743853321
"320","Aemilia (Regio VIII)","r_0","1","1","1","2","1",1.08979029027294
"321","Hispania Citerior","r_0","1","1","1","2","1",1.11694388709877
"322","Venetia et Histria (Regio X)","r_0","1","1","1","2","1",1.2595281195657
"323","Narbonensis","r_0","1","1","1","2","1",1.54635917204423
"324","Latium et Campania (Regio I)","r_0","1","1","1","2","1",4.19003473190855
"325","Achaia","r_0","1","1","1","2","2",-2.24043886751014
"326","Bithynia et Pontus","r_0","1","1","1","2","2",-2.02825058934928
"327","Creta","r_0","1","1","1","2","2",-1.71066506812813
"328","Macedonia","r_0","1","1","1","2","2",-1.65694933237746
"329","Sicilia","r_0","1","1","1","2","2",-1.3730880901239
"330","Arabia","r_0","1","1","1","2","2",-0.974158836528641
"331","Aegyptus","r_0","1","1","1","2","2",-0.972373870525635
"332","Asia","r_0","1","1","1","2","2",-0.932599480517154
"333","Iudaea","r_0","1","1","1","2","2",-0.767898939992715
"334","Thracia","r_0","1","1","1","2","2",-0.760456897880411
"335","Baetica","r_0","1","1","1","2","2",-0.703377482316899
"336","Cilicia","r_0","1","1","1","2","2",-0.572664141616347
"337","Mauretania Tingitana","r_0","1","1","1","2","2",-0.497641679154394
"338","Numidia","r_0","1","1","1","2","2",-0.48101426937235
"339","Epirus","r_0","1","1","1","2","2",-0.29466601074023
"340","Cappadocia","r_0","1","1","1","2","2",-0.281124597547
"341","Alpes Graiae","r_0","1","1","1","2","2",-0.245834043576127
"342","Raetia","r_0","1","1","1","2","2",-0.210641421339314
"343","Dacia","r_0","1","1","1","2","2",-0.208473186848151
"344","Africa Proconsularis","r_0","1","1","1","2","2",-0.153942974666829
"345","Bruttium et Lucania (Regio III)","r_0","1","1","1","2","2",-0.136497585395995
"346","Dalmatia","r_0","1","1","1","2","2",-0.0890107858115565
"347","Moesia Superior","r_0","1","1","1","2","2",-0.0867520824761947
"348","Corsica","r_0","1","1","1","2","2",-0.0787290112573442
"349","Syria","r_0","1","1","1","2","2",-0.0720742199313042
"350","Galatia","r_0","1","1","1","2","2",-0.0624553779784137
"351","Alpes Maritimae","r_0","1","1","1","2","2",-0.00408610661397182
"352","Pannonia Inferior","r_0","1","1","1","2","2",0.00602591994774521
"353","Moesia Inferior","r_0","1","1","1","2","2",0.0226828304914782
"354","Alpes Cottiae","r_0","1","1","1","2","2",0.0302331234788993
"355","Etruria (Regio VII)","r_0","1","1","1","2","2",0.0650141052696066
"356","Transpadana (Regio XI)","r_0","1","1","1","2","2",0.170316307800358
"357","Mauretania Caesariensis","r_0","1","1","1","2","2",0.193033732998579
"358","Britannia","r_0","1","1","1","2","2",0.194622693562558
"359","Liguria (Regio IX)","r_0","1","1","1","2","2",0.194911108127765
"360","Cyrene","r_0","1","1","1","2","2",0.20670318089411
"361","Sardinia","r_0","1","1","1","2","2",0.209974940513126
"362","Belgica","r_0","1","1","1","2","2",0.327491897914403
"363","Germania Inferior","r_0","1","1","1","2","2",0.347483258562477
"364","Noricum","r_0","1","1","1","2","2",0.380231709413684
"365","Picenum (Regio V)","r_0","1","1","1","2","2",0.386358489603432
"366","Lugdunensis","r_0","1","1","1","2","2",0.424923159330726
"367","Samnium (Regio IV)","r_0","1","1","1","2","2",0.45612857505653
"368","Umbria (Regio VI)","r_0","1","1","1","2","2",0.545576859770947
"369","Lusitania","r_0","1","1","1","2","2",0.660563180296237
"370","Pannonia Superior","r_0","1","1","1","2","2",0.713501317405913
"371","Aquitania","r_0","1","1","1","2","2",0.737798357233769
"372","Germania Superior","r_0","1","1","1","2","2",0.845581650120124
"373","Apulia et Calabria (Regio II)","r_0","1","1","1","2","2",1.04475697438131
"374","Aemilia (Regio VIII)","r_0","1","1","1","2","2",1.07958173864989
"375","Hispania Citerior","r_0","1","1","1","2","2",1.09141116368915
"376","Venetia et Histria (Regio X)","r_0","1","1","1","2","2",1.31864189143187
"377","Narbonensis","r_0","1","1","1","2","2",1.52233605216904
"378","Latium et Campania (Regio I)","r_0","1","1","1","2","2",4.41998073146216
"379","Achaia","r_0","1","1","1","2","3",-2.27486762082031
"380","Bithynia et Pontus","r_0","1","1","1","2","3",-2.05716020687881
"381","Creta","r_0","1","1","1","2","3",-1.71381264638186
"382","Macedonia","r_0","1","1","1","2","3",-1.69509109255333
"383","Sicilia","r_0","1","1","1","2","3",-1.41014158944242
"384","Arabia","r_0","1","1","1","2","3",-0.998147549552756
"385","Asia","r_0","1","1","1","2","3",-0.962320189465574
"386","Aegyptus","r_0","1","1","1","2","3",-0.962206019165467
"387","Thracia","r_0","1","1","1","2","3",-0.794051073760834
"388","Iudaea","r_0","1","1","1","2","3",-0.767594631160779
"389","Baetica","r_0","1","1","1","2","3",-0.683438801486574
"390","Cilicia","r_0","1","1","1","2","3",-0.570573191853616
"391","Mauretania Tingitana","r_0","1","1","1","2","3",-0.525882406294916
"392","Numidia","r_0","1","1","1","2","3",-0.444464869134659
"393","Epirus","r_0","1","1","1","2","3",-0.317270341752898
"394","Cappadocia","r_0","1","1","1","2","3",-0.277421657745819
"395","Alpes Graiae","r_0","1","1","1","2","3",-0.241260420636124
"396","Raetia","r_0","1","1","1","2","3",-0.203009325810308
"397","Dacia","r_0","1","1","1","2","3",-0.186520397565708
"398","Africa Proconsularis","r_0","1","1","1","2","3",-0.165244914370712
"399","Bruttium et Lucania (Regio III)","r_0","1","1","1","2","3",-0.160121419057252
"400","Syria","r_0","1","1","1","2","3",-0.0989324198294462
"401","Dalmatia","r_0","1","1","1","2","3",-0.0619974257891152
"402","Corsica","r_0","1","1","1","2","3",-0.0616188126000983
"403","Moesia Superior","r_0","1","1","1","2","3",-0.0482736071277449
"404","Galatia","r_0","1","1","1","2","3",-0.0452343139410616
"405","Alpes Maritimae","r_0","1","1","1","2","3",-0.0145577052563638
"406","Alpes Cottiae","r_0","1","1","1","2","3",0.0315579411046696
"407","Etruria (Regio VII)","r_0","1","1","1","2","3",0.0337614558929355
"408","Pannonia Inferior","r_0","1","1","1","2","3",0.0465222552531687
"409","Liguria (Regio IX)","r_0","1","1","1","2","3",0.145803383790585
"410","Mauretania Caesariensis","r_0","1","1","1","2","3",0.164272076565996
"411","Transpadana (Regio XI)","r_0","1","1","1","2","3",0.169707166363531
"412","Britannia","r_0","1","1","1","2","3",0.1762073358873
"413","Sardinia","r_0","1","1","1","2","3",0.213968234497297
