"","iter","province","urb_pop_grand_total","rural_pop_min_grand_total","rural_pop_max_grand_total","tot_pop_min_grand_total","tot_pop_max_grand_total"
"62",2,"Alpes Cottiae",445753.711991119,44629182.5722254,61687224.5137711,45074936.2842165,62132978.2257623
"63",2,"Alpes Graiae",0,18952472.2232417,26196433.4039521,18952472.2232417,26196433.4039521
"64",2,"Alpes Maritimae",2046009.53803924,30163871.4990681,41693022.5050899,32209881.0371074,43739032.0431291
"65",2,"Alpes Poeninae",1343308.94182406,19971836.6565426,27605416.4736425,21315145.5983667,28948725.4154665
"66",2,"Apulia et Calabria (Regio II)",86802118.3476215,570079448.061297,630681822.733257,656881566.408918,717483941.080879
"67",2,"Aquitania",130189843.899562,923556262.880643,1276555367.04527,1053746106.7802,1406745210.94483
"68",2,"Arabia",43994193.306153,613495906.38118,761675914.381065,657490099.687333,805670107.687218
"69",2,"Asia",548449278.270121,1068960636.98137,1207171368.78454,1617409915.25149,1755620647.05466
"70",2,"Baetica",104794623.949798,592437786.661824,770504859.22233,697232410.611622,875299483.172128
"71",2,"Belgica",77387172.2967005,485872073.767852,671580745.423331,563259246.064553,748967917.720032
"72",2,"Bithynia et Pontus",35188567.9586053,336578568.691936,380096326.669948,371767136.650541,415284894.628553
"73",2,"Britannia",71101035.0617957,505088619.027895,697151837.057792,576189654.089691,768252872.119588
"74",2,"Bruttium et Lucania (Regio III)",47049970.9824767,587312002.490785,649746286.247773,634361973.473262,696796257.23025
"75",2,"Cappadocia",8221277.39439959,1229382244.41834,1388334607.85307,1237603521.81274,1396555885.24747
"76",2,"Cilicia",52605030.7688541,325093985.710919,367126850.266903,377699016.479773,419731881.035757
"77",2,"Corsica",1343949.08137381,182872812.029107,202313131.636474,184216761.110481,203657080.717848
"78",2,"Creta",35452033.0693536,12088604.8853967,17971870.5795157,47540637.9547504,53423903.6488693
"79",2,"Cyprus",30055457.3534784,87571838.9154795,108723399.43298,117627296.268958,138778856.786458
"80",2,"Cyrene",41159619.7059156,771255026.849279,899437637.281601,812414646.555194,940597256.987517
"81",2,"Dacia",12397083.8542011,179041955.590363,217725785.409808,191439039.444564,230122869.264009
"82",2,"Dalmatia",54224195.263542,466005757.304104,566691026.022226,520229952.567646,620915221.285768
"83",2,"Epirus",83355175.2902386,64526036.8762422,95929480.2620082,147881212.166481,179284655.552247
"84",2,"Etruria (Regio VII)",120311260.923507,659205520.34604,729282454.474597,779516781.269548,849593715.398105
"85",2,"Galatia",29781586.0066553,824486493.087494,931088062.527174,854268079.094149,960869648.533829
"86",2,"Germania Inferior",31353414.1102311,227759893.007568,314813645.364282,259113307.117799,346167059.474513
"87",2,"Germania Superior",47863297.8574434,524066704.138916,724374021.103595,571930001.99636,772237318.961039
"88",2,"Hispania Citerior",85268153.0145873,2837977397.39156,3690978908.30778,2923245550.40615,3776247061.32237
"89",2,"Iudaea",17574510.6345797,25584846.3386767,31764451.9329566,43159356.9732565,49338962.5675363
"90",2,"Latium et Campania (Regio I)",1068373684.42529,436629171.640777,483045096.197379,1505002856.06606,1551418780.62266
"91",2,"Liguria (Regio IX)",20487584.0240494,287670061.792926,318250867.54898,308157645.816975,338738451.573029
"92",2,"Lugdunensis",187142630.615177,866190332.342698,1197263190.20989,1053332962.95788,1384405820.82506
"93",2,"Lusitania",25424901.7566102,614269769.651088,798898809.369352,639694671.407698,824323711.125962
"94",2,"Lycia et Pamphylia",48045839.8993035,166686080.931266,188237674.535282,214731920.830569,236283514.434586
"95",2,"Macedonia",205715139.789667,210314381.976929,312669897.786649,416029521.766595,518385037.576316
"96",2,"Mauretania Caesariensis",51911987.2647254,542923308.914007,633157180.433073,594835296.178733,685069167.697799
"97",2,"Mauretania Tingitana",7602730.51358154,136549735.763955,159244306.268826,144152466.277536,166847036.782408
"98",2,"Moesia Inferior",17230844.7018297,325179770.845248,395438157.348154,342410615.547077,412669002.049983
"99",2,"Moesia Superior",20889007.6141414,288659634.371312,351027475.109778,309548641.985453,371916482.723919
"100",2,"Narbonensis",132803046.977748,589222607.024237,814433631.834302,722025654.001985,947236678.81205
"101",2,"Noricum",15699728.7023048,305208671.291741,371152099.248268,320908399.994046,386851827.950573
"102",2,"Numidia",73020146.2504258,301222671.96073,351285889.792918,374242818.211156,424306036.043344
"103",2,"Pannonia Inferior",18721360.042855,130237251.892191,158376330.64464,148958611.935046,177097690.687495
"104",2,"Pannonia Superior",26167209.9663987,321633188.180157,391125299.539315,347800398.146555,417292509.505713
"105",2,"Picenum (Regio V)",37784695.2498345,144410751.700412,159762356.65823,182195446.950246,197547051.908064
"106",2,"Raetia",10630784.7975803,441786081.792628,610644328.304627,452416866.590209,621275113.102207
"107",2,"Samnium (Regio IV)",39656035.7128038,305699129.913598,338196518.252924,345355165.626402,377852553.965727
"108",2,"Sardinia",8317028.89008185,499559339.945354,552665064.758276,507876368.835436,560982093.648358
"109",2,"Sicilia",213219915.825185,556837284.675533,616031949.334967,770057200.500718,829251865.160152
"110",2,"Syria",119841256.785145,529279493.207507,657118389.477068,649120749.992653,776959646.262213
"111",2,"Thracia",74611443.6610599,182736286.992566,271670133.249115,257347730.653626,346281576.910175
"112",2,"Transpadana (Regio XI)",51941740.1167907,394229774.689605,436138425.481754,446171514.806395,488080165.598544
"113",2,"Umbria (Regio VI)",65666072.5927288,285875212.600429,316265216.66452,351541285.193158,381931289.257249
"114",2,"Venetia et Histria (Regio X)",97505339.5945704,1146247565.57768,1268099571.77119,1243752905.17225,1365604911.36576
"115",3,"Achaia",531349814.661271,114152295.339005,169707778.328129,645502110.000276,701057592.9894
"116",3,"Aegyptus",628750737.957519,2558974432.836,3196519466.99471,3187725170.79352,3825270204.95223
"117",3,"Aemilia (Regio VIII)",58066741.2325091,522861055.685295,578443872.616823,580927796.917804,636510613.849332
"118",3,"Africa Proconsularis",359198676.858073,1064311422.12306,1241200014.93781,1423510098.98114,1600398691.79589
"119",3,"Alpes Cottiae",574930.852093729,57562490.8424932,79563865.8724309,58137421.6945869,80138796.7245246
"120",3,"Alpes Graiae",0,23046282.1463479,31854967.9611258,23046282.1463479,31854967.9611258
"121",3,"Alpes Maritimae",2638932.61111022,38905206.7921994,53775446.6432619,41544139.4033096,56414379.2543721
"122",3,"Alpes Poeninae",1634654.8175462,24303462.881392,33592664.8174721,25938117.6989382,35227319.6350183
"123",3,"Apulia et Calabria (Regio II)",92209397.6678794,605592162.141163,669969720.80126,697801559.809043,762179118.469139
"124",3,"Aquitania",157058011.922339,1114156881.99429,1540006824.27731,1271214893.91663,1697064836.19964
"125",3,"Arabia",58672788.5233134,818187875.94378,1015807916.66729,876860664.467094,1074480705.19061
"126",3,"Asia",616406011.764523,1201412398.70576,1356748414.90504,1817818410.47029,1973154426.66956
"127",3,"Baetica",112667226.612172,636944147.014804,828388349.590992,749611373.626976,941055576.203164
"128",3,"Belgica",93695287.7171019,588261883.647154,813105703.442115,681957171.364256,906800991.159217
"129",3,"Bithynia et Pontus",33280073.7460315,318323826.095403,359481346.244387,351603899.841435,392761419.990419
"130",3,"Britannia",83382073.4266122,592330846.97187,817568487.104698,675712920.398482,900950560.53131
"131",3,"Bruttium et Lucania (Regio III)",48524193.2466599,605714318.411795,670104862.911158,654238511.658455,718629056.157817
"132",3,"Cappadocia",10249770.2461737,1532716261.17338,1730888044.84317,1542966031.41955,1741137815.08934
"133",3,"Cilicia",61858426.3476764,382279072.500379,431705654.299047,444137498.848056,493564080.646723
"134",3,"Corsica",1369403.89400086,186336479.834158,206145005.127196,187705883.728158,207514409.021197
"135",3,"Creta",33303858.3265746,11356109.9213014,16882885.9680018,44659968.247876,50186744.2945764
"136",3,"Cyprus",35466735.8902739,103338546.664354,128298300.28642,138805282.554628,163765036.176694
"137",3,"Cyrene",38665600.384043,724521724.821781,844937258.944107,763187325.205824,883602859.32815
"138",3,"Dacia",13156551.0845102,190010381.691253,231064051.179143,203166932.775763,244220602.263654
"139",3,"Dalmatia",65180222.6954509,560162467.894957,681191248.595204,625342690.590408,746371471.290654
"140",3,"Epirus",91363891.1737985,70725660.2905601,105146327.921447,162089551.464359,196510219.095246
"141",3,"Etruria (Regio VII)",124080987.785856,679860484.301885,752133147.23411,803941472.087741,876214135.019967
"142",3,"Galatia",35979610.8519594,996075332.165169,1124862394.87535,1032054943.01713,1160842005.72731
"143",3,"Germania Inferior",38125877.1586305,276956942.294708,382814653.894507,315082819.453339,420940531.053138
"144",3,"Germania Superior",58201961.9332097,637267211.624291,880841711.476866,695469173.557501,939043673.410076
"145",3,"Hispania Citerior",89603291.2243527,2982263673.32131,3878632834.55274,3071866964.54566,3968236125.77709
"146",3,"Iudaea",13663850.7838074,19891735.8194015,24696262.6991931,33555586.6032089,38360113.4830005
"147",3,"Latium et Campania (Regio I)",1054898562.99231,431122080.634316,476952573.118842,1486020643.62663,1531851136.11115
"148",3,"Liguria (Regio IX)",21984733.9731195,308691828.822983,341507356.434306,330676562.796103,363492090.407425
"149",3,"Lugdunensis",225764534.543968,1044951952.23559,1444350578.89178,1270716486.77956,1670115113.43575
"150",3,"Lusitania",28247828.6414625,682472143.209888,887600545.518987,710719971.85135,915848374.16045
"151",3,"Lycia et Pamphylia",61033216.0525101,211743360.335587,239120612.382104,272776576.388097,300153828.434614
"152",3,"Macedonia",228455272.195249,233562923.128754,347233007.153213,462018195.324003,575688279.348462
"153",3,"Mauretania Caesariensis",65894624.769664,689161205.429382,803699820.083867,755055830.199046,869594444.853531
"154",3,"Mauretania Tingitana",9650547.02804162,173329785.174237,202137201.081879,182980332.202278,211787748.109921
"155",3,"Moesia Inferior",20771940.2033636,392007175.052986,476704299.800921,412779115.256349,497476240.004285
"156",3,"Moesia Superior",25181888.9077723,347981817.957479,423166817.929927,373163706.865251,448348706.837699
"157",3,"Narbonensis",150061584.742799,665795553.555,920274076.854325,815857138.2978,1070335661.59712
"158",3,"Noricum",19090932.9945212,371134966.945135,451322439.507147,390225899.939656,470413372.501668
"159",3,"Numidia",83488100.3715829,344405071.233437,401645205.222812,427893171.605019,485133305.594395
"160",3,"Pannonia Inferior",21399985.9182418,148871414.798043,181036593.378888,170271400.716285,202436579.297129
"161",3,"Pannonia Superior",29911177.5810499,367652012.574879,447086957.531371,397563190.155928,476998135.112421
"162",3,"Picenum (Regio V)",38874535.3440965,148576052.656394,164370450.509157,187450588.00049,203244985.853253
"163",3,"Raetia",12936460.8859557,537603617.784719,743084976.204347,550540078.670674,756021437.090303
"164",3,"Samnium (Regio IV)",40266314.9653468,310403630.329571,343401131.237105,350669945.294917,383667446.202452
"165",3,"Sardinia",8474555.99802432,509021148.856597,563132712.57612,517495704.854622,571607268.574145
"166",3,"Sicilia",223009956.949393,582404595.756058,644317196.960523,805414552.705451,867327153.909916
"167",3,"Syria",100650736.083256,444524465.231672,551892156.081833,545175201.314928,652542892.165089
"168",3,"Thracia",94995199.0263313,232659617.619106,345890082.153425,327654816.645437,440885281.179757
"169",3,"Transpadana (Regio XI)",55737432.8387428,423038495.44485,468009661.286378,478775928.283593,523747094.125121
"170",3,"Umbria (Regio VI)",66479485.6038708,289416380.943698,320182829.398909,355895866.547569,386662315.002779
"171",3,"Venetia et Histria (Regio X)",104630636.263847,1230010711.21808,1360767170.20859,1334641347.48192,1465397806.47244
"172",4,"Achaia",640745570.242454,137654282.646364,204647680.678607,778399852.888818,845393250.921061
"173",4,"Aegyptus",797089155.470964,3244100796.07549,4052338786.38478,4041189951.54645,4849427941.85574
"174",4,"Aemilia (Regio VIII)",69314468.2107286,624141035.878146,690490435.129539,693455504.088874,759804903.340268
"175",4,"Africa Proconsularis",412971627.013391,1223641533.1139,1427010795.53376,1636613160.12729,1839982422.54715
"176",4,"Alpes Cottiae",760213.411338884,76113114.0713267,105204856.677842,76873327.4826656,105965070.089181
"177",4,"Alpes Graiae",0,29389191.0451272,40622245.8442951,29389191.0451272,40622245.8442951
"178",4,"Alpes Maritimae",3489379.55804548,51443160.2802922,71105621.8153372,54932539.8383377,74595001.3733827
"179",4,"Alpes Poeninae",2085442.02857615,31005605.8250127,42856482.1822072,33091047.8535889,44941924.2107834
"180",4,"Apulia et Calabria (Regio II)",109556679.480802,719521741.620669,796010600.004543,829078421.101472,905567279.485345
"181",4,"Aquitania",199356818.573196,1414221208.24783,1954760902.11013,1613578026.82103,2154117720.68332
"182",4,"Arabia",79304009.5326969,1105888790.12629,1372998330.81502,1185192799.65899,1452302340.34772
"183",4,"Asia",752706512.343821,1467070273.9056,1656754392.43008,2219776786.24942,2409460904.7739
"184",4,"Baetica",134611661.738383,761003111.928353,989735308.627125,895614773.666737,1124346970.36551
"185",4,"Belgica",119179039.249092,748260535.061386,1034258594.05842,867439574.310478,1153437633.30751
"186",4,"Bithynia et Pontus",32787063.3160162,313608182.506839,354155995.872664,346395245.822856,386943059.18868
"187",4,"Britannia",100118192.796292,711221147.415044,981667594.152156,811339340.211336,1081785786.94845
"188",4,"Bruttium et Lucania (Regio III)",56900150.4781552,710269116.4634,785774373.248607,767169266.941555,842674523.726762
"189",4,"Cappadocia",13267740.1310213,1984013354.3901,2240535370.38487,1997281094.52112,2253803110.51589
"190",4,"Cilicia",77384993.8027126,478231752.778169,540064488.46209,555616746.580882,617449482.264802
"191",4,"Corsica",1566082.58648362,213098792.52815,235752289.178226,214664875.114634,237318371.764709
"192",4,"Creta",32614551.0926165,11121066.6226656,16533452.1182142,43735617.7152821,49148003.2108307
"193",4,"Cyprus",44456000.0421417,129530342.151537,160816300.112464,173986342.193679,205272300.154606
"194",4,"Cyrene",37865318.3930285,709525922.798416,827449154.138959,747391241.191445,865314472.531987
"195",4,"Dacia",14005395.2955296,202269613.726775,245972014.592825,216275009.022305,259977409.888355
"196",4,"Dalmatia",82562756.7636853,709548934.821066,862854176.33656,792111691.584751,945416933.100246
"197",4,"Epirus",110174139.39825,85286852.9982233,126794141.983237,195460992.396473,236968281.381487
"198",4,"Etruria (Regio VII)",145499108.879659,797213951.899994,881961891.456593,942713060.779653,1027461000.33625
"199",4,"Galatia",45707860.4552373,1265396462.25858,1429005266.00628,1311104322.71381,1474713126.46152
"200",4,"Germania Inferior",48619064.9087234,353182367.406854,488174748.826582,401801432.315577,536793813.735306
"201",4,"Germania Superior",74220586.5394815,812658966.435058,1123271214.62464,886879552.974539,1197491801.16413
"202",4,"Hispania Citerior",104336085.020496,3472614810.47719,4516367196.55668,3576950895.49768,4620703281.57717
"203",4,"Iudaea",10768091.1491118,15676109.7443484,19462420.3670657,26444200.8934602,30230511.5161774
"204",4,"Latium et Campania (Regio I)",1215139089.59583,496610111.099811,549402317.731892,1711749200.69564,1764541407.32772
"205",4,"Liguria (Regio IX)",26243252.3636779,368486495.052063,407658502.937359,394729747.415741,433901755.301037
"206",4,"Lugdunensis",286567356.879565,1326378031.97551,1833342551.50637,1612945388.85508,2119909908.38593
"207",4,"Lusitania",32747308.0530994,791180299.024783,1028982753.36976,823927607.077883,1061730061.42286
"208",4,"Lycia et Pamphylia",79926139.5432365,277288834.83668,313140756.280533,357214974.379917,393066895.823769
"209",4,"Macedonia",277284100.54285,283483433.923843,421448763.874358,560767534.466692,698732864.417208
"210",4,"Mauretania Caesariensis",86251489.0093998,902064172.056141,1051987266.65689,988315661.06554,1138238755.66629
"211",4,"Mauretania Tingitana",12631896.058797,226876655.162923,264583562.596307,239508551.22172,277215458.655104
"212",4,"Moesia Inferior",26355232.6990746,497374834.371772,604837710.242796,523730067.070846,631192942.94187
"213",4,"Moesia Superior",31950532.0865075,441515895.844496,536909881.690503,473466427.931003,568860413.777011
"214",4,"Narbonensis",183751123.906894,815269820.504909,1126879982.07,999020944.411803,1310631105.9769
"215",4,"Noricum",24345231.6275065,473280522.116927,575537577.532016,497625753.744433,599882809.159522
"216",4,"Numidia",99807782.0390884,411727014.147319,480156057.228582,511534796.186408,579963839.26767
"217",4,"Pannonia Inferior",25594826.6309041,178053297.166206,216523517.309062,203648123.79711,242118343.939966
"218",4,"Pannonia Superior",35774388.2373571,439719425.90559,534725266.206811,475493814.142947,570499654.444168
"219",4,"Picenum (Regio V)",45537585.9370274,174041816.992478,192543356.449541,219579402.929505,238080942.386568
"220",4,"Raetia",16503936.453753,685858058.354977,948004816.396819,702361994.80873,964508752.850572
"221",4,"Samnium (Regio IV)",46906937.1425014,361594637.830748,400034005.879734,408501574.97325,446940943.022236
"222",4,"Sardinia",9691702.08645389,582128589.577169,644011849.906565,591820291.663623,653703551.993019
"223",4,"Sicilia",263113655.361633,687137938.525159,760184232.236387,950251593.886791,1023297887.59802
"224",4,"Syria",87434677.4054841,386155677.830581,479425332.664405,473590355.236065,566860010.069889
"225",4,"Thracia",124578862.551334,305115109.202335,453608113.295465,429693971.753669,578186975.846799
"226",4,"Transpadana (Regio XI)",66533964.790256,504982503.271771,558664738.213118,571516468.062027,625198703.003374
"227",4,"Umbria (Regio VI)",77348295.3496961,336733407.440353,372529898.949852,414081702.790049,449878194.299548
"228",4,"Venetia et Histria (Regio X)",124897949.449906,1468268005.60747,1624352439.27242,1593165955.05737,1749250388.72233
"229",5,"Achaia",568405585.498623,122113154.983487,181543018.257688,690518740.48211,749948603.756312
"230",5,"Aegyptus",689243538.289436,2805176178.73437,3504060122.13913,3494419717.02381,4193303660.42857
"231",5,"Aemilia (Regio VIII)",61799420.4032646,556471906.412064,615627729.484602,618271326.815329,677427149.887866
"232",5,"Africa Proconsularis",377229776.820409,1117737859.57884,1303505928.02846,1494967636.39925,1680735704.84887
"233",5,"Alpes Cottiae",642861.035030921,64363709.665611,88964627.623556,65006570.7006419,89607488.6585869
"234",5,"Alpes Graiae",0,25334653.9292802,35017994.837459,25334653.9292802,35017994.837459
"235",5,"Alpes Maritimae",2950732.15079193,43501999.2672927,60129212.3434377,46452731.4180846,63079944.4942296
"236",5,"Alpes Poeninae",1797331.9801718,26722088.7228137,36935731.0959801,28519420.7029855,38733063.0761519
"237",5,"Apulia et Calabria (Regio II)",97903722.9880248,642990072.438579,711343221.131783,740893795.426604,809246944.119808
"238",5,"Aquitania",172271524.20248,1222080312.31636,1689180447.74217,1394351836.51884,1861451971.94465
"239",5,"Arabia",66272348.039703,924163194.576412,1147379858.52013,990435542.616115,1213652206.55983
"240",5,"Asia",663526148.925506,1293252380.68755,1460462801.49946,1956778529.61306,2123988950.42497
"241",5,"Baetica",119964121.184958,678195843.974724,882038933.11957,798159965.159682,1002003054.30453
"242",5,"Belgica",102874046.762239,645890332.387701,892760737.456806,748764379.14994,995634784.219046
"243",5,"Bithynia et Pontus",32938645.927321,315058069.822844,355793345.64523,347996715.750165,388731991.572551
"244",5,"Britannia",89637928.965723,636771289.116506,878907695.143916,726409218.082229,968545624.109639
"245",5,"Bruttium et Lucania (Regio III)",51173942.907022,638790423.383383,706697127.802199,689964366.290405,757871070.709221
"246",5,"Cappadocia",11347528.9911757,1696871421.6208,1916267564.79439,1708218950.61197,1927615093.78556
"247",5,"Cilicia",67378291.7609077,416391305.143301,470228411.028554,483769596.904209,537606702.789462
"248",5,"Corsica",1430939.8548787,194709754.062033,215408401.431415,196140693.916912,216839341.286294
"249",5,"Creta",32879038.1334809,11211252.6869757,16667529.8129708,44090290.8204566,49546567.9464517
"250",5,"Cyprus",38668149.2430021,112666425.163416,139879176.884143,151334574.406418,178547326.127145
"251",5,"Cyrene",38172386.4248625,715279808.884557,834159336.278902,753452195.309419,872331722.703765
"252",5,"Dacia",13492562.1969285,194863142.822419,236965300.555053,208355705.019347,250457862.751982
"253",5,"Dalmatia",71422968.5087169,613812973.471461,746433489.866312,685235941.980177,817856458.375028
"254",5,"Epirus",97735511.7535541,75657992.6029711,112479120.97856,173393504.356525,210214632.732114
"255",5,"Etruria (Regio VII)",130856650.259453,716985472.206687,793204712.11928,847842122.466141,924061362.378733
"256",5,"Galatia",39480562.4877516,1092997213.22342,1234315742.14983,1132477775.71118,1273796304.63758
"257",5,"Germania Inferior",41911571.5684848,304457276.093011,420826088.732557,346368847.661496,462737660.301042
"258",5,"Germania Superior",63981103.5124672,700544415.991074,968304552.770464,764525519.503541,1032285656.28293
"259",5,"Hispania Citerior",94427553.0446669,3142829435.81423,4087459318.9717,3237256988.8589,4181886872.01637
"260",5,"Iudaea",12381301.1617028,18024609.2924921,22378161.9753633,30405910.4541949,34759463.1370661
"261",5,"Latium et Campania (Regio I)",1102141897.50351,450429761.37738,498312759.537066,1552571658.88089,1600454657.04058
"262",5,"Liguria (Regio IX)",23397969.1028037,328535331.922566,363460325.87886,351933301.02537,386858294.981664
"263",5,"Lugdunensis",247633342.614729,1146171808.2806,1584258406.57818,1393805150.89533,1831891749.19291
"264",5,"Lusitania",29878365.5555167,721866180.76377,938835119.077644,751744546.319286,968713484.633161
"265",5,"Lycia et Pamphylia",67938344.9148917,235699417.109868,266174055.555235,303637762.02476,334112400.470127
"266",5,"Macedonia",245180454.810678,250662036.246105,372653893.259001,495842491.056783,617834348.069678
"267",5,"Mauretania Caesariensis",73333523.1212404,766961180.358432,894430153.364959,840294703.479672,967763676.486199
"268",5,"Mauretania Tingitana",10740005.2141934,192897127.088979,224956635.85636,203637132.303173,235696641.070554
"269",5,"Moesia Inferior",22779486.4772735,429893503.239899,522776353.323741,452672989.717173,545555839.801014
"270",5,"Moesia Superior",27615643.6149337,381613226.251049,464064632.975628,409228869.865982,491680276.590562
