nominative_original	nominative_stripped	translation	category	hisco_code	all_forms	form_count
ἱματιόπωλις	ιματιοπωλις	Clothes dealer	Textiles	45190	ιματιοπωλαι|ιματιοπωλαις|ιματιοπωλας|ιματιοπωλη|ιματιοπωλην|ιματιοπωλης|ιματιοπωλων	7
ἰπνοπλάθης	ιπνοπλαθης	Oven maker	Ceramics	89120	ιπνοπλαθα|ιπνοπλαθαι|ιπνοπλαθαις|ιπνοπλαθας|ιπνοπλαθη|ιπνοπλαθηα|ιπνοπλαθηη|ιπνοπλαθην|ιπνοπλαθηου|ιπνοπλαθης|ιπνοπλαθηω|ιπνοπλαθων	12
ἰπνοπλάθος	ιπνοπλαθος	Oven maker	Ceramics	89120	ιπνοπλαθε|ιπνοπλαθοι|ιπνοπλαθοις|ιπνοπλαθον|ιπνοπλαθος|ιπνοπλαθου|ιπνοπλαθους|ιπνοπλαθω|ιπνοπλαθων	9
ἱππικός	ιππικος	Riding trainer	Education and Training	18190	ιππικε|ιππικοι|ιππικοις|ιππικον|ιππικος|ιππικου|ιππικους|ιππικω|ιππικων	9
ἱπποδρόμος	ιπποδρομος	Charioteer	Sports and Competition	18990	ιπποδρομε|ιπποδρομοι|ιπποδρομοις|ιπποδρομον|ιπποδρομος|ιπποδρομου|ιπποδρομους|ιπποδρομω|ιπποδρομων	9
ἱστιορράφος	ιστιορραφος	Sail stitcher	Textiles	79120	ιστιορραφε|ιστιορραφοι|ιστιορραφοις|ιστιορραφον|ιστιορραφος|ιστιορραφου|ιστιορραφους|ιστιορραφω|ιστιορραφων	9
ἰσχαδοπώλης	ισχαδοπωλης	Seller of Dried Figs	Food Preparation and Retail	45190	ισχαδοπωλα|ισχαδοπωλαι|ισχαδοπωλαις|ισχαδοπωλας|ισχαδοπωλη|ισχαδοπωληα|ισχαδοπωληη|ισχαδοπωλην|ισχαδοπωληου|ισχαδοπωλης|ισχαδοπωληω|ισχαδοπωλων	12
ἰτριοπώλης	ιτριοπωλης	Cake Seller	Food Preparation and Retail	51190	ιτριοπωλα|ιτριοπωλαι|ιτριοπωλαις|ιτριοπωλας|ιτριοπωλη|ιτριοπωληα|ιτριοπωληη|ιτριοπωλην|ιτριοπωληου|ιτριοπωλης|ιτριοπωληω|ιτριοπωλων	12
ἰχθυοπώλης	ιχθυοπωλης	Fishmonger	Food Preparation and Retail	45190	ιχθυοπωλα|ιχθυοπωλαι|ιχθυοπωλαις|ιχθυοπωλας|ιχθυοπωλη|ιχθυοπωληα|ιχθυοπωληη|ιχθυοπωλην|ιχθυοπωληου|ιχθυοπωλης|ιχθυοπωληω|ιχθυοπωλων	12
καναβιουργός	καναβιουργος	Maker of frames (?)	Woodwork	73990	καναβιουργε|καναβιουργοι|καναβιουργοις|καναβιουργον|καναβιουργος|καναβιουργου|καναβιουργους|καναβιουργω|καναβιουργων	9
καπηλίς	καπηλις	Retailer	Miscellaneous Retail	49190	καπηλαι|καπηλαις|καπηλας|καπηλη|καπηλην|καπηλης|καπηλων	7
κάπηλος	καπηλος	Retailer	Miscellaneous Retail	49190	καπηλε|καπηλοι|καπηλοις|καπηλον|καπηλος|καπηλου|καπηλους|καπηλω|καπηλων	9
καρυοπώλης	καρυοπωλης	Nut Seller	Food Preparation and Retail	45190	καρυοπωλα|καρυοπωλαι|καρυοπωλαις|καρυοπωλας|καρυοπωλη|καρυοπωληα|καρυοπωληη|καρυοπωλην|καρυοπωληου|καρυοπωλης|καρυοπωληω|καρυοπωλων	12
καυλοπώλης	καυλοπωλης	Greengrocer	Food Preparation and Retail	45190	καυλοπωλα|καυλοπωλαι|καυλοπωλαις|καυλοπωλας|καυλοπωλη|καυλοπωληα|καυλοπωληη|καυλοπωλην|καυλοπωληου|καυλοπωλης|καυλοπωληω|καυλοπωλων	12
κεκρυφαλοπλόκος	κεκρυφαλοπλοκος	Hairnet maker	Textiles	79120	κεκρυφαλοπλοκε|κεκρυφαλοπλοκοι|κεκρυφαλοπλοκοις|κεκρυφαλοπλοκον|κεκρυφαλοπλοκος|κεκρυφαλοπλοκου|κεκρυφαλοπλοκους|κεκρυφαλοπλοκω|κεκρυφαλοπλοκων	9
κελευστής	κελευστης	Rowing master	Seafaring/Maritime	98110	κελευστα|κελευσται|κελευσταις|κελευστας|κελευστη|κελευστηα|κελευστηη|κελευστην|κελευστηου|κελευστης|κελευστηω|κελευστων	12
κεραμεύς	κεραμευς	Potter	Ceramics	89120	κεραμεα|κεραμεας|κεραμει|κεραμεις|κεραμευ|κεραμευς|κεραμευσι|κεραμεων|κεραμεως	9
κεραμοπώλης	κεραμοπωλης	Pot seller	Ceramics	45190	κεραμοπωλα|κεραμοπωλαι|κεραμοπωλαις|κεραμοπωλας|κεραμοπωλη|κεραμοπωληα|κεραμοπωληη|κεραμοπωλην|κεραμοπωληου|κεραμοπωλης|κεραμοπωληω|κεραμοπωλων	12
κηπουρός	κηπουρος	Market Gardener	Agriculture, Animal Husbandry	62210	κηπουρε|κηπουροι|κηπουροις|κηπουρον|κηπουρος|κηπουρου|κηπουρους|κηπουρω|κηπουρων	9
κηπωρός	κηπωρος	Market Gardener	Agriculture, Animal Husbandry	62210	κηπωρε|κηπωροι|κηπωροις|κηπωρον|κηπωρος|κηπωρου|κηπωρους|κηπωρω|κηπωρων	9
κιθαριστής	κιθαριστης	Kithara teacher/player	Education and Training	13920	κιθαριστα|κιθαρισται|κιθαρισταις|κιθαριστας|κιθαριστη|κιθαριστηα|κιθαριστηη|κιθαριστην|κιθαριστηου|κιθαριστης|κιθαριστηω|κιθαριστων	12
κλινοποιός	κλινοποιος	Furniture maker	Woodwork	95110	κλινοποιε|κλινοποιοι|κλινοποιοις|κλινοποιον|κλινοποιος|κλινοποιου|κλινοποιους|κλινοποιω|κλινοποιων	9
κοιλοπώλης	κοιλοπωλης	tripe seller	Food Preparation and Retail	45190	κοιλοπωλα|κοιλοπωλαι|κοιλοπωλαις|κοιλοπωλας|κοιλοπωλη|κοιλοπωληα|κοιλοπωληη|κοιλοπωλην|κοιλοπωληου|κοιλοπωλης|κοιλοπωληω|κοιλοπωλων	12
κολλοπώλης	κολλοπωλης	Glue seller	Miscellaneous Retail	45190	κολλοπωλα|κολλοπωλαι|κολλοπωλαις|κολλοπωλας|κολλοπωλη|κολλοπωληα|κολλοπωληη|κολλοπωλην|κολλοπωληου|κολλοπωλης|κολλοπωληω|κολλοπωλων	12
κοπρολόγος	κοπρολογος	Dung collector	Transport	98310	κοπρολογε|κοπρολογοι|κοπρολογοις|κοπρολογον|κοπρολογος|κοπρολογου|κοπρολογους|κοπρολογω|κοπρολογων	9
κοροπλάθος	κοροπλαθος	Coroplast	Ceramics	89120	κοροπλαθε|κοροπλαθοι|κοροπλαθοις|κοροπλαθον|κοροπλαθος|κοροπλαθου|κοροπλαθους|κοροπλαθω|κοροπλαθων	9
κοσκινοποιός	κοσκινοποιος	Sieve maker	Tools	83990	κοσκινοποιε|κοσκινοποιοι|κοσκινοποιοις|κοσκινοποιον|κοσκινοποιος|κοσκινοποιου|κοσκινοποιους|κοσκινοποιω|κοσκινοποιων	9
κοσκινοπώλης	κοσκινοπωλης	Sieve seller	Tools	83990	κοσκινοπωλα|κοσκινοπωλαι|κοσκινοπωλαις|κοσκινοπωλας|κοσκινοπωλη|κοσκινοπωληα|κοσκινοπωληη|κοσκινοπωλην|κοσκινοπωληου|κοσκινοπωλης|κοσκινοπωληω|κοσκινοπωλων	12
κρανοποιός	κρανοποιος	Helmet maker	Armaments	72990	κρανοποιε|κρανοποιοι|κρανοποιοις|κρανοποιον|κρανοποιος|κρανοποιου|κρανοποιους|κρανοποιω|κρανοποιων	9
κρεοπώλης	κρεοπωλης	Butcher	Food Preparation and Retail	62210	κρεοπωλα|κρεοπωλαι|κρεοπωλαις|κρεοπωλας|κρεοπωλη|κρεοπωληα|κρεοπωληη|κρεοπωλην|κρεοπωληου|κρεοπωλης|κρεοπωληω|κρεοπωλων	12
κριθοπώλης	κριθοπωλης	Grain Dealer	Food Preparation and Retail	41110	κριθοπωλα|κριθοπωλαι|κριθοπωλαις|κριθοπωλας|κριθοπωλη|κριθοπωληα|κριθοπωληη|κριθοπωλην|κριθοπωληου|κριθοπωλης|κριθοπωληω|κριθοπωλων	12
κροκοπώλης	κροκοπωλης	Saffron Seller	Food Preparation and Retail	45190	κροκοπωλα|κροκοπωλαι|κροκοπωλαις|κροκοπωλας|κροκοπωλη|κροκοπωληα|κροκοπωληη|κροκοπωλην|κροκοπωληου|κροκοπωλης|κροκοπωληω|κροκοπωλων	12
κρομμυοπώλης	κρομμυοπωλης	Onion Seller	Food Preparation and Retail	45190	κρομμυοπωλα|κρομμυοπωλαι|κρομμυοπωλαις|κρομμυοπωλας|κρομμυοπωλη|κρομμυοπωληα|κρομμυοπωληη|κρομμυοπωλην|κρομμυοπωληου|κρομμυοπωλης|κρομμυοπωληω|κρομμυοπωλων	12
κτενοπώλης	κτενοπωλης	Comb seller	Miscellaneous Retail	49190	κτενοπωλα|κτενοπωλαι|κτενοπωλαις|κτενοπωλας|κτενοπωλη|κτενοπωληα|κτενοπωληη|κτενοπωλην|κτενοπωληου|κτενοπωλης|κτενοπωληω|κτενοπωλων	12
κυβερνήτης	κυβερνητης	Helmsman	Seafaring/Maritime	98110	κυβερνητα|κυβερνηται|κυβερνηταις|κυβερνητας|κυβερνητη|κυβερνητηα|κυβερνητηη|κυβερνητην|κυβερνητηου|κυβερνητης|κυβερνητηω|κυβερνητων	12
κυμινοπώλης	κυμινοπωλης	Cumin Seller	Food Preparation and Retail	45190	κυμινοπωλα|κυμινοπωλαι|κυμινοπωλαις|κυμινοπωλας|κυμινοπωλη|κυμινοπωληα|κυμινοπωληη|κυμινοπωλην|κυμινοπωληου|κυμινοπωλης|κυμινοπωληω|κυμινοπωλων	12
κυρηβιοπώλης	κυρηβιοπωλης	Chaff seller	Miscellaneous Retail	45190	κυρηβιοπωλα|κυρηβιοπωλαι|κυρηβιοπωλαις|κυρηβιοπωλας|κυρηβιοπωλη|κυρηβιοπωληα|κυρηβιοπωληη|κυρηβιοπωλην|κυρηβιοπωληου|κυρηβιοπωλης|κυρηβιοπωληω|κυρηβιοπωλων	12
κωμῳδοποιός	κωμωδοποιος	Comic poet/playwright	Drama and Entertainment	17110	κωμωδοποιε|κωμωδοποιοι|κωμωδοποιοις|κωμωδοποιον|κωμωδοποιος|κωμωδοποιου|κωμωδοποιους|κωμωδοποιω|κωμωδοποιων	9
λαχανόπολις	λαχανοπολις	Greengrocer	Food Preparation and Retail	45190	λαχανοπολαι|λαχανοπολαις|λαχανοπολας|λαχανοπολη|λαχανοπολην|λαχανοπολης|λαχανοπολων	7
λεκιθοπώλης	λεκιθοπωλης	Pulse Seller	Food Preparation and Retail	45190	λεκιθοπωλα|λεκιθοπωλαι|λεκιθοπωλαις|λεκιθοπωλας|λεκιθοπωλη|λεκιθοπωληα|λεκιθοπωληη|λεκιθοπωλην|λεκιθοπωληου|λεκιθοπωλης|λεκιθοπωληω|λεκιθοπωλων	12
ληκυθοπώλης	ληκυθοπωλης	Oil flask seller	Ceramics	45190	ληκυθοπωλα|ληκυθοπωλαι|ληκυθοπωλαις|ληκυθοπωλας|ληκυθοπωλη|ληκυθοπωληα|ληκυθοπωληη|ληκυθοπωλην|ληκυθοπωληου|ληκυθοπωλης|ληκυθοπωληω|ληκυθοπωλων	12
λιβανοπώλης	λιβανοπωλης	Incense seller	Perfumes, Aromatics, and Nostrums	45190	λιβανοπωλα|λιβανοπωλαι|λιβανοπωλαις|λιβανοπωλας|λιβανοπωλη|λιβανοπωληα|λιβανοπωληη|λιβανοπωλην|λιβανοπωληου|λιβανοπωλης|λιβανοπωληω|λιβανοπωλων	12
λιβανοτοπώλης	λιβανοτοπωλης	Incense seller	Perfumes, Aromatics, and Nostrums	45190	λιβανοτοπωλα|λιβανοτοπωλαι|λιβανοτοπωλαις|λιβανοτοπωλας|λιβανοτοπωλη|λιβανοτοπωληα|λιβανοτοπωληη|λιβανοτοπωλην|λιβανοτοπωληου|λιβανοτοπωλης|λιβανοτοπωληω|λιβανοτοπωλων	12
λιβανοτόπωλις	λιβανοτοπωλις	Incense seller	Perfumes, Aromatics, and Nostrums	45190	λιβανοτοπωλαι|λιβανοτοπωλαις|λιβανοτοπωλας|λιβανοτοπωλη|λιβανοτοπωλην|λιβανοτοπωλης|λιβανοτοπωλων	7
λιθοκόπος	λιθοκοπος	Stonecutter/quarryman	Stonework	82120	λιθοκοπε|λιθοκοποι|λιθοκοποις|λιθοκοπον|λιθοκοπος|λιθοκοπου|λιθοκοπους|λιθοκοπω|λιθοκοπων	9
λιθουργός	λιθουργος	Stonemason	Stonework	82120	λιθουργε|λιθουργοι|λιθουργοις|λιθουργον|λιθουργος|λιθουργου|λιθουργους|λιθουργω|λιθουργων	9
λινουργός	λινουργος	Linen worker	Textiles	75130	λινουργε|λινουργοι|λινουργοις|λινουργον|λινουργος|λινουργου|λινουργους|λινουργω|λινουργων	9
λιτροπώλης	λιτροπωλης	Nitre seller	Fuel and Raw Materials	45190	λιτροπωλα|λιτροπωλαι|λιτροπωλαις|λιτροπωλας|λιτροπωλη|λιτροπωληα|λιτροπωληη|λιτροπωλην|λιτροπωληου|λιτροπωλης|λιτροπωληω|λιτροπωλων	12
λογόγραφος	λογογραφος	Speech-writer	Writing and the Book Trade	15120	λογογραφε|λογογραφοι|λογογραφοις|λογογραφον|λογογραφος|λογογραφου|λογογραφους|λογογραφω|λογογραφων	9
λοφοποιός	λοφοποιος	Maker of helmet crests	Armaments	72990	λοφοποιε|λοφοποιοι|λοφοποιοις|λοφοποιον|λοφοποιος|λοφοποιου|λοφοποιους|λοφοποιω|λοφοποιων	9
λυγειπνός	λυγειπνος	Singer	Drama and Entertainment	17320	λυγειπνε|λυγειπνοι|λυγειπνοις|λυγειπνον|λυγειπνος|λυγειπνου|λυγειπνους|λυγειπνω|λυγειπνων	9
