nominative_original	nominative_stripped	translation	category	hisco_code	all_forms	form_count
ναυπηγός	ναυπηγος	Shipwright	Woodwork	73210	ναυπηγε|ναυπηγοι|ναυπηγοις|ναυπηγον|ναυπηγος|ναυπηγου|ναυπηγους|ναυπηγω|ναυπηγων	9
ναύτης	ναυτης	Sailor	Seafaring/Maritime	98110	ναυτα|ναυται|ναυταις|ναυτας|ναυτη|ναυτηα|ναυτηη|ναυτην|ναυτηου|ναυτης|ναυτηω|ναυτων	12
νευρορράφος	νευρορραφος	Cobbler	Leatherwork and Footwear	80110	νευρορραφε|νευρορραφοι|νευρορραφοις|νευρορραφον|νευρορραφος|νευρορραφου|νευρορραφους|νευρορραφω|νευρορραφων	9
ξιφουργός	ξιφουργος	Swordsmith	Armaments	72110	ξιφουργε|ξιφουργοι|ξιφουργοις|ξιφουργον|ξιφουργος|ξιφουργου|ξιφουργους|ξιφουργω|ξιφουργων	9
ξυλοπώλης	ξυλοπωλης	Timber wholesaler	Woodwork	41110	ξυλοπωλα|ξυλοπωλαι|ξυλοπωλαις|ξυλοπωλας|ξυλοπωλη|ξυλοπωληα|ξυλοπωληη|ξυλοπωλην|ξυλοπωληου|ξυλοπωλης|ξυλοπωληω|ξυλοπωλων	12
ξυλουργός	ξυλουργος	Turner	Woodwork	73990	ξυλουργε|ξυλουργοι|ξυλουργοις|ξυλουργον|ξυλουργος|ξυλουργου|ξυλουργους|ξυλουργω|ξυλουργων	9
ὀβελισκοποιός	οβελισκοποιος	Skewer maker	Metalwork	83120	οβελισκοποιε|οβελισκοποιοι|οβελισκοποιοις|οβελισκοποιον|οβελισκοποιος|οβελισκοποιου|οβελισκοποιους|οβελισκοποιω|οβελισκοποιων	9
πηλοφορῶν	πηλοφορων	Carrier of clay or mortar	Transport	98310	πηλοφορον|πηλοφορονα|πηλοφορονας|πηλοφορονες|πηλοφορονι|πηλοφορονος|πηλοφορονων|πηλοφοροσι|πηλοφορων	9
οἰκοδομος	οικοδομος	Builder	Construction	95110	οικοδομε|οικοδομοι|οικοδομοις|οικοδομον|οικοδομος|οικοδομου|οικοδομους|οικοδομω|οικοδομων	9
οἰνοπώλης	οινοπωλης	Wine Dealer	Food Preparation and Retail	45190	οινοπωλα|οινοπωλαι|οινοπωλαις|οινοπωλας|οινοπωλη|οινοπωληα|οινοπωληη|οινοπωλην|οινοπωληου|οινοπωλης|οινοπωληω|οινοπωλων	12
οἰσουργός	οισουργος	Basketmaker	Cordage and Basketry	71990	οισουργε|οισουργοι|οισουργοις|οισουργον|οισουργος|οισουργου|οισουργους|οισουργω|οισουργων	9
ὁλμοποιός	ολμοποιος	Mortar maker	Woodwork	73990	ολμοποιε|ολμοποιοι|ολμοποιοις|ολμοποιον|ολμοποιος|ολμοποιου|ολμοποιους|ολμοποιω|ολμοποιων	9
ὀνελάτης	ονελατης	Ass driver	Transport	98510	ονελατα|ονελαται|ονελαταις|ονελατας|ονελατη|ονελατηα|ονελατηη|ονελατην|ονελατηου|ονελατης|ονελατηω|ονελατων	12
ὀνοκόμος	ονοκομος	Ass keeper	Transport	98510	ονοκομε|ονοκομοι|ονοκομοις|ονοκομον|ονοκομος|ονοκομου|ονοκομους|ονοκομω|ονοκομων	9
ὀξοπώλης	οξοπωλης	Vinegar Dealer	Food Preparation and Retail	45190	οξοπωλα|οξοπωλαι|οξοπωλαις|οξοπωλας|οξοπωλη|οξοπωληα|οξοπωληη|οξοπωλην|οξοπωληου|οξοπωλης|οξοπωληω|οξοπωλων	12
ὁπλομάχος	οπλομαχος	Weapons trainer	Education and Training	18190	οπλομαχε|οπλομαχοι|οπλομαχοις|οπλομαχον|οπλομαχος|οπλομαχου|οπλομαχους|οπλομαχω|οπλομαχων	9
ὀπωρώνης	οπωρωνης	Fruit Seller	Agriculture, Animal Husbandry	62210	οπωρωνα|οπωρωναι|οπωρωναις|οπωρωνας|οπωρωνη|οπωρωνηα|οπωρωνηη|οπωρωνην|οπωρωνηου|οπωρωνης|οπωρωνηω|οπωρωνων	12
ὀρεοκόμος	ορεοκομος	Muleteer	Transport	98510	ορεοκομε|ορεοκομοι|ορεοκομοις|ορεοκομον|ορεοκομος|ορεοκομου|ορεοκομους|ορεοκομω|ορεοκομων	9
ὀρνιθευτής	ορνιθευτης	Fowler	Agriculture, Animal Husbandry	64120	ορνιθευτα|ορνιθευται|ορνιθευταις|ορνιθευτας|ορνιθευτη|ορνιθευτηα|ορνιθευτηη|ορνιθευτην|ορνιθευτηου|ορνιθευτης|ορνιθευτηω|ορνιθευτων	12
ὀρνιθοκάπηλος	ορνιθοκαπηλος	Bird Dealer	Agriculture, Animal Husbandry	62210	ορνιθοκαπηλε|ορνιθοκαπηλοι|ορνιθοκαπηλοις|ορνιθοκαπηλον|ορνιθοκαπηλος|ορνιθοκαπηλου|ορνιθοκαπηλους|ορνιθοκαπηλω|ορνιθοκαπηλων	9
ὀρνιθοπώλης	ορνιθοπωλης	Bird Dealer	Agriculture, Animal Husbandry	62210	ορνιθοπωλα|ορνιθοπωλαι|ορνιθοπωλαις|ορνιθοπωλας|ορνιθοπωλη|ορνιθοπωληα|ορνιθοπωληη|ορνιθοπωλην|ορνιθοπωληου|ορνιθοπωλης|ορνιθοπωληω|ορνιθοπωλων	12
ὀρτυγοθήρας	ορτυγοθηρας	Quail Trapper	Agriculture, Animal Husbandry	61110	ορτυγοθηρα|ορτυγοθηραα|ορτυγοθηραη|ορτυγοθηραι|ορτυγοθηραις|ορτυγοθηραν|ορτυγοθηραου|ορτυγοθηρας|ορτυγοθηραω|ορτυγοθηρων	10
ὀρτυγοκόμος	ορτυγοκομος	Quail Rearer	Agriculture, Animal Husbandry	61110	ορτυγοκομε|ορτυγοκομοι|ορτυγοκομοις|ορτυγοκομον|ορτυγοκομος|ορτυγοκομου|ορτυγοκομους|ορτυγοκομω|ορτυγοκομων	9
ὀρτυγοπώλης	ορτυγοπωλης	Quail Dealer	Agriculture, Animal Husbandry	62210	ορτυγοπωλα|ορτυγοπωλαι|ορτυγοπωλαις|ορτυγοπωλας|ορτυγοπωλη|ορτυγοπωληα|ορτυγοπωληη|ορτυγοπωλην|ορτυγοπωληου|ορτυγοπωλης|ορτυγοπωληω|ορτυγοπωλων	12
ὀρτυγοτρόφος	ορτυγοτροφος	Quail Rearer	Agriculture, Animal Husbandry	61110	ορτυγοτροφε|ορτυγοτροφοι|ορτυγοτροφοις|ορτυγοτροφον|ορτυγοτροφος|ορτυγοτροφου|ορτυγοτροφους|ορτυγοτροφω|ορτυγοτροφων	9
ὀσπριοπώλης	οσπριοπωλης	Pulse Seller	Food Preparation and Retail	45190	οσπριοπωλα|οσπριοπωλαι|οσπριοπωλαις|οσπριοπωλας|οσπριοπωλη|οσπριοπωληα|οσπριοπωληη|οσπριοπωλην|οσπριοπωληου|οσπριοπωλης|οσπριοπωληω|οσπριοπωλων	12
παγκρατιαστής	παγκρατιαστης	Pancratiast	Sports and Competition	18990	παγκρατιαστα|παγκρατιασται|παγκρατιασταις|παγκρατιαστας|παγκρατιαστη|παγκρατιαστηα|παγκρατιαστηη|παγκρατιαστην|παγκρατιαστηου|παγκρατιαστης|παγκρατιαστηω|παγκρατιαστων	12
παιδοτρίβης	παιδοτριβης	Physical trainer	Education and Training	18190	παιδοτριβα|παιδοτριβαι|παιδοτριβαις|παιδοτριβας|παιδοτριβη|παιδοτριβηα|παιδοτριβηη|παιδοτριβην|παιδοτριβηου|παιδοτριβης|παιδοτριβηω|παιδοτριβων	12
παλιγκάπηλος	παλιγκαπηλος	Wholesaler/middleman	Miscellaneous Retail	41110	παλιγκαπηλε|παλιγκαπηλοι|παλιγκαπηλοις|παλιγκαπηλον|παλιγκαπηλος|παλιγκαπηλου|παλιγκαπηλους|παλιγκαπηλω|παλιγκαπηλων	9
πένταθλος	πενταθλος	Pentathlete	Sports and Competition	18990	πενταθλε|πενταθλοι|πενταθλοις|πενταθλον|πενταθλος|πενταθλου|πενταθλους|πενταθλω|πενταθλων	9
περιηγητής	περιηγητης	Traveler	Exploration and Travel	43190	περιηγητα|περιηγηται|περιηγηταις|περιηγητας|περιηγητη|περιηγητηα|περιηγητηη|περιηγητην|περιηγητηου|περιηγητης|περιηγητηω|περιηγητων	12
περσικοποιός	περσικοποιος	Maker of slippers	Leatherwork and Footwear	80110	περσικοποιε|περσικοποιοι|περσικοποιοις|περσικοποιον|περσικοποιος|περσικοποιου|περσικοποιους|περσικοποιω|περσικοποιων	9
πιλοποιός	πιλοποιος	Hatter/felter	Textiles	79120	πιλοποιε|πιλοποιοι|πιλοποιοις|πιλοποιον|πιλοποιος|πιλοποιου|πιλοποιους|πιλοποιω|πιλοποιων	9
πινακοπώλης	πινακοπωλης	one who sells birds from a tray	Agriculture, Animal Husbandry	45190	πινακοπωλα|πινακοπωλαι|πινακοπωλαις|πινακοπωλας|πινακοπωλη|πινακοπωληα|πινακοπωληη|πινακοπωλην|πινακοπωληου|πινακοπωλης|πινακοπωληω|πινακοπωλων	12
πλινθουργός	πλινθουργος	Brick maker	Construction	95110	πλινθουργε|πλινθουργοι|πλινθουργοις|πλινθουργον|πλινθουργος|πλινθουργου|πλινθουργους|πλινθουργω|πλινθουργων	9
πλινθόφορος	πλινθοφορος	Brick carrier	Construction	95110	πλινθοφορε|πλινθοφοροι|πλινθοφοροις|πλινθοφορον|πλινθοφορος|πλινθοφορου|πλινθοφορους|πλινθοφορω|πλινθοφορων	9
πλυνεύς	πλυνευς	Clothes washer	Textiles	75140	πλυνεα|πλυνεας|πλυνει|πλυνεις|πλυνευ|πλυνευς|πλυνευσι|πλυνεων|πλυνεως	9
πλύντης	πλυντης	Clothes washer	Textiles	75140	πλυντα|πλυνται|πλυνταις|πλυντας|πλυντη|πλυντηα|πλυντηη|πλυντην|πλυντηου|πλυντης|πλυντηω|πλυντων	12
πλύντρια	πλυντρια	Clothes washer	Textiles	75140	πλυντρα|πλυντραι|πλυντραις|πλυντραν|πλυντρας|πλυντρη|πλυντρην|πλυντρης|πλυντρων	9
ποάστρια	ποαστρια	Herb Cutter	Agriculture, Animal Husbandry	61110	ποαστρα|ποαστραι|ποαστραις|ποαστραν|ποαστρας|ποαστρη|ποαστρην|ποαστρης|ποαστρων	9
ποδωκέας	ποδωκεας	Runner	Sports and Competition	18990	ποδωκεα|ποδωκεαα|ποδωκεαη|ποδωκεαι|ποδωκεαις|ποδωκεαν|ποδωκεαου|ποδωκεας|ποδωκεαω|ποδωκεων	10
ποιητής	ποιητης	Maker, poet	Literature and Scholarship	17150	ποιητα|ποιηται|ποιηταις|ποιητας|ποιητη|ποιητηα|ποιητηη|ποιητην|ποιητηου|ποιητης|ποιητηω|ποιητων	12
ποιητικός	ποιητικος	Poet	Literature and Scholarship	17150	ποιητικε|ποιητικοι|ποιητικοις|ποιητικον|ποιητικος|ποιητικου|ποιητικους|ποιητικω|ποιητικων	9
ποικιλτής	ποικιλτης	Pattern weaver	Textiles	75110	ποικιλτα|ποικιλται|ποικιλταις|ποικιλτας|ποικιλτη|ποικιλτηα|ποικιλτηη|ποικιλτην|ποικιλτηου|ποικιλτης|ποικιλτηω|ποικιλτων	12
ποιμήν	ποιμην	Shepherd	Agriculture, Animal Husbandry	61110	ποιμην|ποιμηνα|ποιμηνας|ποιμηνες|ποιμηνι|ποιμηνος|ποιμηνσι|ποιμηνων	8
πορθμεύς	πορθμευς	Ferryman	Seafaring/Maritime	98110	πορθμεα|πορθμεας|πορθμει|πορθμεις|πορθμευ|πορθμευς|πορθμευσι|πορθμεων|πορθμεως	9
πριονοποιός	πριονοποιος	Saw maker	Tools	83990	πριονοποιε|πριονοποιοι|πριονοποιοις|πριονοποιον|πριονοποιος|πριονοποιου|πριονοποιους|πριονοποιω|πριονοποιων	9
πρίστης	πριστης	Sawyer	Woodwork	73990	πριστα|πρισται|πρισταις|πριστας|πριστη|πριστηα|πριστηη|πριστην|πριστηου|πριστης|πριστηω|πριστων	12
προβατοκάπηλος	προβατοκαπηλος	Sheep Dealer	Agriculture, Animal Husbandry	62210	προβατοκαπηλε|προβατοκαπηλοι|προβατοκαπηλοις|προβατοκαπηλον|προβατοκαπηλος|προβατοκαπηλου|προβατοκαπηλους|προβατοκαπηλω|προβατοκαπηλων	9
προβατοπώλης	προβατοπωλης	Sheep Dealer	Agriculture, Animal Husbandry	62210	προβατοπωλα|προβατοπωλαι|προβατοπωλαις|προβατοπωλας|προβατοπωλη|προβατοπωληα|προβατοπωληη|προβατοπωλην|προβατοπωληου|προβατοπωλης|προβατοπωληω|προβατοπωλων	12
προμετρητής	προμετρητης	Surveyor	Construction	6145	προμετρητα|προμετρηται|προμετρηταις|προμετρητας|προμετρητη|προμετρητηα|προμετρητηη|προμετρητην|προμετρητηου|προμετρητης|προμετρητηω|προμετρητων	12
πρῳρεύς	πρωρευς	Quartermaster	Seafaring/Maritime	98110	πρωρεα|πρωρεας|πρωρει|πρωρεις|πρωρευ|πρωρευς|πρωρευσι|πρωρεων|πρωρεως	9
πυκτεύς	πυκτευς	Boxer	Sports and Competition	18990	πυκτεα|πυκτεας|πυκτει|πυκτεις|πυκτευ|πυκτευς|πυκτευσι|πυκτεων|πυκτεως	9
πυροκάπηλος	πυροκαπηλος	Barley Dealer	Food Preparation and Retail	41110	πυροκαπηλε|πυροκαπηλοι|πυροκαπηλοις|πυροκαπηλον|πυροκαπηλος|πυροκαπηλου|πυροκαπηλους|πυροκαπηλω|πυροκαπηλων	9
πυροπώλης	πυροπωλης	Barley Dealer	Food Preparation and Retail	41110	πυροπωλα|πυροπωλαι|πυροπωλαις|πυροπωλας|πυροπωλη|πυροπωληα|πυροπωληη|πυροπωλην|πυροπωληου|πυροπωλης|πυροπωληω|πυροπωλων	12
ῥακιοσυρραπτάδης	ρακιοσυρραπταδης	Clothes mender	Textiles	79120	ρακιοσυρραπταδα|ρακιοσυρραπταδαι|ρακιοσυρραπταδαις|ρακιοσυρραπταδας|ρακιοσυρραπταδη|ρακιοσυρραπταδηα|ρακιοσυρραπταδηη|ρακιοσυρραπταδην|ρακιοσυρραπταδηου|ρακιοσυρραπταδης|ρακιοσυρραπταδηω|ρακιοσυρραπταδων	12
ῥάπτης	ραπτης	Clothes mender	Textiles	79120	ραπτα|ραπται|ραπταις|ραπτας|ραπτη|ραπτηα|ραπτηη|ραπτην|ραπτηου|ραπτης|ραπτηω|ραπτων	12
ῥήτωρ	ρητωρ	Orator	Literature and Scholarship	17150	ρητωρ|ρητωρα|ρητωρας|ρητωρες|ρητωρι|ρητωρος|ρητωρσι|ρητωρων	8
ῥιζοπώλης	ριζοπωλης	Root seller	Perfumes, Aromatics, and Nostrums	45190	ριζοπωλα|ριζοπωλαι|ριζοπωλαις|ριζοπωλας|ριζοπωλη|ριζοπωληα|ριζοπωληη|ριζοπωλην|ριζοπωληου|ριζοπωλης|ριζοπωληω|ριζοπωλων	12
ῥιζότομος	ριζοτομος	Gatherer of medicinal roots	Perfumes, Aromatics, and Nostrums	6390	ριζοτομε|ριζοτομοι|ριζοτομοις|ριζοτομον|ριζοτομος|ριζοτομου|ριζοτομους|ριζοτομω|ριζοτομων	9
σακχυφάντης	σακχυφαντης	Sackcloth maker	Textiles	79120	σακχυφαντα|σακχυφανται|σακχυφανταις|σακχυφαντας|σακχυφαντη|σακχυφαντηα|σακχυφαντηη|σακχυφαντην|σακχυφαντηου|σακχυφαντης|σακχυφαντηω|σακχυφαντων	12
σησαμοπώλης	σησαμοπωλης	Sesame Seller	Food Preparation and Retail	41110	σησαμοπωλα|σησαμοπωλαι|σησαμοπωλαις|σησαμοπωλας|σησαμοπωλη|σησαμοπωληα|σησαμοπωληη|σησαμοπωλην|σησαμοπωληου|σησαμοπωλης|σησαμοπωληω|σησαμοπωλων	12
σησαμοπώλις	σησαμοπωλις	Sesame Seller	Food Preparation and Retail	41110	σησαμοπωλαι|σησαμοπωλαις|σησαμοπωλας|σησαμοπωλη|σησαμοπωλην|σησαμοπωλης|σησαμοπωλων	7
σιδηροθργός	σιδηροθργος	Ironworker	Metalwork	72110	σιδηροθργε|σιδηροθργοι|σιδηροθργοις|σιδηροθργον|σιδηροθργος|σιδηροθργου|σιδηροθργους|σιδηροθργω|σιδηροθργων	9
σιδηροπώλης	σιδηροπωλης	Iron dealer	Metalwork	45190	σιδηροπωλα|σιδηροπωλαι|σιδηροπωλαις|σιδηροπωλας|σιδηροπωλη|σιδηροπωληα|σιδηροπωληη|σιδηροπωλην|σιδηροπωληου|σιδηροπωλης|σιδηροπωληω|σιδηροπωλων	12
σιλφιοπώλης	σιλφιοπωλης	Silphium Seller	Food Preparation and Retail	45190	σιλφιοπωλα|σιλφιοπωλαι|σιλφιοπωλαις|σιλφιοπωλας|σιλφιοπωλη|σιλφιοπωληα|σιλφιοπωληη|σιλφιοπωλην|σιλφιοπωληου|σιλφιοπωλης|σιλφιοπωληω|σιλφιοπωλων	12
σινδονοπώλης	σινδονοπωλης	Linen seller	Textiles	45190	σινδονοπωλα|σινδονοπωλαι|σινδονοπωλαις|σινδονοπωλας|σινδονοπωλη|σινδονοπωληα|σινδονοπωληη|σινδονοπωλην|σινδονοπωληου|σινδονοπωλης|σινδονοπωληω|σινδονοπωλων	12
σιτοκάπηλος	σιτοκαπηλος	Grain Dealer	Food Preparation and Retail	41110	σιτοκαπηλε|σιτοκαπηλοι|σιτοκαπηλοις|σιτοκαπηλον|σιτοκαπηλος|σιτοκαπηλου|σιτοκαπηλους|σιτοκαπηλω|σιτοκαπηλων	9
σιτοποιός	σιτοποιος	Baker	Food Preparation and Retail	53120	σιτοποιε|σιτοποιοι|σιτοποιοις|σιτοποιον|σιτοποιος|σιτοποιου|σιτοποιους|σιτοποιω|σιτοποιων	9
σιτοπώλης	σιτοπωλης	Grain Dealer	Food Preparation and Retail	41110	σιτοπωλα|σιτοπωλαι|σιτοπωλαις|σιτοπωλας|σιτοπωλη|σιτοπωληα|σιτοπωληη|σιτοπωλην|σιτοπωληου|σιτοπωλης|σιτοπωληω|σιτοπωλων	12
σκανδικοπώλης	σκανδικοπωλης	Wild Chervil Seller	Food Preparation and Retail	45190	σκανδικοπωλα|σκανδικοπωλαι|σκανδικοπωλαις|σκανδικοπωλας|σκανδικοπωλη|σκανδικοπωληα|σκανδικοπωληη|σκανδικοπωλην|σκανδικοπωληου|σκανδικοπωλης|σκανδικοπωληω|σκανδικοπωλων	12
σκαφεύς	σκαφευς	Digger	Agriculture, Animal Husbandry	62990	σκαφεα|σκαφεας|σκαφει|σκαφεις|σκαφευ|σκαφευς|σκαφευσι|σκαφεων|σκαφεως	9
σκευοποιός	σκευοποιος	Maker of drama equipment	Drama and Entertainment	17990	σκευοποιε|σκευοποιοι|σκευοποιοις|σκευοποιον|σκευοποιος|σκευοποιου|σκευοποιους|σκευοποιω|σκευοποιων	9
σκευοπώλης	σκευοπωλης	Seller of equipment	Miscellaneous Retail	49190	σκευοπωλα|σκευοπωλαι|σκευοπωλαις|σκευοπωλας|σκευοπωλη|σκευοπωληα|σκευοπωληη|σκευοπωλην|σκευοπωληου|σκευοπωλης|σκευοπωληω|σκευοπωλων	12
σκηνίτης	σκηνιτης	Stallholder	Miscellaneous Retail	45190	σκηνιτα|σκηνιται|σκηνιταις|σκηνιτας|σκηνιτη|σκηνιτηα|σκηνιτηη|σκηνιτην|σκηνιτηου|σκηνιτης|σκηνιτηω|σκηνιτων	12
σκοροδοπώλης	σκοροδοπωλης	Garlic Seller	Food Preparation and Retail	45190	σκοροδοπωλα|σκοροδοπωλαι|σκοροδοπωλαις|σκοροδοπωλας|σκοροδοπωλη|σκοροδοπωληα|σκοροδοπωληη|σκοροδοπωλην|σκοροδοπωληου|σκοροδοπωλης|σκοροδοπωληω|σκοροδοπωλων	12
σκυλοδέψης	σκυλοδεψης	Tanner	Leatherwork and Footwear	76120	σκυλοδεψα|σκυλοδεψαι|σκυλοδεψαις|σκυλοδεψας|σκυλοδεψη|σκυλοδεψηα|σκυλοδεψηη|σκυλοδεψην|σκυλοδεψηου|σκυλοδεψης|σκυλοδεψηω|σκυλοδεψων	12
σκυτοδέψης	σκυτοδεψης	Leather worker/shoemaker	Leatherwork and Footwear	80110	σκυτοδεψα|σκυτοδεψαι|σκυτοδεψαις|σκυτοδεψας|σκυτοδεψη|σκυτοδεψηα|σκυτοδεψηη|σκυτοδεψην|σκυτοδεψηου|σκυτοδεψης|σκυτοδεψηω|σκυτοδεψων	12
σκυτοπώλης	σκυτοπωλης	Leather seller	Leatherwork and Footwear	45190	σκυτοπωλα|σκυτοπωλαι|σκυτοπωλαις|σκυτοπωλας|σκυτοπωλη|σκυτοπωληα|σκυτοπωληη|σκυτοπωλην|σκυτοπωληου|σκυτοπωλης|σκυτοπωληω|σκυτοπωλων	12
σκυτότομος	σκυτοτομος	Leather worker/shoemaker	Leatherwork and Footwear	80110	σκυτοτομε|σκυτοτομοι|σκυτοτομοις|σκυτοτομον|σκυτοτομος|σκυτοτομου|σκυτοτομους|σκυτοτομω|σκυτοτομων	9
σοροπηγός	σοροπηγος	coffin maker	Woodwork	73990	σοροπηγε|σοροπηγοι|σοροπηγοις|σοροπηγον|σοροπηγος|σοροπηγου|σοροπηγους|σοροπηγω|σοροπηγων	9
σοροποιός	σοροποιος	coffin maker	Woodwork	73990	σοροποιε|σοροποιοι|σοροποιοις|σοροποιον|σοροποιος|σοροποιου|σοροποιους|σοροποιω|σοροποιων	9
σοφιστής	σοφιστης	Philosopher/sophist	Education and Training	19190	σοφιστα|σοφισται|σοφισταις|σοφιστας|σοφιστη|σοφιστηα|σοφιστηη|σοφιστην|σοφιστηου|σοφιστης|σοφιστηω|σοφιστων	12
σπαρτοπώλης	σπαρτοπωλης	Rope dealer	Cordage and Basketry	45190	σπαρτοπωλα|σπαρτοπωλαι|σπαρτοπωλαις|σπαρτοπωλας|σπαρτοπωλη|σπαρτοπωληα|σπαρτοπωληη|σπαρτοπωλην|σπαρτοπωληου|σπαρτοπωλης|σπαρτοπωληω|σπαρτοπωλων	12
σπερματοπώλης	σπερματοπωλης	Seed seller	Miscellaneous Retail	45190	σπερματοπωλα|σπερματοπωλαι|σπερματοπωλαις|σπερματοπωλας|σπερματοπωλη|σπερματοπωληα|σπερματοπωληη|σπερματοπωλην|σπερματοπωληου|σπερματοπωλης|σπερματοπωληω|σπερματοπωλων	12
στεφανοπώλης	στεφανοπωλης	Garland seller	Miscellaneous Retail	45190	στεφανοπωλα|στεφανοπωλαι|στεφανοπωλαις|στεφανοπωλας|στεφανοπωλη|στεφανοπωληα|στεφανοπωληη|στεφανοπωλην|στεφανοπωληου|στεφανοπωλης|στεφανοπωληω|στεφανοπωλων	12
στεφανόπωλις	στεφανοπωλις	Garland seller	Miscellaneous Retail	45190	στεφανοπωλαι|στεφανοπωλαις|στεφανοπωλας|στεφανοπωλη|στεφανοπωλην|στεφανοπωλης|στεφανοπωλων	7
στυππειοπλόκος	στυππειοπλοκος	Ropemaker	Textiles	75990	στυππειοπλοκε|στυππειοπλοκοι|στυππειοπλοκοις|στυππειοπλοκον|στυππειοπλοκος|στυππειοπλοκου|στυππειοπλοκους|στυππειοπλοκω|στυππειοπλοκων	9
στυππειοπώλης	στυππειοπωλης	Rope dealer	Cordage and Basketry	45190	στυππειοπωλα|στυππειοπωλαι|στυππειοπωλαις|στυππειοπωλας|στυππειοπωλη|στυππειοπωληα|στυππειοπωληη|στυππειοπωλην|στυππειοπωληου|στυππειοπωλης|στυππειοπωληω|στυππειοπωλων	12
συβώτης	συβωτης	Swineherd	Agriculture, Animal Husbandry	61110	συβωτα|συβωται|συβωταις|συβωτας|συβωτη|συβωτηα|συβωτηη|συβωτην|συβωτηου|συβωτης|συβωτηω|συβωτων	12
συριγγοποιός	συριγγοποιος	Pan-pipe maker	Musical Instruments	81990	συριγγοποιε|συριγγοποιοι|συριγγοποιοις|συριγγοποιον|συριγγοποιος|συριγγοποιου|συριγγοποιους|συριγγοποιω|συριγγοποιων	9
συρμαιοπώλης	συρμαιοπωλης	Seller of emetics	Perfumes, Aromatics, and Nostrums	45190	συρμαιοπωλα|συρμαιοπωλαι|συρμαιοπωλαις|συρμαιοπωλας|συρμαιοπωλη|συρμαιοπωληα|συρμαιοπωληη|συρμαιοπωλην|συρμαιοπωληου|συρμαιοπωλης|συρμαιοπωληω|συρμαιοπωλων	12
σχοινοπλόκος	σχοινοπλοκος	Ropemaker	Textiles	75990	σχοινοπλοκε|σχοινοπλοκοι|σχοινοπλοκοις|σχοινοπλοκον|σχοινοπλοκος|σχοινοπλοκου|σχοινοπλοκους|σχοινοπλοκω|σχοινοπλοκων	9
ταινιοπώλις	ταινιοπωλις	Ribbon seller	Textiles	45190	ταινιοπωλαι|ταινιοπωλαις|ταινιοπωλας|ταινιοπωλη|ταινιοπωλην|ταινιοπωλης|ταινιοπωλων	7
ταλασιουργός	ταλασιουργος	Woolworker	Textiles	76990	ταλασιουργε|ταλασιουργοι|ταλασιουργοις|ταλασιουργον|ταλασιουργος|ταλασιουργου|ταλασιουργους|ταλασιουργω|ταλασιουργων	9
ταπιδυφάντης	ταπιδυφαντης	Rug weaver	Textiles	75110	ταπιδυφαντα|ταπιδυφανται|ταπιδυφανταις|ταπιδυφαντας|ταπιδυφαντη|ταπιδυφαντηα|ταπιδυφαντηη|ταπιδυφαντην|ταπιδυφαντηου|ταπιδυφαντης|ταπιδυφαντηω|ταπιδυφαντων	12
ταριχοπώλης	ταριχοπωλης	Salt Fish Dealer	Food Preparation and Retail	45190	ταριχοπωλα|ταριχοπωλαι|ταριχοπωλαις|ταριχοπωλας|ταριχοπωλη|ταριχοπωληα|ταριχοπωληη|ταριχοπωλην|ταριχοπωληου|ταριχοπωλης|ταριχοπωληω|ταριχοπωλων	12
τέκτων	τεκτων	Carpenter/joiner	Woodwork	95110	τεκτον|τεκτονα|τεκτονας|τεκτονες|τεκτονι|τεκτονος|τεκτονων|τεκτοσι|τεκτων	9
τεμαχοπώλης	τεμαχοπωλης	Fish Slice Seller	Food Preparation and Retail	45190	τεμαχοπωλα|τεμαχοπωλαι|τεμαχοπωλαις|τεμαχοπωλας|τεμαχοπωλη|τεμαχοπωληα|τεμαχοπωληη|τεμαχοπωλην|τεμαχοπωληου|τεμαχοπωλης|τεμαχοπωληω|τεμαχοπωλων	12
τοξοποιός	τοξοποιος	Bowyer	Armaments	72990	τοξοποιε|τοξοποιοι|τοξοποιοις|τοξοποιον|τοξοποιος|τοξοποιου|τοξοποιους|τοξοποιω|τοξοποιων	9
τραγῳδοποιός	τραγωδοποιος	Tragic poet/playwright	Drama and Entertainment	17110	τραγωδοποιε|τραγωδοποιοι|τραγωδοποιοις|τραγωδοποιον|τραγωδοποιος|τραγωδοποιου|τραγωδοποιους|τραγωδοποιω|τραγωδοποιων	9
τριηραύλης	τριηραυλης	Aulos player on a trireme	Seafaring/Maritime	98110	τριηραυλα|τριηραυλαι|τριηραυλαις|τριηραυλας|τριηραυλη|τριηραυληα|τριηραυληη|τριηραυλην|τριηραυληου|τριηραυλης|τριηραυληω|τριηραυλων	12
τροχοποιός	τροχοποιος	Wheelwright	Woodwork	73210	τροχοποιε|τροχοποιοι|τροχοποιοις|τροχοποιον|τροχοποιος|τροχοποιου|τροχοποιους|τροχοποιω|τροχοποιων	9
τρυγήτρια	τρυγητρια	Fruit Gatherer	Agriculture, Animal Husbandry	61110	τρυγητρα|τρυγητραι|τρυγητραις|τρυγητραν|τρυγητρας|τρυγητρη|τρυγητρην|τρυγητρης|τρυγητρων	9
