Term,gen_sg,Term2,Vocab_nom_sg,gender,Source,HISCO_codes,Harris_Category,Subcategory,Translation_eng
brattiarius,i,,,male,Petrikovits 1981a,88090,Metal-Working,,"goldsheet maker, worker"
bucaeda,ae,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,beef butcher
buccularius,i,,,male,Petrikovits 1981a,83190,Metal-Working,,maker of helmet flaps
bucida,ae,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,beef butcher
budinarius,i,,,male,Petrikovits 1981a,81990,Household Goods,,reed weaver
burrarius,i,,,male,Petrikovits 1981a,99910,Unclassified,,"uncertain, unspecified worker"
bustuarius,i,,,male,Petrikovits 1981a,59290,Death-care sector,,cremator
cabator,oris,,,male,Petrikovits 1981a,88080,Miscellaneous Services,,"engraver, maker of hollow spaces"
cabidarius,i,,,male,Petrikovits 1981a,89210,Household Goods,,"uncertain, cup maker"
caelator,oris,,,male,Petrikovits 1981a,16150,Plastic Arts,,"relief maker, carver"
caementarius,i,,,male,Petrikovits 1981a,95140,Building,Stone worker,mason
caesor,oris,,,male,Petrikovits 1981a,95140,Building,Stone worker,stone mason
calcarensis,ensis,,,male,Petrikovits 1981a,71290,Building,Stone worker,a limeburner
calcariensis,ensis,,calcariensis,male,Waltzing - Rome,71290,Building,Stone worker,a limeburner
calcarius,i,,,male,Petrikovits 1981a,71110,Building,Stone worker,limestone quarry worker
calcearius,i,,,male,Petrikovits 1981a,71110,Building,Stone worker,limestone quarry worker
calceator,oris,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,a shoemaker
calceolarius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,a shoemaker
calciamentarius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,a shoemaker
calciator,oris,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,a shoemaker
calcis coctor,oris,,coctor,male,Waltzing - Rome,71290,Building,Stone worker,limeburner
calegarius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,a shoemaker
caligarius,i,,caligarius,male,Waltzing - Rome,80110,Clothing,Shoe maker,a shoemaker
camararius,i,,,male,Petrikovits 1981a,95140,Building,,vault building worker
camarius,i,,,male,Petrikovits 1981a,95140,Building,,vault building worker
