Term;gen_sg;Term2;Vocab_nom_sg;gender;Source;HISCO_majorgroup;HISCO_minorgroup;Harris_Category;Subcategory;Translation_eng
aurifex;icis;;aurifex;male;Waltzing - Rome;8;88;Metal-Working;;goldsmith
aurificus;i;;;male;Petrikovits 1981a;8;88;Metal-Working;;goldworker, goldsmith
aurifossor;oris;;;male;Petrikovits 1981a;7;71;Metal-Working;;gold digger
aurufex;icis;;;male;Petrikovits 1981a;8;88;Metal-Working;;goldworker, goldsmith
automatarius;i;;;male;Petrikovits 1981a;9;99;Miscellaneous Services;;a maker of automata
axearius;i;;;male;Petrikovits 1981a;8;82;Building;;uncertain, board-cutter
baiulius;i;;baiulius;male;Waltzing - Rome;9;97;Transport;Land transport;a porter, carrier
ballistarius;i;;;male;Petrikovits 1981a;0;2;Miscellaneous Services;Military;manufacturer of ballistae, an engine for hurling
ballistrarius;i;;;male;Petrikovits 1981a;0;2;Miscellaneous Services;Military;manufacturer of ballistae, an engine for hurling
baltearius;i;;;male;Petrikovits 1981a;8;83;Miscellaneous Services;;a maker or master of sword-belts
barbaricarius;i;;;male;Petrikovist 1981b;7;75;Clothing;;textile worker
barbaricas;atis;;;male;Petrikovits 1981a;7;75;Clothing;;textile worker
bastagarius;i;;bastagarius;male;Waltzing - provinces;8;80;Clothing;;a baggage-master
baxearius;i;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;sandal-maker
baxiarius;i;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;sandal-maker
biroigallus;i;;;male;Petrikovits 1981a;;;Unclassified;;uncertain
blattiarius;i;;;male;Petrikovits 1981a;7;75;Clothing;Colour production;manufacturer of purpur
boarius;i;;boarius;male;Waltzing - Rome;6;62;Food-Production;;cattle breader
botularius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;manufacturer of sausages
bracarius;i;;;male;Petrikovits 1981a;7;79;Clothing;;manufacturer of trousers
braccarius;i;;;male;Petrikovits 1981a;7;79;Clothing;;manufacturer of trousers
bractearius;i;;;male;Petrikovits 1981a;8;88;Metal-Working;;goldsheet maker, worker
bracteator;oris;;;male;Petrikovits 1981a;8;88;Metal-Working;;goldsheet maker, worker
brattearius;i;;;male;Petrikovits 1981a;8;88;Metal-Working;;goldsheet maker, worker
brattiarius;i;;;male;Petrikovits 1981a;8;88;Metal-Working;;goldsheet maker, worker
bucaeda;ae;;;male;Petrikovits 1981a;5;53;Food-Production;;beef butcher
buccularius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;maker of helmet flaps
bucida;ae;;;male;Petrikovits 1981a;5;53;Food-Production;;beef butcher
budinarius;i;;;male;Petrikovits 1981a;8;81;Household Goods;;reed weaver
burrarius;i;;;male;Petrikovits 1981a;9;99;Unclassified;;uncertain, unspecified worker
