Main_term;To_be_merged;HISCO_majorgroup;HISCO_minorgroup;Harris_Category;Subcategory;Translation_eng;
faber tignarius;faber tignuarius;0;2;Building;;builder;
faber soliarius;faber soliarius baxiarius;8;80;Clothing;Shoe maker;shoe maker;
negotians ferrarius;negotiator ferrarius;8;83;Metal-Working;;iron smith;
negotians materiarius;negotiator materiarius;9;95;Building;Wood worker;wood-worker;
negotiator sagarius;negotiator sagarius et pellicarius, negotiator paenularius;4;43;Retail;;mantle trader;
negotiator cretarius;negotiator artis cretariae, negotiator artis cretariae et vestiariae;4;43;Retail;;pottery trader;
negotiator artis vestiariae;negotiator artis vestiariae et lintiariae;4;43;Retail;;trader with textiles;
negotiator vinarius;negotiator salsamentarius et vinarius, negotiator cellarum vinarium, negotiator vini , negotiator penoris et vinorum;4;43;Retail;;wine trader;
negotiator boarius;negotiator campi pecuarii, negotiator suariae et pecuariae, negotiator iuvencarius;6;62;Food-Production;Food production;cattle breader;
negotiator frumentariae et legumenariae;negotiator frumentarius;4;43;Retail;;trader with vegetables and corn;
